Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	sodium ion binding (GO:0031402)	0.002397858969227747	571.0571428571428	3445.2899826083253	SLC34A2	0.023915890518873016	0	0
2	phosphate ion binding (GO:0042301)	0.0039936462613403625	317.1904761904762	1751.8590547314027	SLC34A2	0.023915890518873016	0	0
3	sodium:phosphate symporter activity (GO:0005436)	0.004392244396163033	285.45714285714286	1549.43708775113	SLC34A2	0.023915890518873016	0	0
4	alkali metal ion binding (GO:0031420)	0.005189022379499861	237.85714285714286	1251.416370420653	SLC34A2	0.023915890518873016	0	0
5	1-phosphatidylinositol binding (GO:0005545)	0.0059852428364459065	203.85714285714286	1043.434298452164	SNX10	0.023915890518873016	0	0
6	acetylation-dependent protein binding (GO:0140033)	0.008370561681605555	142.65714285714284	682.3340060288631	ZMYND8	0.023915890518873016	0	0
7	lysine-acetylated histone binding (GO:0070577)	0.008370561681605555	142.65714285714284	682.3340060288631	ZMYND8	0.023915890518873016	0	0
8	solute:sodium symporter activity (GO:0015370)	0.01193915316674268	98.33990147783251	435.442406227662	SLC34A2	0.0298478829168567	0	0
9	methylation-dependent protein binding (GO:0140034)	0.02492805820599394	45.92165898617512	169.5318022982446	ZMYND8	0.04870727979815438	0	0
10	methylated histone binding (GO:0035064)	0.026882984076400464	42.48400852878465	153.63329523076956	ZMYND8	0.04870727979815438	0	0
11	ATPase binding (GO:0051117)	0.028834479875414456	39.523809523809526	140.15867684434946	SNX10	0.04870727979815438	0	0
12	ubiquitin binding (GO:0043130)	0.02922436787889263	38.980430528375734	137.70820955371116	VPS36	0.04870727979815438	0	0
