Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	chloride transmembrane transporter activity (GO:0015108)	4.6560429993752554e-05	259.38961038961037	2587.3489854471795	CLCN7,CFTR	0.0017227359097688444	0	0
2	nucleoside-triphosphatase activity (GO:0017111)	0.0006852857142765815	21.504	156.67114886773544	DYNC2H1,CFTR,GNAI2	0.008021604608693104	0	0
3	chloride channel activity (GO:0005254)	0.0007685865430880081	58.43108504398827	419.00682100428145	CLCN7,CFTR	0.008021604608693104	0	0
4	anion channel activity (GO:0005253)	0.0008672004982370924	54.878787878787875	386.90864481269017	CLCN7,CFTR	0.008021604608693104	0	0
5	NAADP-sensitive calcium-release channel activity (GO:0072345)	0.003246050875089783	416.3125	2385.6022367218384	MCOLN3	0.024006411934171717	0	0
6	1-phosphatidylinositol-4-phosphate 5-kinase activity (GO:0016308)	0.0038940964853966904	333.03333333333336	1847.7667100463034	PIP5K1B	0.024006411934171717	0	0
7	transmembrane receptor protein tyrosine kinase activator activity (GO:0030297)	0.0045417536091676225	277.5138888888889	1497.032601111507	EGF	0.024006411934171717	0	0
8	chloride channel inhibitor activity (GO:0019869)	0.006482395492037067	184.9814814814815	932.059746399125	CFTR	0.029981079150671434	0	0
9	phosphatidylinositol phosphate kinase activity (GO:0016307)	0.008419546757221652	138.71527777777777	662.6705253310397	PIP5K1B	0.03246326655258694	0	0
10	chloride channel regulator activity (GO:0017081)	0.009709044215672634	118.88690476190476	551.0048324972125	CFTR	0.03246326655258694	0	0
11	bicarbonate transmembrane transporter activity (GO:0015106)	0.009709044215672634	118.88690476190476	551.0048324972125	CFTR	0.03246326655258694	0	0
12	calcium-release channel activity (GO:0015278)	0.010996994142530848	104.015625	469.12433437564215	MCOLN3	0.03246326655258694	0	0
13	ligand-gated anion channel activity (GO:0099095)	0.011640389286531055	97.8921568627451	435.94063546940737	CFTR	0.03246326655258694	0	0
14	protein tyrosine kinase activator activity (GO:0030296)	0.012283398155032895	92.44907407407408	406.73031819258705	EGF	0.03246326655258694	0	0
15	epidermal growth factor receptor binding (GO:0005154)	0.016773661823445914	66.54	272.01188501169923	EGF	0.04137503249783326	0	0
