Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	all-trans retinal binding (GO:0005503)	0.0024977078641967437	555.1666666666666	3326.7706415121643	ABCA4	0.017979469037232916	0	0
2	phosphatidylethanolamine flippase activity (GO:0090555)	0.002996578172872153	444.1111111111111	2580.4117942926405	ABCA4	0.017979469037232916	0	0
3	11-cis retinal binding (GO:0005502)	0.002996578172872153	444.1111111111111	2580.4117942926405	ABCA4	0.017979469037232916	0	0
4	retinal binding (GO:0016918)	0.004491844107510829	277.52777777777777	1500.1741678966396	ABCA4	0.02021329848379873	0	0
5	glycerophospholipid flippase activity (GO:0140333)	0.00598509351248777	201.8080808080808	1032.9512945731403	ABCA4	0.02154633664495597	0	0
6	cholesterol transfer activity (GO:0120020)	0.008965550093347357	130.54248366013073	615.425022203049	NPC2	0.0243295984604462	0	0
7	sterol transfer activity (GO:0120015)	0.009461510512395743	123.28395061728395	574.5677163606151	NPC2	0.0243295984604462	0	0
8	retinoid binding (GO:0005501)	0.016874167453351394	67.1952861952862	274.2892350890436	ABCA4	0.03796687677004064	0	0
9	ATP hydrolysis activity (GO:0140603)	0.022278350937474194	50.36868686868687	191.60953052295554	ABCA4	0.04450670787106449	0	0
10	cholesterol binding (GO:0015485)	0.02472594881725805	45.21768707482993	167.3010120823387	NPC2	0.04450670787106449	0	0
11	sterol binding (GO:0032934)	0.02960460947305564	37.534839924670436	132.1160756075347	NPC2	0.048443906410454686	0	0
