Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Vascular smooth muscle contraction	8.803151638368849e-08	6.859350307287094	111.43406205954972	PPP1R14A,EDN1,RAMP2,CALCRL,ADCY4,ADM,CACNA1C,ADCY8,ADRA1A,ACTG2,MYLK,AGTR1,MYH10,PRKG1	1.9631028153562532e-05	0	0
2	ECM-receptor interaction	3.767076354677779e-07	8.273034657650042	122.37304470535322	TNXB,VWF,COL4A2,COL4A1,LAMA4,LAMA3,COL6A6,CD36,ITGA5,NPNT,HSPG2	4.2002901354657235e-05	0	0
3	Relaxin signaling pathway	1.6583025438254683e-05	5.387197873834119	59.297592449439854	EDN1,EDNRB,COL4A2,NOS2,COL4A1,ADCY4,FOS,ADCY8,RXFP1,GNG11,GNAI2	0.0012326715575769313	0	0
4	Pathways in cancer	2.2797856251281445e-05	2.7883841602184796	29.8046034414347	EDN1,WNT2B,GADD45B,NOS2,EPAS1,FLT3,LAMA4,PTCH2,LAMA3,ADCY4,IL5RA,FOS,ADCY8,PTGS2,GNG11,RASGRP1,GNAI2,EDNRB,COL4A2,HEY1,COL4A1,AGTR1,IL7R,FGF10	0.0012709804860089405	0	0
5	Regulation of lipolysis in adipocytes	4.583679971201231e-05	8.358979044834308	83.50973903299436	FABP4,ADCY4,ADRB2,ADCY8,PTGS2,PRKG1,GNAI2	0.002044321267155749	0	0
6	Calcium signaling pathway	8.825598323148886e-05	3.591995773345661	33.53224702736935	MCOLN3,CHRM1,NOS2,TNNC1,NTRK3,ADCY4,ADRB2,CACNA1C,ADCY8,ADRA1A,MYLK,EDNRB,AGTR1,FGF10	0.003280180710103669	0	0
7	cGMP-PKG signaling pathway	0.00017477991540307053	4.067004248217266	35.18765162376114	EDNRB,AGTR1,ADCY4,CACNA1C,ADRB2,ADRA2C,ADCY8,ADRA1A,PRKG1,MYLK,GNAI2	0.004942957381888538	0	0
8	Hypertrophic cardiomyopathy	0.00017732582535923006	5.5987411487018095	48.35924814436576	EDN1,ACE,DES,TNNC1,DMD,ITGA5,CACNA1C,TTN	0.004942957381888538	0	0
9	Focal adhesion	0.00022521213336298252	3.666713767603975	30.79477745397973	TNXB,COL4A2,VWF,COL4A1,CAV2,CAV1,LAMA4,LAMA3,COL6A6,ITGA5,VCL,MYLK	0.005580256193327234	0	0
10	Dilated cardiomyopathy	0.00027714073695750044	5.215409224206878	42.71933927271347	DES,TNNC1,ADCY4,DMD,ITGA5,CACNA1C,ADCY8,TTN	0.00618023843415226	0	0
11	Apelin signaling pathway	0.0006848044629916275	4.037385110294117	29.417910879618006	EGR1,NOS2,AGTR1,ADCY4,ADCY8,PPARGC1A,GNG11,MYLK,GNAI2	0.01388285411337572	0	0
12	Small cell lung cancer	0.0011419445767392904	4.711455108359133	31.920215312358252	COL4A2,GADD45B,NOS2,COL4A1,LAMA4,LAMA3,PTGS2	0.020401160796014166	0	0
13	Renin secretion	0.0012864225245449118	5.438844925725392	36.20035436819175	EDN1,ACE,AGTR1,ADRB2,CACNA1C,GNAI2	0.020401160796014166	0	0
14	Adrenergic signaling in cardiomyocytes	0.001302512782896019	3.66270337922403	24.333023282815592	TNNC1,AGTR1,ADCY4,SCN7A,CACNA1C,ADRB2,ADCY8,ADRA1A,GNAI2	0.020401160796014166	0	0
15	PI3K-Akt signaling pathway	0.0014862701328737643	2.55842297705474	16.65913428160244	CSF3,CHRM1,TNXB,VWF,FLT3,LAMA4,LAMA3,GNG11,COL4A2,COL4A1,COL6A6,TEK,ITGA5,IL7R,FGF10	0.020401160796014166	0	0
16	Platelet activation	0.0015117255579036146	3.95085448478107	25.65883838616377	VWF,BTK,ADCY4,ADCY8,RASGRP1,PRKG1,MYLK,GNAI2	0.020401160796014166	0	0
17	Circadian entrainment	0.0015552454418486135	4.4485705003248865	28.764999159819446	ADCY4,CACNA1C,FOS,ADCY8,GNG11,PRKG1,GNAI2	0.020401160796014166	0	0
18	Malaria	0.0017498523968888892	6.332687338501292	40.20131672871989	CSF3,LRP1,HBB,HBA2,CD36	0.02167872691701235	0	0
19	JAK-STAT signaling pathway	0.0022127923570764416	3.373356401384083	20.623014531970703	SOCS2,SOCS3,CSF3,FHL1,IL20RA,IL5RA,LIFR,IL7R,IL17D	0.02597119450673929	0	0
20	Neuroactive ligand-receptor interaction	0.0028148990303887263	2.469633483956365	14.503734863540279	VIPR1,EDN1,CHRM1,CALCRL,ADM,PTH1R,ADRB2,ADRA2C,RXFP1,ADRA1A,EDNRB,GRM8,AGTR1,S1PR1	0.0313861241888343	0	0
21	Cholinergic synapse	0.00369356888763119	3.773998675935121	21.138778387311085	CHRM1,ADCY4,CACNA1C,FOS,ADCY8,GNG11,GNAI2	0.039222183901988346	0	0
22	Glutamatergic synapse	0.0038777801311907266	3.738536372082855	20.75819486868005	GRM8,ADCY4,CACNA1C,ADCY8,GNG11,SHANK3,GNAI2	0.03930658951161509	0	0
23	GABAergic synapse	0.0046674765231782215	4.124064772208367	22.13441944327789	PLCL1,ADCY4,CACNA1C,ADCY8,GNG11,GNAI2	0.04375645740971345	0	0
24	Axon guidance	0.004788607784869151	2.9803128187691263	15.919387295560195	SEMA5A,SEMA6A,ABLIM3,SEMA3D,CFL2,SEMA3A,SLIT3,SLIT2,GNAI2	0.04375645740971345	0	0
25	Growth hormone synthesis, secretion and action	0.00490543244503514	3.570723684210526	18.98700905896437	SOCS2,SOCS3,ADCY4,CACNA1C,FOS,ADCY8,GNAI2	0.04375645740971345	0	0
