Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	MAP kinase kinase activity (GO:0004708)	0.0007499814841592997	19985.0	143801.30885993244	LRRK2	0.010733112328631658	0	0
2	syntaxin-1 binding (GO:0017075)	0.001099975657412352	19978.0	136099.47030191717	LRRK2	0.010733112328631658	0	0
3	protein serine/threonine/tyrosine kinase activity (GO:0004712)	0.0013999711732997815	19972.0	131242.0761597353	LRRK2	0.010733112328631658	0	0
4	signaling receptor complex adaptor activity (GO:0030159)	0.0019499637955508469	19961.0	124555.53162481484	LRRK2	0.011212291824417369	0	0
5	protein serine/threonine phosphatase activity (GO:0004722)	0.0030999506783044176	19938.0	115169.24667401354	LRRK2	0.011883144266833602	0	0
6	syntaxin binding (GO:0019905)	0.0030999506783044176	19938.0	115169.24667401354	LRRK2	0.011883144266833602	0	0
7	kinase activity (GO:0016301)	0.0055999282120529755	19888.0	103119.30984392198	LRRK2	0.016746716693705005	0	0
8	magnesium ion binding (GO:0000287)	0.007299915744034045	19854.0	97679.54515512098	LRRK2	0.016746716693705005	0	0
9	small GTPase binding (GO:0031267)	0.008749906308884345	19825.0	93944.97107443075	LRRK2	0.016746716693705005	0	0
10	actin binding (GO:0003779)	0.008849905692612275	19823.0	93710.22884413046	LRRK2	0.016746716693705005	0	0
11	GTP binding (GO:0005525)	0.00944990207385358	19811.0	92353.94708159096	LRRK2	0.016746716693705005	0	0
12	GTPase binding (GO:0051020)	0.010049898587798992	19799.0	91079.21596609055	LRRK2	0.016746716693705005	0	0
13	guanyl ribonucleotide binding (GO:0032561)	0.010699894951406781	19786.0	89779.39753374986	LRRK2	0.016746716693705005	0	0
14	GTPase activity (GO:0003924)	0.010799894402986133	19784.0	89586.28316078232	LRRK2	0.016746716693705005	0	0
15	microtubule binding (GO:0008017)	0.011599890134960407	19768.0	88101.22480150245	LRRK2	0.016746716693705005	0	0
16	GTPase regulator activity (GO:0030695)	0.011649889873881743	19767.0	88011.74819542299	LRRK2	0.016746716693705005	0	0
17	nucleoside-triphosphatase activity (GO:0017111)	0.013899878819522905	19722.0	84328.80984444941	LRRK2	0.01880571840288393	0	0
18	tubulin binding (GO:0015631)	0.015349872317254534	19693.0	82250.73148776902	LRRK2	0.019613725738714127	0	0
19	GTPase activator activity (GO:0005096)	0.01679986623008202	19664.0	80354.66195868133	LRRK2	0.01977984431104113	0	0
20	protein serine/threonine kinase activity (GO:0004674)	0.01719986461829664	19656.0	79859.45362887873	LRRK2	0.01977984431104113	0	0
21	purine ribonucleoside triphosphate binding (GO:0035639)	0.02299984393534193	19540.0	73710.11375961037	LRRK2	0.025190305262517355	0	0
22	metal ion binding (GO:0046872)	0.025849835294077868	19483.0	71219.15280033876	LRRK2	0.027024827807445043	0	0
23	protein homodimerization activity (GO:0042803)	0.03179981969528517	19364.0	66772.77778020014	LRRK2	0.03179981969528517	0	0
