Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	TGFB UP.V1 UP	7.850231672445121e-07	7.51030265123875	105.57647461567794	CDK17,EDN1,PLEKHA1,GADD45B,SLCO2A1,TBC1D2B,SMAD6,KLF4,CRYAB,JUNB,LMCD1	0.0001295288225953445	0	0
2	RELA DN.V1 UP	5.279758310301439e-06	7.862023070097604	95.5363972536105	PPP1R15A,EGR1,ZFP36,GADD45B,FOSB,LMO7,FOS,JUNB,PRKG1	0.0003481027359350405	0	0
3	STK33 UP	8.153824345418175e-06	5.283751520338754	61.90984071049593	PPP1R15A,EGR1,ZFP36,DOCK4,ZEB2,FABP4,CFL2,EMP1,CD36,FOS,GNG11,JUNB	0.0003481027359350405	0	0
4	STK33 NOMO UP	8.43885420448583e-06	5.2647454888230545	61.50625267743338	PPP1R15A,ZFP36,DOCK4,ZEB2,FABP4,EPAS1,CFL2,EMP1,FOS,A2M,GNG11,JUNB	0.0003481027359350405	0	0
5	ESC V6.5 UP EARLY.V1 DN	1.6825966343496097e-05	6.744770033913806	74.14247307294862	SOCS3,TUBB6,AHNAK,COL4A2,COL4A1,CAV1,EMP1,KLF4,JUNB	0.0005552568893353713	0	0
6	ESC J1 UP LATE.V1 UP	3.847869971593592e-05	6.034809910586308	61.34629120774428	SGCE,RAMP2,GADD45B,COL4A2,GPX3,COL4A1,SLCO2A1,LMO7,CRYAB	0.0010581642421882379	0	0
7	CSR LATE UP.V1 DN	0.0001052845495395676	5.995427526291724	54.91118469282695	ACVRL1,CLEC3B,TNXB,SGIP1,SVEP1,TBC1D2B,PRKG1,APOL3	0.0024817072391469506	0	0
8	CRX DN.V1 DN	0.0001503771909024305	6.6625283802714845	58.64599872547129	SOCS3,EGR1,PPP1R14A,TUBB6,COL4A2,JUNB,GNG11	0.0027577506265898605	0	0
9	ESC J1 UP EARLY.V1 DN	0.00015042276145035605	5.677279618800086	49.97176048813077	EGR1,CNN1,SOCS3,ZFP36,EDN1,KLF4,JUNB,LIMS2	0.0027577506265898605	0	0
10	ATF2 S UP.V1 DN	0.00020293072436988573	5.421339402717429	46.0957292256497	ITIH5,DES,ADH1B,SVEP1,ABCA8,FOS,SMAD6,A2M	0.0033483569521031145	0	0
11	CAMP UP.V1 DN	0.00031975916112912775	5.050925925925926	40.649561256949255	TJP1,NDRG4,ZFP36,DST,MYO15B,FOSB,SVEP1,MYH10	0.0047963874169369165	0	0
12	GCNP SHH UP LATE.V1 DN	0.0008933350782692337	4.8795701975247345	34.257260791573025	CNN1,EDN1,TNNC1,AMOTL2,ADRB2,AGER,CX3CL1	0.012283357326201965	0	0
13	IL15 UP.V1 UP	0.001299331004370955	4.560271928370088	30.307137471338912	ACVRL1,SOCS2,EGR1,GADD45B,HEG1,FOS,JUNB	0.012714727975450786	0	0
14	IL2 UP.V1 UP	0.001299331004370955	4.560271928370088	30.307137471338912	SOCS2,EGR1,CLDN5,GADD45B,HEG1,FOS,JUNB	0.012714727975450786	0	0
15	EGFR UP.V1 UP	0.0013387662041415582	4.535523451415001	30.00705414280734	SOCS2,EDN1,EPAS1,SLCO2A1,A2M,KLF4,JUNB	0.012714727975450786	0	0
16	CYCLIN D1 KE .V1 DN	0.0013791317698753404	4.511039664053016	29.711065637172783	ADH1B,CAV1,ALDH1A1,PIP4K2A,A2M,RAPGEF5,EML1	0.012714727975450786	0	0
17	CORDENONSI YAP CONSERVED SIGNATURE	0.0014014315420386176	8.991588997499433	59.07708683085685	GADD45B,AMOTL2,SLIT2,TNS1	0.012714727975450786	0	0
18	LEF1 UP.V1 UP	0.0014204428009524771	4.486816342514032	29.419097380383928	RAMP2,FHL1,EMP1,GZMB,HBA2,GNG11,ARHGAP4	0.012714727975450786	0	0
19	BMI1 DN.V1 DN	0.0014641201911125149	5.220572640509014	34.072071353207335	SOCS2,EGR1,GPX3,FOS,NDRG2,CES1	0.012714727975450786	0	0
20	MEL18 DN.V1 DN	0.001683358359624665	5.072483682583305	32.39777299124749	SOCS2,EGR1,DMD,FOS,NDRG2,A2M	0.013887706466903486	0	0
21	GCNP SHH UP EARLY.V1 DN	0.003268723349123231	4.414260062846028	25.264380860192873	CNN1,EGR1,EMP1,AMOTL2,PHLDB2,SLC6A4	0.02568282631453967	0	0
22	STK33 SKM UP	0.003440911289794027	3.4231678486997636	19.416272848166937	EGR1,ZFP36,FABP4,CFL2,CD36,FOS,GNG11,JUNB	0.025806834673455202	0	0
23	ESC V6.5 UP LATE.V1 UP	0.005767354999145585	3.906283138918346	20.13900565085755	SGCE,RAMP2,COL4A2,GPX3,COL4A1,TNNC1	0.0380362776846342	0	0
24	JNK DN.V1 DN	0.0059135135347341	3.8849703361898484	19.9318990408224	ACVRL1,TTLL3,SEMA3B,SVEP1,NDRG2,ARHGAP4	0.0380362776846342	0	0
25	E2F1 UP.V1 DN	0.006213917970178898	3.8430285639754795	19.526288512129113	NDRG4,TNXB,LAMA4,ALDH1A1,TCF4,SASH1	0.0380362776846342	0	0
26	IL21 UP.V1 UP	0.006213917970178898	3.8430285639754795	19.526288512129113	CDH5,NDRG4,HEG1,FAM107A,NKG7,FOSB	0.0380362776846342	0	0
27	KRAS.DF.V1 DN	0.006368220026386011	3.8223923196678777	19.32767937593875	TNXB,SEMA6A,HSPB6,ADRB2,SMAD6,KLF4	0.0380362776846342	0	0
28	MEK UP.V1 UP	0.006685163956693284	3.7817715019255456	18.93859941297907	SGCE,EDN1,EPAS1,GPX3,FHL1,KLF4	0.0380362776846342	0	0
29	RAF UP.V1 UP	0.006685163956693284	3.7817715019255456	18.93859941297907	SOCS2,SGCE,EPAS1,GJA5,HEG1,TBC1D2B	0.0380362776846342	0	0
30	CTIP DN.V1 DN	0.007151969506399463	4.388146167557932	21.67905473236939	EDN1,TTLL3,ABI3BP,GZMB,CX3CL1	0.03919146644221078	0	0
31	KRAS.KIDNEY UP.V1 DN	0.007363245210354754	4.355894713558947	21.3929075923361	SEMA5A,ITIH5,CNN1,CLEC3B,ACE	0.03919146644221078	0	0
32	BMI1 DN.V1 UP	0.008485254561049423	4.201451131028596	20.03850765482042	EDN1,SLCO2A1,LTBP4,LSAMP,ADRB2	0.043752093830411086	0	0
