Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	monocarboxylic acid binding (GO:0033293)	7.175288042677282e-07	23.368669950738916	330.6071538368496	AKR1C1,AKR1C3,AKR1C2,UGT1A3,UGT1A7,UGT1A6	0.0001459281097426038	0	0
2	protein homodimerization activity (GO:0042803)	9.445185096608659e-07	3.6744587085648592	50.97426116740365	TBX1,GSTM3,NTRK2,TENM2,G6PD,TPI1,JUP,TENM4,SHMT2,HSPB1,SLC51A,KNSTRN,ANO1,NUDT21,IRAK1,STC2,UGT1A3,TKT,MAP3K13,S100A11,UGT1A7,UGT1A6	0.0001459281097426038	0	0
3	ketosteroid monooxygenase activity (GO:0047086)	1.1076248330456186e-05	144.09466019417476	1644.222024444296	AKR1C1,AKR1C3,AKR1C2	0.0011408535780369872	0	0
4	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	1.9109829494425556e-05	32.1609756097561	349.4388966421149	NQO1,AKR1C1,AKR1C3,AKR1C2	0.0014762343284443742	0	0
5	alcohol dehydrogenase (NADP+) activity (GO:0008106)	2.4785638811991278e-05	29.685553470919324	314.82260173784107	ALDH3A1,AKR1C1,AKR1C3,AKR1C2	0.001531752478581061	0	0
6	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	3.544569032298423e-05	8.538180693069307	87.495082496504	G6PD,BDH1,AKR1C1,AKR1C3,PHGDH,PTGR1,CBR3	0.0018254530516336879	0	0
7	androsterone dehydrogenase activity (GO:0047023)	6.0603434906246496e-05	57.62912621359223	559.6456068195707	AKR1C1,AKR1C3,AKR1C2	0.0026752087694328812	0	0
8	bile acid binding (GO:0032052)	9.020481213058279e-05	48.021844660194176	447.2479822374324	AKR1C1,AKR1C3,AKR1C2	0.00348416086854376	0	0
9	aldo-keto reductase (NADP) activity (GO:0004033)	0.0001278716497916859	41.15950069348128	368.9736661982853	ALDH3A1,AKR1C1,AKR1C3	0.004390259976181216	0	0
10	cadherin binding (GO:0045296)	0.00015403990850871858	3.827935156377927	33.602758754168605	ANLN,LAD1,CDH3,JUP,PRDX1,FSCN1,SCRIB,PKP3,ALDOA,NDRG1,YWHAZ,S100A11	0.004759833172919404	0	0
11	alditol:NADP+ 1-oxidoreductase activity (GO:0004032)	0.0001744701061939133	36.0127427184466	311.6455295102168	AKR1C1,AKR1C3,AKR1C2	0.004901023892174474	0	0
12	ubiquitin-like protein ligase binding (GO:0044389)	0.00019560798178841707	4.001640016400164	34.17159673078603	GPI,UCHL1,ITCH,CCNB1,TPI1,UBE2C,FZD6,TCP1,DIO2,BRCA1,YWHAZ	0.005036905531051739	0	0
13	glucuronosyltransferase activity (GO:0015020)	0.0002922073677640019	14.282926829268293	116.23512760840177	UGT1A3,LARGE2,UGT1A7,UGT1A6	0.006945544356852046	0	0
14	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen (GO:0016709)	0.0005251666671756413	12.048170731707318	90.98531409887893	AKR1C1,AKR1C3,AKR1C2,CYP4F11	0.01159117858266237	0	0
15	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor (GO:0016628)	0.0008174835684366543	19.2	136.49817129919765	AKR1C1,AKR1C2,PTGR1	0.01573868687913422	0	0
16	carboxylic acid binding (GO:0031406)	0.0008668343582281395	10.417402768622281	73.44959262194499	GCLC,SHMT2,AKR1C1,AKR1C2	0.01573868687913422	0	0
17	magnesium ion binding (GO:0000287)	0.0008765726069978032	4.899351805684166	34.48894303804703	GCLC,FEN1,MTHFD2,RHEB,PLK1,TKT,MARK1	0.01573868687913422	0	0
18	protein kinase binding (GO:0019901)	0.0009168167114058768	2.8161976235146966	19.69818430152348	CDKN2A,GSTP1,PLK1,HSPB1,FOXM1,YWHAZ,CKS1B,FAM83H,CCNB1,IRAK1,PRC1,MAP3K13,FAM83D,UGT1A7	0.01573868687913422	0	0
19	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0033764)	0.0013020132742933791	15.99757281553398	106.28537080517185	AKR1C1,AKR1C3,AKR1C2	0.021174847460876535	0	0
20	retinoic acid binding (GO:0001972)	0.0014960499019418423	15.154828819621871	98.58105582190318	UGT1A3,UGT1A7,UGT1A6	0.022234980006970526	0	0
21	tubulin binding (GO:0015631)	0.0015111151461047931	3.2983097304705344	21.42221625403587	SPAG5,PRC1,PLK1,PDCD5,BIRC5,BRCA1,ALDOA,FAM83D,NDRG1,CCT5	0.022234980006970526	0	0
22	UDP-glycosyltransferase activity (GO:0008194)	0.0018790481915189649	6.1156614544552	38.387945251463606	HAS3,UGT1A3,LARGE2,UGT1A7,UGT1A6	0.026392085962698188	0	0
23	intramolecular oxidoreductase activity, interconverting aldoses and ketoses (GO:0016861)	0.0029195491709734464	31.85990338164251	185.94478463419517	GPI,TPI1	0.037589195576283124	0	0
24	cyclin-dependent protein serine/threonine kinase activator activity (GO:0061575)	0.0029195491709734464	31.85990338164251	185.94478463419517	CCNB1,CKS1B	0.037589195576283124	0	0
25	kinase binding (GO:0019900)	0.003457630952480518	2.6240376245011476	14.870871556011254	FAM83H,CCNB1,IRAK1,CDKN2A,PRC1,PLK1,HSPB1,MAP3K13,FOXM1,FAM83D,YWHAZ,CKS1B	0.0427363185726592	0	0
