Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	3.558020630138961e-15	7.187008386081829	239.10869301885012	UCHL1,PTPRZ1,STC2,GPC1,SPP1,UGT1A5,PHGDH,UGT1A3,UGT1A7,CBR3,UGT1A6,NQO1,G6PD,GPX2,RRM2,AKR1C1,IGFBP3,TXNRD1,GSR,AKR1C3,TALDO1,PTGR1,CYP4F11,ALDH3A1,GCLC,DBF4,MTHFD2,TMEM237,RPL22L1,TKT	5.479351770414e-13	0	0
2	CSR LATE UP.V1 UP	1.3777808139273674e-05	6.088777219430486	68.1483429071336	ANLN,FEN1,DTYMK,RRM2,UBE2C,IGFBP3,FANCA,BIRC5,FAM83D,FOXM1	0.0009134377427159469	0	0
3	MEL18 DN.V1 UP	1.7794241741219744e-05	6.701931818181818	73.29658645120203	CA12,SLC7A5,JAG1,DDX11,STC2,ADAM12,FZD6,SPP1,PTHLH	0.0009134377427159469	0	0
4	P53 DN.V1 UP	0.00021021875719551524	4.769027027027027	40.381077598540784	COL17A1,UCHL1,CALB1,CDKN2A,ITGB4,KRT15,SULF1,KLK10,PITX1	0.008093422152027336	0	0
5	VEGF A UP.V1 DN	0.0009858475724279219	4.218044910582224	29.197344020089943	NUDT21,CCNB1,DBF4,RRM2,SPAG5,BIRC5,MCM4,CDKN3	0.028865438135573043	0	0
6	SINGH KRAS DEPENDENCY SIGNATURE 	0.0011246274598275211	16.93946316390634	115.02409507810276	LAD1,SEMA4B,PRSS22	0.028865438135573043	0	0
7	MTOR UP.V1 UP	0.002106779503550462	4.1728725019741235	25.715722378031288	GPX2,DBF4,RRM2,BDH1,UBE2C,TMPRSS4,HSPE1	0.04065009632206108	0	0
8	RB DN.V1 DN	0.0021116933154317445	4.845073891625616	29.84693976709992	SLC7A5,IGFBP3,STC2,ADAM12,NDRG1,CTSC	0.04065009632206108	0	0
9	CORDENONSI YAP CONSERVED SIGNATURE	0.0029693016270166185	7.266635987114588	42.2876685351922	FSCN1,BIRC5,PHGDH,NDRG1	0.049954118884422985	0	0
10	ESC V6.5 UP LATE.V1 DN	0.0034782969071342302	3.7967807953979755	21.494382896730553	GPX2,BDH1,SEMA4B,SPP1,C16ORF74,KLK10,CBR3	0.049954118884422985	0	0
11	RB P107 DN.V1 UP	0.003568151348887356	4.335784133519594	24.435211795950504	COL1A1,FEN1,RRM1,RRM2,PRC1,FANCA	0.049954118884422985	0	0
