Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	3.7394551109458245e-10	6.999471079375874	151.93689591679518	CPM,RBM47,VWF,PDE4D,LST1,ITGB2,CRIM1,TNFAIP2,PTPN22,ITGAL,AIF1,DCN,HLA-DMA,TYROBP,ITGAX,SH3BP5,MNDA,CD69,PTGDS	6.656230097483567e-08	0	0
2	ATF2 S UP.V1 DN	1.713254006706439e-09	6.767303355627084	136.5971475981479	ITIH5,LAMA2,IL1R1,ADH1B,CELF2,C4BPA,ABCA8,FOS,SORBS1,SMAD6,PLN,DES,NFIB,SERPING1,SVEP1,SLIT3,CD302,A2M	1.5247960659687307e-07	0	0
3	CRX DN.V1 DN	2.9411007041381024e-07	6.733471074380165	101.26677065065319	CADPS2,PPP1R14A,STEAP4,RNASE4,GNG11,SEL1L3,SOCS3,RBP4,COL4A2,GLIPR2,SERPING1,RGL3,TGM2	1.745053084455274e-05	0	0
4	ATF2 UP.V1 DN	4.371698650981283e-07	5.4865903975994	80.33983599817847	ITIH5,CFH,IL1R1,LIMCH1,CELF2,RNASE4,ABCA8,FOS,SMAD6,AFF1,PLN,NFIB,SVEP1,SLIT3,CD302	1.9454058996866712e-05	0	0
5	LTE2 UP.V1 UP	2.9104385357668247e-06	4.9873209587839815	63.57441158253218	UNC13B,SERPINA1,IL1R1,EPAS1,GPX3,RFTN1,PNRC1,SDCBP,DIAPH2,DAB2,MGAT4A,CD302,FGFR4,SASH1	9.182664204311525e-05	0	0
6	ERB2 UP.V1 UP	3.095280068869053e-06	4.958889676094973	62.90665037861206	CADPS2,SERPINA1,IL1R1,LIMCH1,EPAS1,LMO3,PDE4D,RFTN1,PAPSS2,PNRC1,SDCBP,DAB2,MGAT4A,FGFR4	9.182664204311525e-05	0	0
7	CORDENONSI YAP CONSERVED SIGNATURE	3.6878183651985476e-06	10.108028069271873	126.45623755133849	DAB2,ITGB2,COL4A3,CRIM1,PMP22,THBS1,TNS1,TGM2	9.377595271504878e-05	0	0
8	ESC J1 UP LATE.V1 UP	1.549047773763238e-05	4.563904494382022	50.54654327253224	CITED2,GPX3,CRIM1,LMO7,SEL1L3,RBP4,DAB2,COL4A2,COL4A1,PODXL,ID2,RGL3,CD55	0.0003446631296623205	0	0
9	RAF UP.V1 UP	2.0381462514280954e-05	4.438069216757741	47.93507421376051	CCR1,ZNF331,HPGD,EPAS1,HEG1,PDE4D,CRIM1,TBC1D2B,SOCS2,SDCBP,CRISPLD2,GJA5,PPARG	0.00036465902991141284	0	0
10	KRAS.600 UP.V1 UP	2.0486462354573755e-05	3.7075197936445385	40.025442956902104	CSF3,DOCK4,LIMCH1,LMO3,NTRK3,PDE2A,ITGB2,LAPTM5,TFPI,RNASE1,GNG11,RBP4,NAV3,MGAT4A,A2M,TGM2	0.00036465902991141284	0	0
11	BMI1 DN MEL18 DN.V1 DN	2.926058189712219e-05	5.032994567253653	52.54078554943959	SOCS2,RBP4,FCGRT,IL1R1,GPX3,LMO3,ID2,AK1,PDE5A,FOS,A2M	0.00047348941615343187	0	0
12	ESC V6.5 UP LATE.V1 UP	6.804297418918533e-05	4.199375381412213	40.29456508478858	RBP4,DAB2,COL4A2,COL4A1,PODXL,GPX3,TNNC1,RGL3,SLIT3,SH3RF1,CD55,SEL1L3	0.0010093041171395825	0	0
13	KRAS.600.LUNG.BREAST UP.V1 UP	8.02078555150065e-05	3.4388514711095355	32.43142685136036	PPP1R15A,CSF3,DOCK4,PDE2A,LPL,TFPI,RNASE1,GNG11,CLDN5,RBP4,NAV3,ID2,CD37,A2M,FBP1	0.0010982306370516275	0	0
14	STK33 NOMO UP	0.00010092681966091457	3.3638570933055845	30.951235493359928	PPP1R15A,DOCK4,CADM1,IL1R1,EPAS1,FOS,GNG11,ZEB2,ZFP36,DAB2,FABP4,OLR1,A2M,TPSAB1,IL6ST	0.0012832124214030567	0	0
15	KRAS.300 UP.V1 UP	0.00014078859110549274	4.560924369747899	40.44742277158944	CSF3,RBP4,DOCK4,NAV3,LMO3,PDE2A,ITGB2,A2M,TFPI,RNASE1	0.0016487350818708947	0	0
16	SNF5 DN.V1 UP	0.00015684425965975093	4.11708617911135	36.066733932674204	CD52,SPI1,PTPRC,ID2,ELN,ABI3BP,ITGB2,FBLN1,EVL,VAMP5,AIF1	0.0016487350818708947	0	0
17	MEL18 DN.V1 DN	0.00015746346287531018	4.494363929146538	39.354075763957525	SOCS2,RBP4,SH3BGRL,PLN,IL1R1,ID2,AK1,PDE5A,FOS,A2M	0.0016487350818708947	0	0
18	LEF1 UP.V1 DN	0.00029031342006730483	3.8155357079315375	31.075819288615776	SELENBP1,MEF2C,RBP4,RBM47,SH3BGRL,KDM5D,LIMCH1,TNNC1,STAT4,OLR1,PAPSS2	0.0028708771539989035	0	0
19	P53 DN.V1 DN	0.0003175642717896109	3.772988000140761	30.390778175560136	SOCS3,NR4A1,NAV3,IL1R1,APOC1,STAT4,CAPN3,VIM,ITGAL,DOCK2,FBLN5	0.0029546025211011706	0	0
20	EGFR UP.V1 UP	0.0003319778113596821	3.752064814166725	30.0556991670069	SOCS2,CADPS2,SDCBP,IL1R1,CRISPLD2,EPAS1,MGAT4A,A2M,TFPI,PAPSS2,SEL1L3	0.0029546025211011706	0	0
21	SNF5 DN.V1 DN	0.00036108306151277214	4.024118738404453	31.896784984539483	RBP4,NNMT,DES,FABP4,GPX3,RPS6KA2,OLR1,ESR1,SH3RF1,MYLK	0.003060608807108259	0	0
22	CAMP UP.V1 DN	0.0004491179817738137	3.6118019748592998	27.840582057685292	ZFP36,PTPRC,MYO15B,STXBP1,ID2,CELF2,TIMP2,FOSB,SVEP1,MYH10,SEL1L3	0.003633772761624493	0	0
23	CSR LATE UP.V1 DN	0.000479758023016846	3.8720238095238093	29.590891483791758	ACVRL1,ANKRD29,TNXB,CFH,TSC22D3,SVEP1,TBC1D2B,PDE5A,VAMP5,PRKG1	0.003712909917260808	0	0
24	KRAS.LUNG.BREAST UP.V1 UP	0.0006207397742001811	4.091841958302308	30.216610425383564	CSF3,RBP4,DOCK4,NAV3,ID2,PDE2A,CD37,A2M,RNASE1	0.004603819991984677	0	0
25	KRAS.50 UP.V1 UP	0.0010612048652973909	7.133720930232558	48.85422023648164	DOCK4,RBP4,LMO3,ITGB2,A2M	0.0073438459016810995	0	0
26	STK33 UP	0.0010726965923803853	2.8861607142857144	19.73435368304987	PPP1R15A,DOCK4,FOS,TFPI,GNG11,ZEB2,ZFP36,FABP4,TYROBP,OLR1,VSIG4,CD36,IL6ST	0.0073438459016810995	0	0
27	IL15 UP.V1 DN	0.001131013582590808	3.4382716049382718	23.32743874946777	VWF,TSC22D3,TNFAIP2,MMP19,PTGDS,LRP2BP,PRKG1,PNRC1,MYLK,FSTL3	0.007456311766709771	0	0
28	IL2 UP.V1 UP	0.0012239293365047315	3.4001395429966856	22.800277747699806	SOCS2,CLDN5,CD52,RGS3,LMO3,HEG1,AATK,FOS,CD69,ITGA9	0.00778069363920865	0	0
29	RAF UP.V1 DN	0.0013229816778020293	3.3628364389233956	22.28843347684913	SELENBP1,SH3BGRL,ID2,TSC22D3,MGP,PMP22,JMJD1C,FOS,TFPI,MYLK	0.008120370298233147	0	0
30	MEK UP.V1 UP	0.0014284685668006806	3.326335552142004	21.791330938951777	CADPS2,SDCBP,MEF2C,LIMCH1,EPAS1,GPX3,RFTN1,TIMP2,NEDD9,PPARG	0.008475580163017372	0	0
31	NRL DN.V1 DN	0.0015823778095773935	3.9154774422913223	25.25023516167557	SOCS3,NR4A1,ALDH2,PECAM1,RNASE4,RGL3,ABCC9,ADRB2	0.009085911293702453	0	0
