Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Hypertrophic cardiomyopathy	9.74384866291665e-06	7.337448559670782	84.66589718821284	EDN1,IL6,ACE,SGCA,ITGA1,LMNA,DMD,CACNA1C,TNF	0.0014789173635734235	0	0
2	Rheumatoid arthritis	1.2749287617012271e-05	7.074314574314574	79.72777399318133	IL6,ANGPT1,TNFSF13,CCL2,TNF,TLR4,CXCL5,HLA-DRB1,HLA-DQB1	0.0014789173635734235	0	0
3	Malaria	0.00011017945243003162	8.931818181818182	81.39923303030542	SELP,IL6,CD81,CCL2,TNF,TLR4	0.008148506166488167	0	0
4	Hematopoietic cell lineage	0.0001404914856291063	5.7830223467807365	51.29751133653776	IL6,CSF3R,IL7,ITGA1,TNF,HLA-DRB1,EPOR,HLA-DQB1	0.008148506166488167	0	0
5	Coronavirus disease	0.00025325150297791503	3.612987012987013	29.919606038466995	C1QB,SELP,NFKBIA,NRP1,IL6,ACE,AGTR1,F13A1,CCL2,TLR4,TNF,C2	0.011750869738175258	0	0
6	Inflammatory bowel disease	0.00047280075913898583	6.65593220338983	50.963384544920025	IL6,RORC,TNF,TLR4,HLA-DRB1,HLA-DQB1	0.01828162935337412	0	0
7	Lysosome	0.0008016597926313253	4.378970917225951	31.21692277370426	NAPSA,SORT1,LAMP3,SLC11A1,CTSH,CD68,LITAF,CTSD	0.02456767086248664	0	0
8	AGE-RAGE signaling pathway in diabetic complications	0.0008711253128661968	4.93426115726256	34.76544580599162	EGR1,IL6,EDN1,AGTR1,CCL2,TNF,PRKCZ	0.02456767086248664	0	0
9	Chagas disease	0.0009793026072648188	4.829889104030981	33.4647070857396	NFKBIA,C1QB,IL6,ACE,CCL2,TNF,TLR4	0.02456767086248664	0	0
10	Pertussis	0.0010878206486489724	5.606857142857143	38.25883259504544	C1QB,IL6,TNF,TLR4,CXCL5,C2	0.02456767086248664	0	0
11	Leishmaniasis	0.0011648464633075564	5.527605633802817	37.33989359355794	NFKBIA,TNF,TLR4,FCGR2C,HLA-DRB1,HLA-DQB1	0.02456767086248664	0	0
12	Influenza A	0.0013632574704822245	3.630972299683956	23.956713141620334	NFKBIA,NXF1,TPSB2,IL6,CCL2,TNF,TLR4,HLA-DRB1,HLA-DQB1	0.02635631109598967	0	0
13	TNF signaling pathway	0.001688389501827088	4.367670011148272	27.883118704889974	NFKBIA,IL6,EDN1,CCL2,TNF,JUNB,CXCL5	0.03013125880183726	0	0
14	Cytokine-cytokine receptor interaction	0.0020622744699483166	2.7995961635537605	17.312550919493926	IL1RL1,IL6,CSF3R,IL7,TNFSF12,TNFSF13,CCL4,CCL2,TNFSF8,TNF,CXCL5,EPOR	0.03417483407342925	0	0
15	Viral myocarditis	0.0022281508133325696	5.931440652370885	36.22083625003456	SGCA,CAV1,DMD,HLA-DRB1,HLA-DQB1	0.03446206591287708	0	0
16	IL-17 signaling pathway	0.0032246251239869063	4.455909090909091	25.563276755298247	NFKBIA,IL6,JUND,CCL2,TNF,CXCL5	0.04371137209644618	0	0
17	Staphylococcus aureus infection	0.0033987658154138135	4.40561797752809	25.04304330911471	C1QB,SELP,FCGR2C,HLA-DRB1,HLA-DQB1,C2	0.04371137209644618	0	0
18	Osteoclast differentiation	0.0034329260624539016	3.8187848383500556	21.669092350627686	NFKBIA,JUND,MITF,TNF,JUNB,FCGR2C,SIRPB1	0.04371137209644618	0	0
19	Dilated cardiomyopathy	0.003579810645829644	4.356444444444445	24.53743535033454	SGCA,ITGA1,LMNA,DMD,CACNA1C,TNF	0.04371137209644618	0	0
20	Graft-versus-host disease	0.003806158058510099	6.851167654234925	38.1687797874079	IL6,TNF,HLA-DRB1,HLA-DQB1	0.044151433478717146	0	0
