Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	SIRNA EIF4GI UP	0.014183000347183282	105.86702127659575	450.5394671189797	HLA-B	0.029114080636196794	0	0
2	RB DN.V1 DN	0.018781967584401812	79.488	315.953515922278	GADD45A	0.029114080636196794	0	0
3	NRL DN.V1 UP	0.020262449098943404	73.56296296296296	286.8209556494532	GADD45A	0.029114080636196794	0	0
4	RB P130 DN.V1 DN	0.020706303035718444	71.95289855072464	278.98420614565964	GADD45A	0.029114080636196794	0	0
5	CRX NRL DN.V1 UP	0.02085422455887296	71.43165467625899	276.45469953335635	GADD45A	0.029114080636196794	0	0
6	BMI1 DN MEL18 DN.V1 UP	0.021593608775632392	68.93402777777777	264.38666788487086	GADD45A	0.029114080636196794	0	0
7	PDGF UP.V1 UP	0.021741440945039152	68.45517241379311	262.08303164047317	GADD45A	0.029114080636196794	0	0
8	ESC V6.5 UP LATE.V1 DN	0.02764252620102137	53.545945945945945	192.14426641897393	GADD45A	0.029114080636196794	0	0
9	CYCLIN D1 UP.V1 UP	0.027936955947393486	52.967914438502675	189.50886279946315	GADD45A	0.029114080636196794	0	0
10	E2F1 UP.V1 DN	0.02867277029258455	51.575520833333336	183.18631536211723	GADD45A	0.029114080636196794	0	0
11	HOXA9 DN.V1 UP	0.028819888597292943	51.30569948186528	181.9653884070142	GADD45A	0.029114080636196794	0	0
12	LTE2 UP.V1 DN	0.029114080636196794	50.774358974358975	179.56521389723363	GADD45A	0.029114080636196794	0	0
