Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	1-acylglycerophosphocholine O-acyltransferase activity (GO:0047184)	0.0032958256764104633	399.68	2284.210591570385	LPCAT4	0.031477751505835073	0	0
2	GPI anchor binding (GO:0034235)	0.00384417200458596	333.05	1852.1566750462314	THY1	0.031477751505835073	0	0
3	retinol binding (GO:0019841)	0.00384417200458596	333.05	1852.1566750462314	RBP4	0.031477751505835073	0	0
4	lysophospholipid acyltransferase activity (GO:0071617)	0.004392244396163033	285.45714285714286	1549.43708775113	LPCAT4	0.031477751505835073	0	0
5	O-acetyltransferase activity (GO:0016413)	0.004392244396163033	285.45714285714286	1549.43708775113	LPCAT4	0.031477751505835073	0	0
6	CD4 receptor binding (GO:0042609)	0.004392244396163033	285.45714285714286	1549.43708775113	HLA-DRB1	0.031477751505835073	0	0
7	MHC class II receptor activity (GO:0032395)	0.005487567669022947	222.0	1155.5699775561973	HLA-DRB1	0.03243715066171245	0	0
8	intracellular ligand-gated ion channel activity (GO:0005217)	0.006034818727760455	199.79	1020.9687483548147	RYR1	0.03243715066171245	0	0
9	calcium-release channel activity (GO:0015278)	0.009312583434128836	124.83125	583.7594513941907	RYR1	0.03727737015066215	0	0
10	MHC class II protein complex binding (GO:0023026)	0.009312583434128836	124.83125	583.7594513941907	HLA-DRB1	0.03727737015066215	0	0
11	ligand-gated calcium channel activity (GO:0099604)	0.010402987018789436	110.95	506.5602322657193	RYR1	0.03727737015066215	0	0
12	GABA-A receptor activity (GO:0004890)	0.010402987018789436	110.95	506.5602322657193	GABRP	0.03727737015066215	0	0
13	GABA receptor activity (GO:0016917)	0.012036547438812547	95.08571428571429	420.26056624547704	GABRP	0.03981319537453381	0	0
14	calcium ion binding (GO:0005509)	0.014967302050186992	12.615928066795119	53.01070818097932	RYR1,CALB1	0.045970999154145764	0	0
15	O-acyltransferase activity (GO:0008374)	0.01638073395054089	68.82758620689656	282.994903106762	LPCAT4	0.04695810399155055	0	0
16	retinoid binding (GO:0005501)	0.018546309917010683	60.472727272727276	241.13405880391542	RBP4	0.04984320790196621	0	0
