Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	HINATA NFKB MATRIX	3.830094710119993e-05	293.72058823529414	2987.1489367888853	FN1,KRT7	0.0025278625086791956	0	0
2	ESC J1 UP LATE.V1 UP	0.0007422136198168371	19.74035904255319	142.24652929397163	TNNT1,KRT7,HLA-DRB1	0.024493049453955626	0	0
3	SIRNA EIF4GI UP	0.0036219464951458462	25.15876027830487	141.4109431281691	CA2,TNNT1	0.04347876314981593	0	0
4	CAHOY NEURONAL	0.004004045638803338	23.869147659063625	131.7684366549516	CALB1,CKMT1A	0.04347876314981593	0	0
5	RB DN.V1 DN	0.006277237838929582	18.83965844402277	95.53261535919816	LRRC4,KRT7	0.04347876314981593	0	0
6	CRX NRL DN.V1 UP	0.007694848609914605	16.916453537936913	82.33583346721679	TNNT1,CKMT1A	0.04347876314981593	0	0
7	RELA DN.V1 DN	0.007801163860298404	16.793906051629286	81.50892650097057	GSTM1,MUC4	0.04347876314981593	0	0
8	KRAS.PROSTATE UP.V1 DN	0.008124111152401935	16.43661971830986	79.10811857172071	KRT16,MUC4	0.04347876314981593	0	0
9	BMI1 DN.V1 DN	0.008124111152401935	16.43661971830986	79.10811857172071	CA2,TNNT1	0.04347876314981593	0	0
10	KRAS.KIDNEY UP.V1 UP	0.008233090015278818	16.32085561497326	78.33347868115838	CALB1,CA2	0.04347876314981593	0	0
11	KRAS.LUNG UP.V1 DN	0.008233090015278818	16.32085561497326	78.33347868115838	RYR1,KRT16	0.04347876314981593	0	0
12	KRAS.LUNG.BREAST UP.V1 DN	0.008233090015278818	16.32085561497326	78.33347868115838	RYR1,KRT16	0.04347876314981593	0	0
13	MEL18 DN.V1 DN	0.008563998802236471	15.983078162771958	76.08245764251495	JUP,CA2	0.04347876314981593	0	0
