Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	protein homodimerization activity (GO:0042803)	3.975746320872249e-09	3.085527544351074	59.68352391187076	TOP2A,TENM2,TENM4,SHMT2,HSPB1,NADK2,ATIC,IRAK1,IMPA2,STC2,UGT1A3,UGT1A9,S100A11,UGT1A7,UGT1A6,GSTM4,TBX1,TPD52,GSTM3,NTRK2,GSTM2,G6PD,GSTM1,TPI1,JUP,UGT1A1,EIF2AK1,ACTN4,SLC51A,CIP2A,TPD52L1,GRHL1,KNSTRN,MSH6,GGCT,NUDT21,ANO1,STUB1,TKT,MAP3K13,FGFR2	1.9998003993987414e-06	0	0
2	monocarboxylic acid binding (GO:0033293)	3.8996157613491353e-07	14.884057971014492	219.64728262744046	UGT1A1,AKR1C1,AKR1C3,AKR1C2,UGT1A3,UGT1A9,UGT1A7,UGT1A6	9.807533639793075e-05	0	0
3	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	7.745075837997723e-07	6.888849557522124	96.93326655425786	CBR1,UGDH,G6PD,BDH1,RDH10,AKR1C1,AKR1C3,PHGDH,PGD,PTGR1,ADH7,CBR3	0.0001298591048837618	0	0
4	RNA binding (GO:0003723)	3.4084620277988817e-06	2.007046915687111	25.267214152289657	RPL4,ISY1,TOP2A,RBM28,HMGB3,HSPB1,MSI2,BRCA1,YY1,MRPL42,MRPL3,SNRPD1,C1QBP,RPL37,KPNA2,RBM34,NELFE,EIF5B,MRPS24,STRBP,DDX11,MRPS23,ACTN4,SMC1A,YWHAZ,DARS1,DKC1,CLNS1A,ESRP1,TCP1,FSCN1,STRAP,PKP3,PABPC1,ALDOA,MRPL15,RPF2,RAD51AP1,PRDX1,DNAJC21,SAP18,HNRNPA1,NQO1,PNPT1,NIFK,CDKN2A,XRCC5,RPL35A,PDAP1,HSPE1,LSM4,U2SURP,CHERP,NUDT21,CAPRIN1,RPL22L1,GRSF1,RAN,EIF4G1,APOBEC3B	0.00042861409999570937	0	0
5	DNA secondary structure binding (GO:0000217)	8.758578204513956e-06	11.493856253156034	133.8514383111208	RAD51AP1,YY1,RECQL4,MSH6,RBBP8,HMGA1,HMGB3	0.000881112967374104	0	0
6	retinoid binding (GO:0005501)	1.0810443383960946e-05	11.067590566496474	126.55787500837336	UGT1A1,ABCA4,UGT1A3,ADH7,UGT1A9,UGT1A7,UGT1A6	0.0009062755036887259	0	0
7	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	2.3253855202771012e-05	19.335511982570807	206.29134350211555	NQO1,CBR1,AKR1C1,AKR1C3,AKR1C2	0.0016709555952848314	0	0
8	glutathione transferase activity (GO:0004364)	2.953188374038848e-05	12.174048658764816	126.9758153677598	GSTM4,GSTM3,GSTM2,GSTM1,GSTP1,MGST1	0.0018568171901769258	0	0
9	glucuronosyltransferase activity (GO:0015020)	6.790323962794058e-05	10.22410480349345	98.12509757778311	UGT1A1,UGT1A3,UGT1A9,LARGE2,UGT1A7,UGT1A6	0.003795036614761568	0	0
10	hexosyltransferase activity (GO:0016758)	0.00010335921880990051	4.368162864851606	40.0879413911999	UGT1A1,TMTC3,HAS3,UGT1A3,UGT1A9,LARGE2,B4GALT4,UGT1A7,FUT3,B4GALNT4,UGT1A6	0.005198968706137995	0	0
