Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	9.294403935838102e-20	5.486829213356608	240.44541750139513	HJURP,TSKU,PANX2,UCHL1,TRIM29,PHGDH,NRCAM,CBR1,SREBF1,GPX2,G6PD,UGT1A1,IGFBP3,NDUFC2,TALDO1,PTGR1,PGD,UGDH,ALDH3A1,DBF4,MTHFD2,TKT,PFN2,CSTA,ABCB6,MGST1,NT5DC1,PTPRZ1,STC2,GPC1,SPP1,UGT1A5,UGT1A3,UGT1A9,UGT1A7,UGT1A6,CBR3,NQO1,RRM2,TXNRD1,AKR1C1,CYP4F3,GSR,OSGIN1,AKR1C3,CYP4F11,TPD52L1,GCLC,TMEM237,RPL22L1,TMEM18	1.626520688771668e-17	0	0
2	CSR LATE UP.V1 UP	1.2104659744647063e-05	4.1236009249145305	46.68708009980506	CXCL6,FEN1,DTYMK,RRM2,UBE2C,IGFBP3,FANCA,RPF2,FOXM1,ANLN,PBK,BIRC5,FAM83D,UMPS,EZH2	0.001059157727656618	0	0
3	MEL18 DN.V1 UP	2.546251653671947e-05	4.370565410199556	46.23316574528703	CA12,JAG1,DDX11,ABCC5,FZD6,ADM,PTHLH,SLC7A5,STC2,COL7A1,ADAM12,SPP1,CHST2	0.001485313464641969	0	0
4	P53 DN.V1 UP	4.9822309889695575e-05	3.612683679436613	35.79102948118691	COL17A1,CDKN2A,ITGB4,ADM,LSR,SULF1,KLK10,UCHL1,KRT19,CALB1,KLF5,KRT15,CD24,PITX1,DSC2	0.0021797260576741813	0	0
5	GCNP SHH UP LATE.V1 DN	8.27911491689958e-05	3.6302543507362786	34.121448199606036	DLX5,NDUFA10,SLC2A1,LSR,ACTN4,KLK8,MRPL3,WNK2,GJB6,ESRP1,UBE2V2,S100A11,MDFI,KPNA1	0.002897690220914853	0	0
6	E2F1 UP.V1 UP	0.0001392112378175483	3.4419555555555554	30.56290659256449	TPD52,TOP2A,FEN1,RRM1,HMGB3,TYMS,NCAPH,DBF4,PRC1,DNAJC21,MCM4,GRSF1,KPNA1,EZH2	0.004060327769678492	0	0
7	LEF1 UP.V1 UP	0.00019313177403219853	3.3268262737875998	28.451476846639224	RYR1,KCNG1,CDKN2A,WNT5A,KRT13,PAX6,KRT5,MPP6,BMP7,ANO1,SLC6A8,STC2,CHST2,STRA6	0.0044554469204022016	0	0
8	MEK UP.V1 UP	0.00020367757350410064	3.3083760683760683	28.117796683871386	EGLN3,GPX2,ST6GALNAC2,ITGB4,TMPRSS4,AKR1C3,AKR1C2,ADM,AQP3,BMP7,ALDH3A1,CLDN4,TRIM29,APOD	0.0044554469204022016	0	0
9	KRAS.LUNG UP.V1 DN	0.0005797301842782066	3.5158973345194555	26.203799171371983	TGM1,RYR1,SERPINB13,KRT16,KRT15,IGFBP2,KRT13,RHCG,CXCL14,KLK8,KLK11	0.011272531360965128	0	0
10	ESC V6.5 UP EARLY.V1 DN	0.000702612016160049	3.2150442477876107	23.343490146651547	TGM1,COL1A1,GPX2,KRT19,KRT17,KRT16,IGFBP3,COL11A1,AQP3,C16ORF74,KLK10,KLK11	0.012295710282800857	0	0
