Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	MHC class II receptor activity (GO:0032395)	6.340731089268362e-09	83.44334277620396	1575.0992149216668	HLA-DOA,HLA-DQA1,HLA-DQB2,HLA-DRB1,HLA-DPA1,HLA-DQB1	2.732855099474664e-06	0	0
2	calcium ion binding (GO:0005509)	1.906453151633266e-05	3.280243161094225	35.64863607358704	MCTP1,TNNC1,LTBP4,LPL,SYT15,FBLN1,AIF1,THBS1,TTN,SELP,CDH5,CLEC3B,SCUBE1,RGN,ENPP2,CAPN3,SLIT3,SLIT2,TGM2	0.0033675856877999643	0	0
3	metal ion binding (GO:0046872)	2.3440271608816458e-05	2.7825497260149556	29.664915685741242	MCTP1,TNNC1,LRRK2,LTBP4,LPL,SYT15,FBLN1,IRAK3,SEPTIN4,AIF1,THBS1,TTN,SELP,CDH5,RAP2A,CLEC3B,SCUBE1,RGN,ENPP2,CAPN3,SLIT3,SLIT2,FBP1,TGM2	0.0033675856877999643	0	0
4	vascular endothelial growth factor-activated receptor activity (GO:0005021)	0.00019026229919753422	41.37008426966292	354.4219350520383	NRP1,PDGFRA,NRP2	0.017405600167389394	0	0
5	MHC class II protein complex binding (GO:0023026)	0.00020192111563096743	17.01235102925244	144.73484673937344	CD74,HLA-DMA,HLA-DOA,HLA-DRB1	0.017405600167389394	0	0
6	exopeptidase activity (GO:0008238)	0.00036160185369076757	7.086010487613766	56.156397880773	CPM,ACE,MME,DPEP2,CTSH,LTA4H	0.025975066490120137	0	0
7	protein tyrosine kinase activity (GO:0004713)	0.0007384704561512068	4.453789173789174	32.11595957083395	PDGFRA,HCK,PEAK1,AATK,FGFR4,ROS1,HIPK3,TTN	0.03664476300898377	0	0
8	transforming growth factor beta binding (GO:0050431)	0.0008163832733994972	11.054084507042253	78.60146750554138	ACVRL1,LTBP4,THBS1,ENG	0.03664476300898377	0	0
9	lipoprotein particle binding (GO:0071813)	0.0008163832733994972	11.054084507042253	78.60146750554138	MSR1,APOA2,LPL,THBS1	0.03664476300898377	0	0
10	semaphorin receptor activity (GO:0017154)	0.0008502265199300178	20.680828651685392	146.21361884275876	NRP1,NRP2,PLXND1	0.03664476300898377	0	0
11	transforming growth factor beta-activated receptor activity (GO:0005024)	0.0011186066461333552	18.382022471910112	124.91818501371064	ACVRL1,LTBP4,ENG	0.043829042225770554	0	0
12	protease binding (GO:0002020)	0.0013152357971995272	4.046827246827247	26.845597012206138	ADAMTS4,CCBE1,SERPINA1,VWF,A2M,TNF,SERPINB6,TTN	0.047238885716083014	0	0
