Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	ESC J1 UP LATE.V1 UP	6.79808077790889e-08	5.561252268602541	91.78313217205418	PDGFRA,RAMP2,CITED2,GPX3,APOA2,KRT7,LMO7,HNF1B,PTH1R,DAB2,COL4A2,PODXL,SLCO2A1,CA4,CTSH,RGL3,HLA-DRB1	1.2100583784677823e-05	0	0
2	CORDENONSI YAP CONSERVED SIGNATURE	7.36828909474528e-07	10.49625	148.21660280764812	DAB2,ITGB2,COL4A3,PMP22,AMOTL2,SLIT2,THBS1,TNS1,TGM2	6.557777294323299e-05	0	0
3	KRAS.600 UP.V1 UP	1.1850538873964686e-06	4.039585162423179	55.12305737327538	NRP1,CSF3,DOCK4,PCDH9,LIMCH1,NTM,ITGB2,LAPTM5,ETV1,TFPI,RNASE1,GNG11,HSD11B1,SLCO4A1,MGAT4A,A2M,KCNK3,CCNJL,TGM2	6.774478290776953e-05	0	0
4	ATF2 S UP.V1 DN	1.5223546720847087e-06	4.935691590048675	66.1148341009518	ITIH5,IL1R1,ADH1B,CELF2,C4BPA,CRIP2,FOS,SMAD6,DES,SERPING1,CCL2,SVEP1,SLIT3,CD302,A2M	6.774478290776953e-05	0	0
5	RPS14 DN.V1 UP	2.118176225387731e-06	4.795033504138747	62.64689748524886	CPM,VWF,ITGB2,AIF1,DCN,HCK,HLA-DMA,TYROBP,SPTLC3,ENPP2,CTSH,CCL2,MNDA,PTGDS,HLA-DQB1	7.540707362380323e-05	0	0
6	ESC V6.5 UP LATE.V1 UP	9.094734447731656e-06	4.487977602108037	52.09561347822626	RAMP2,GPX3,TNNC1,KRT7,HNF1B,PTH1R,SH3RF1,DAB2,COL4A2,PODXL,CA4,CTSH,RGL3,SLIT3	0.00023686692874664696	0	0
7	MEL18 DN.V1 UP	9.31499157992432e-06	5.2307486093425375	60.59239274936762	NRP1,NRP2,CD83,ABLIM3,CRISPLD2,SLCO4A1,NTM,GFPT2,SLCO2A1,LTBP4,LPL,HLA-DQA1	0.00023686692874664696	0	0
8	CSR LATE UP.V1 DN	1.274683224247326e-05	4.662788557122345	52.550689076522055	ACVRL1,ANKRD29,SFTPB,TNXB,MME,NTN4,TBC1D2B,CLEC3B,CCL2,SVEP1,PDE5A,PRKG1,APOL3	0.00028361701739503003	0	0
9	EGFR UP.V1 UP	4.856618409308194e-05	4.062186897880539	40.3480088082242	PCDH9,IL1R1,EPAS1,KRT7,TFPI,PAPSS2,RND1,SOCS2,CRISPLD2,MGAT4A,SLCO2A1,CCL2,A2M	0.0009605311965076207	0	0
10	ATF2 UP.V1 DN	0.0001492352007052859	3.8467188143268833	33.88954262517102	ITIH5,IL1R1,LIMCH1,SLCO4A1,CELF2,CCL2,SVEP1,SLIT3,FOS,CD302,SMAD6,CD68	0.002649530223374016	0	0
