Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Central carbon metabolism in cancer	3.1942954671979057e-09	7.997503121098627	156.44635058226356	G6PD,PDHA1,PGAM1,IDH2,SLC2A1,PTEN,HK2,SLC7A5,LDHB,LDHA,PKM,PIK3CA,HRAS,TP53,FGFR3,FGFR2	8.912084353482157e-07	0	0
2	Metabolism of xenobiotics by cytochrome P450	1.1379260725521739e-08	7.1955056179775285	131.61639941626552	CBR1,GSTM3,GSTM2,GSTM1,UGT1A1,GSTP1,AKR1C1,ADH7,ALDH3A1,CYP2S1,UGT1A5,UGT1A3,UGT1A9,UGT1A7,CBR3,UGT1A6	9.369215867743212e-07	0	0
3	Glutathione metabolism	1.1406780621311849e-08	8.768353853169174	160.36493101912828	GSTM3,GPX2,G6PD,GSTM2,RRM1,GSTM1,RRM2,GSTP1,ODC1,GSR,IDH2,PGD,GGCT,GCLC	9.369215867743212e-07	0	0
4	Glycolysis / Gluconeogenesis	1.3432567552320017e-08	7.775919732441472	140.9430836773857	GPI,TPI1,PDHA1,PGAM1,ENO1,ENO2,ADH7,HK2,ALDH3A1,LDHB,LDHA,PKM,ALDOA,DLD,GAPDH	9.369215867743212e-07	0	0
5	Drug metabolism	6.60908158652272e-08	5.403380281690141	89.32995824580264	GSTM3,GSTM2,RRM1,GSTM1,RRM2,UGT1A1,GSTP1,NME2,NME4,ADH7,ALDH3A1,UGT1A5,UGT1A3,TK1,UMPS,UGT1A9,UGT1A7,UGT1A6	3.6878675252796773e-06	0	0
6	RNA transport	1.2137377461650772e-06	3.6306916326953638	49.45657675139836	EIF4A2,EIF2B5,EIF5B,PRMT5,NCBP2,ALYREF,RPP40,THOC3,EIF2S2,MAGOHB,SENP2,RANGAP1,FXR1,CLNS1A,SUMO2,TACC3,STRAP,SAP18,PABPC1,RAE1,RAN,EIF4G1	5.643880519667609e-05	0	0
7	Steroid hormone biosynthesis	1.6731851345120556e-06	6.574962946072284	87.45214539718839	DHRS11,UGT1A1,SRD5A1,HSD17B1,AKR1C1,UGT1A5,AKR1C3,AKR1C2,UGT1A3,UGT1A9,UGT1A7,UGT1A6	6.668837893269477e-05	0	0
8	Cell cycle	2.6066014519711597e-06	4.282568976168881	55.06297348711959	HDAC1,CDKN2A,PLK1,PKMYT1,SMC1A,YWHAZ,CCNB1,CDK7,WEE1,TFDP1,DBF4,PTTG1,CDK4,MCM4,MCM5,TP53,BUB1	8.530025670276434e-05	0	0
9	Huntington disease	2.7516211839601397e-06	2.844987424014709	36.42528523499347	NDUFB5,HDAC1,NDUFA4L2,CACNA1B,COX5A,ATP5MC1,TUBA1C,PSMD4,PSMB3,PSMD2,POLR2E,POLR2H,POLR2I,AP2M1,COX8A,NDUFA9,GPX2,TUBB,NDUFC2,SDHC,TUBA4A,SEM1,NDUFS6,VDAC3,PPIF,TBPL1,VDAC2,HAP1,TP53	8.530025670276434e-05	0	0
10	Diabetic cardiomyopathy	5.205091914497202e-06	3.2867606780085454	39.986313638090245	COX8A,NDUFA9,G6PD,PDHA1,NDUFB5,GSR,NDUFA4L2,SLC2A1,PTEN,ATP2A2,NDUFC2,SDHC,ATP2A1,COX5A,ATP5MC1,COL1A1,PIK3CA,NDUFS6,VDAC3,PPIF,VDAC2,GAPDH	0.00014522206441447194	0	0
11	Alzheimer disease	3.75418564145974e-05	2.400410781753176	24.46031567160907	NDUFB5,NDUFA4L2,ATP2A2,ATP2A1,COX5A,RTN4,ATP5MC1,APH1A,TUBA1C,PPP3R1,PSMD4,PSMB3,PSMD2,HRAS,COX8A,NDUFA9,TUBB,WNT7B,FZD6,WNT5A,NDUFC2,SDHC,TUBA4A,SEM1,PIK3CA,NDUFS6,VDAC3,PPIF,VDAC2,GAPDH	0.0009521979945156977	0	0
12	Parkinson disease	4.339445281564699e-05	2.7493755099479067	27.61796897160058	COX8A,NDUFA9,NDUFB5,TUBB,NDUFA4L2,SEPTIN5,NDUFC2,SDHC,COX5A,TUBA4A,TXN2,ATP5MC1,SEM1,TUBA1C,UCHL1,PSMD4,PSMB3,NDUFS6,PSMD2,VDAC3,PPIF,VDAC2,TP53	0.0010089210279637926	0	0
13	Ascorbate and aldarate metabolism	8.050301645070707e-05	8.125369354157872	76.59961119167691	UGDH,UGT1A1,UGT1A5,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.0017277185838267132	0	0
