Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	9.635750949999614e-16	3.8574573938816554	133.3749887749814	HJURP,MCM10,TSKU,PANX2,UCHL1,TRIM29,PHGDH,NRCAM,CBR1,SREBF1,GPX2,G6PD,ABCC2,UGT1A1,IGFBP3,NDUFC2,TALDO1,PTGR1,PGD,UGDH,ALDH3A1,DBF4,MTHFD2,PPIF,TKT,BCAT1,PPIA,PFN2,CSTA,LRP8,TM9SF3,PTPRZ1,STC2,GPC1,SPP1,UGT1A5,GCNT3,UGT1A3,UGT1A9,UGT1A7,UGT1A6,CBR3,NQO1,RRM2,TXNRD1,AKR1C1,CYP4F3,GSR,STYK1,OSGIN1,AKR1C3,CYP4F11,TPD52L1,EIF2S2,GCLC,TMEM237,PNPLA4,RPL22L1	1.8115211785999274e-13	0	0
2	CSR LATE UP.V1 UP	3.616436500795347e-09	4.626672859755566	89.93223385629551	CXCL6,FEN1,DTYMK,UHRF1,RPF2,FOXM1,PSMD2,PBK,FAM83D,PRMT5,RRM2,WSB2,UBE2C,IGFBP3,FANCA,IMP4,NETO2,KIF22,TUBA4A,ANLN,BIRC5,ITGA6,UMPS,DCTPP1,EZH2	3.399450310747626e-07	0	0
3	P53 DN.V1 UP	6.696453456058162e-07	3.6441707104641035	51.807417041351876	COL17A1,ANXA1,AUTS2,CDKN2A,ITGB4,ADM,LSR,SULF1,KLK10,TUBA4A,NDC80,PRDX2,UCHL1,KRT19,CALB1,KLF5,LPCAT4,KRT15,CD9,CD24,PITX1,MEST,DSC2	4.196444165796448e-05	0	0
4	E2F1 UP.V1 UP	1.5913407224795848e-06	3.5649098403759054	47.59487483749172	TOP2A,SLBP,FEN1,RRM1,HMGB3,MCM10,TYMS,NCAPH,CLN6,SLC9A3R1,DBF4,PRC1,UBE2T,DNAJC21,TYRO3,MCM4,TK1,GRSF1,DCTPP1,BUB1,KPNA1,EZH2	7.479301395654049e-05	0	0
5	RB P107 DN.V1 UP	5.1611944088498016e-05	3.470097861544038	34.255964374173324	SLBP,FKBP10,GSTM2,FEN1,RRM1,RRM2,PAQR4,FANCA,NCAPH,COL1A1,IPO9,PRC1,RPA3,MCM5,NCAPD2,ASF1B	0.001763812327967294	0	0
6	MEL18 DN.V1 UP	5.629188280746683e-05	3.4421573033707866	33.681372252455176	CA12,JAG1,LAMB3,DDX11,ABCC5,FZD6,ADM,PTHLH,GREM1,SLC7A5,STC2,COL7A1,ADAM12,TYRO3,SPP1,CHST2	0.001763812327967294	0	0
7	RPS14 DN.V1 DN	0.00017103928590648075	2.8656888074006166	24.855887975321725	CDCA3,PLK1,KRT13,PYCR1,MCM10,KIF23,MYO19,NCAPH,NLE1,SLC6A8,TRIM29,EXO1,PRC1,PES1,PBK,MCM5,TK1,BCAT1	0.004593626535774054	0	0
8	GCNP SHH UP EARLY.V1 UP	0.00021495328687172187	2.9110788608490776	24.584322464057152	TOP2A,FEN1,RRM1,SRSF1,FBXO45,MCM10,TYMS,AZIN1,MSH6,ANLN,PRC1,UBE2T,MYB,MCM5,KIF1A,LUC7L2,CD276	0.00503560545809169	0	0
9	VEGF A UP.V1 DN	0.00025343306414876693	2.7665674044265596	22.908314660328188	RFC4,RRM2,TWF1,KIF23,KIF22,SMC4,LRP8,NDC80,CCNB1,ATIC,DBF4,EXO1,CCDC86,BIRC5,MCM4,MEST,BUB1,CDKN3	0.00503560545809169	0	0
10	HOXA9 DN.V1 DN	0.00028769540826426525	2.735020291238959	22.300284004234957	FANCI,HELLS,SREBF1,HMGCS1,DLX5,FZD6,IGFBP2,ADM,NME4,MCM10,FANCG,COCH,EXOSC5,TBL1XR1,ZIC1,SPP1,NCAPD2,BCAT1	0.00503560545809169	0	0
11	MEK UP.V1 UP	0.00030628922025660485	2.7195125811046053	22.00352391090411	EGLN3,GPX2,ST6GALNAC2,ITGB4,TMPRSS4,AKR1C3,AKR1C2,ADM,NME4,ENO2,BMP7,LRP8,ALDH3A1,BCAM,CLDN4,TRIM29,PACSIN3,FGFR3	0.00503560545809169	0	0
12	GCNP SHH UP LATE.V1 DN	0.000321421624984576	2.803042461580941	22.54418888363796	GRB7,DLX5,PUS1,SLC2A1,LSR,KLK8,MRPL3,VSNL1,WNK2,GJB6,ESRP1,UBE2V2,S100A11,BCL2L2,MDFI,KPNA1,CD276	0.00503560545809169	0	0
13	RB P130 DN.V1 UP	0.00035492709385553267	3.155874114351623	25.068995804802718	UBE2C,FST,ATP2A1,KIF22,LSM4,RACGAP1,POLD2,BIRC5,TK1,SNRPC,POLR2I,DCTPP1,B4GALT4,SNRPB	0.005132791818833857	0	0
14	GCNP SHH UP LATE.V1 UP	0.00038998954789730926	2.7519529595173946	21.601153745639348	TOP2A,NAA30,RRM1,RRM2,IDH2,SRSF1,MCM10,SMC4,TM9SF3,PSMC3IP,FRMD6,PIK3CA,PRC1,MYB,MCM4,MCM5,TK1	0.005237002500335296	0	0
15	MTOR UP.V1 UP	0.0004954172310262037	2.7897271268057784	21.230131028817084	HELLS,GPX2,RRM2,KCNE3,HMGCS1,UBE2C,UHRF1,SLC41A3,TMPRSS4,SLC2A1,TMEM97,HSPE1,DBF4,BDH1,CCDC86,MCM5	0.006209229295528419	0	0
16	RB DN.V1 DN	0.0006900689856274002	3.082703137570394	22.438129856253195	LAMB3,IGFBP3,KRT8,LRRC4,NDRG1,TUBA4A,DUSP14,SLC7A5,STC2,ADAM12,CD9,RPS2,CTSC	0.007934763704741915	0	0
17	PRC2 EDD UP.V1 UP	0.0007175052286202795	2.5942334739803092	18.781550746728044	HELLS,JUP,PLK1,IDH2,KIF23,MCM10,ENO2,RANGAP1,KLK8,DLK2,RECQL4,BTBD2,TACC3,RAD54L,PACSIN3,MCM5,ASF1B	0.007934763704741915	0	0
18	CORDENONSI YAP CONSERVED SIGNATURE	0.0010121409975457187	4.358956916099773	30.058004249421217	TOP2A,CENPF,FSCN1,BIRC5,PHGDH,TK1,SGK1,NDRG1	0.01057125041881084	0	0
19	BMI1 DN MEL18 DN.V1 UP	0.00249512062055673	2.6363636363636362	15.800829815909704	JAG1,LAMB3,TUFT1,ADM,PTHLH,GREM1,SLC7A5,WEE1,ZNF639,STC2,COL7A1,ADAM12,MICALL1	0.024688561929719226	0	0
20	CSR EARLY UP.V1 DN	0.004197937102146111	2.4669245647969054	13.501877884848346	TFAP2A,SIX1,ADM,GRHL1,SULF1,HOXA10,COL1A1,HEBP2,WEE1,YEATS2,STC2,ZFP64,LRIG3	0.03946060876017344	0	0
21	PRC2 EZH2 UP.V1 UP	0.005264740938271341	2.2314165497896212	11.707625291065657	HELLS,RFC4,HJURP,MCM10,SULF1,THBS2,TPD52L1,NCAPH,HOXA10,CENPF,TACC3,RAD54L,PITX1,BUB1,EZH2	0.044989604381591455	0	0
22	LEF1 UP.V1 UP	0.005264740938271341	2.2314165497896212	11.707625291065657	RYR1,KCNG1,S100A2,AUTS2,CDKN2A,WNT5A,KRT13,PAX6,KRT5,BMP7,ANO1,SLC6A8,STC2,CHST2,STRA6	0.044989604381591455	0	0
