Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	3.561648252230805e-20	5.511976911976912	246.83447519015988	HJURP,TSKU,PANX2,UCHL1,TRIM29,PHGDH,NRCAM,CBR1,SREBF1,GPX2,G6PD,UGT1A1,IGFBP3,NDUFC2,TALDO1,PTGR1,PGD,UGDH,ALDH3A1,DBF4,MTHFD2,TKT,PFN2,CSTA,ABCB6,MGST1,NT5DC1,PTPRZ1,STC2,GPC1,SPP1,UGT1A5,GCNT3,UGT1A3,UGT1A9,UGT1A7,UGT1A6,CBR3,NQO1,RRM2,TXNRD1,AKR1C1,CYP4F3,GSR,OSGIN1,AKR1C3,CYP4F11,TPD52L1,GCLC,TMEM237,RPL22L1,TMEM18	6.375350371493141e-18	0	0
2	CSR LATE UP.V1 UP	7.14115912911256e-07	4.669847571783055	66.08871274633275	CXCL6,FEN1,DTYMK,RRM2,UBE2C,IGFBP3,FANCA,RPF2,FOXM1,TUBA4A,ANLN,PBK,BIRC5,ITGA6,FAM83D,UMPS,EZH2	6.391337420555742e-05	0	0
3	MEL18 DN.V1 UP	6.447782732236961e-06	4.669635182065124	55.81042551983102	CA12,JAG1,LAMB3,DDX11,ABCC5,FZD6,ADM,PTHLH,SLC7A5,STC2,COL7A1,ADAM12,SPP1,CHST2	0.000384717703023472	0	0
4	P53 DN.V1 UP	1.561574748334935e-05	3.8143110585452393	42.213860441919685	COL17A1,CDKN2A,ITGB4,ADM,LSR,SULF1,KLK10,TUBA4A,UCHL1,KRT19,CALB1,KLF5,KRT15,CD24,PITX1,DSC2	0.0006988046998798833	0	0
5	GCNP SHH UP LATE.V1 DN	9.915797817638914e-05	3.565370652917346	32.86842557115027	DLX5,NDUFA10,SLC2A1,LSR,ACTN4,KLK8,MRPL3,WNK2,GJB6,ESRP1,UBE2V2,S100A11,MDFI,KPNA1	0.003549855618714731	0	0
6	E2F1 UP.V1 UP	0.0001661823134161755	3.3804366812227076	29.41799701916268	TPD52,TOP2A,FEN1,RRM1,HMGB3,TYMS,NCAPH,DBF4,PRC1,DNAJC21,MCM4,GRSF1,KPNA1,EZH2	0.004957772350249235	0	0
7	LEF1 UP.V1 UP	0.00023004419713810515	3.267364713262081	27.37149544960718	RYR1,KCNG1,CDKN2A,WNT5A,KRT13,PAX6,KRT5,MPP6,BMP7,ANO1,SLC6A8,STC2,CHST2,STRA6	0.00542631731837369	0	0
8	MEK UP.V1 UP	0.00024251697512284648	3.2492442055760833	27.04813469650803	EGLN3,GPX2,ST6GALNAC2,ITGB4,TMPRSS4,AKR1C3,AKR1C2,ADM,BMP7,ALDH3A1,CLDN4,TRIM29,PACSIN3,APOD	0.00542631731837369	0	0
9	KRAS.LUNG UP.V1 DN	0.0006674910719531584	3.453459384206948	25.25164163764981	TGM1,RYR1,SERPINB13,KRT16,KRT15,IGFBP2,KRT13,RHCG,CXCL14,KLK8,KLK11	0.013275655764401706	0	0
10	ESC V6.5 UP EARLY.V1 DN	0.0008151472593256821	3.1578260869565216	22.458906830457853	TGM1,COL1A1,GPX2,KRT19,KRT17,KRT16,IGFBP3,COL11A1,KRT8,C16ORF74,KLK10,KLK11	0.01459113594192971	0	0
11	RB P107 DN.V1 UP	0.001822862162564116	3.2297702297702298	20.371282849604434	COL1A1,GSTM2,FEN1,RRM1,RRM2,PAQR4,PRC1,RPA3,FANCA,NCAPH	0.029662938827179706	0	0
12	BMI1 DN.V1 UP	0.00260971229578786	3.063639523493538	18.224106564549107	SLC7A5,JAG1,LAMB3,KRT17,STC2,COL7A1,ADAM12,SLC2A1,GABRE,PTHLH	0.03892820841216891	0	0
13	RB DN.V1 DN	0.003037412734024438	3.2249543113473997	18.694251325202107	SLC7A5,LAMB3,IGFBP3,STC2,ADAM12,KRT8,NDRG1,TUBA4A,CTSC	0.04182283687618265	0	0
14	CSR EARLY UP.V1 DN	0.0036478153361219185	2.9136604136604136	16.356202267646907	TFAP2A,COL1A1,HEBP2,YEATS2,STC2,ZFP64,SIX1,ADM,GRHL1,SULF1	0.046639924654701674	0	0
