Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Hematopoietic cell lineage	5.456781386764947e-11	10.375651365793754	245.19300310305223	CSF3,MME,IL1R1,ITGA1,TNF,EPOR,IL6,HLA-DMA,IL7,CD36,HLA-DOA,CD34,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	1.3205410955971171e-08	0	0
2	Malaria	1.1445964123526413e-10	16.850423060375736	385.71964453213815	SELP,CSF3,IL6,HGF,ITGB2,PECAM1,HBB,CCL2,CD36,ACKR1,TNF,THBS1	1.384961658946696e-08	0	0
3	Cell adhesion molecules	3.2476930276340244e-09	6.986841550335288	136.56006039052693	SELPLG,CADM1,ITGB2,ICAM2,SELP,CDH5,CLDN5,HLA-DMA,PECAM1,ESAM,HLA-DOA,CD34,HLA-DQA1,HLA-DRB1,HLA-DPA1,ITGA9,HLA-DQB1	2.619805708958113e-07	0	0
4	Rheumatoid arthritis	2.1861357002959845e-08	8.67599043715847	153.03185016717595	ANGPT1,ITGB2,TNFSF13,FOS,TNF,HLA-DMA,IL6,CCL2,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	1.3226120986790707e-06	0	0
5	Hypertrophic cardiomyopathy	1.3068447866636058e-07	8.192412492140013	129.85367018465516	IL6,ACE,DES,TNNC1,ITGA1,LMNA,CACNA2D2,CACNA1D,TNF,SLC8A1,ITGA9,TTN	6.325128767451852e-06	0	0
6	Staphylococcus aureus infection	2.395396400822331e-07	7.696923935524112	117.33611808989596	C1QB,SELP,HLA-DMA,SELPLG,ITGB2,FPR3,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1,C2	9.661432149983402e-06	0	0
7	Complement and coagulation cascades	5.956446518421844e-07	7.895747649823737	113.17465882031522	C1QB,SERPINA1,VWF,F10,ITGB2,SERPING1,C4BPA,VSIG4,TFPI,A2M,C2	2.0592286535115515e-05	0	0
8	ECM-receptor interaction	8.493617569794407e-07	7.586956521739131	106.0564009703092	TNXB,VWF,COL4A2,COL4A1,LAMA4,ITGA1,COL4A3,CD36,NPNT,THBS1,ITGA9	2.569319314862808e-05	0	0
9	Graft-versus-host disease	1.0380813058088037e-06	12.42238782305375	171.15735442349376	HLA-DMA,IL6,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	2.7912852889525612e-05	0	0
10	Asthma	1.4747502382424917e-06	15.36503136200717	206.30661278415852	HLA-DMA,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	3.5688955765468296e-05	0	0
11	Intestinal immune network for IgA production	3.0055639032964553e-06	10.555795148247979	134.2174140424638	HLA-DMA,IL6,TNFSF13,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	6.612240587252202e-05	0	0
12	Allograft rejection	6.3141979247973885e-06	11.891259105098856	142.37059467577782	HLA-DMA,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00012733632481674734	0	0
13	Pertussis	1.3329876068901623e-05	7.099072206534893	79.6906543708451	C1QB,IL6,SFTPA2,ITGB2,SERPING1,C4BPA,FOS,TNF,C2	0.00022478177081546057	0	0
14	Dilated cardiomyopathy	1.406611635532436e-05	6.155858070208609	68.77165659780516	DES,TNNC1,ITGA1,LMNA,CACNA2D2,CACNA1D,TNF,SLC8A1,ITGA9,TTN	0.00022478177081546057	0	0
15	Leishmaniasis	1.4845106993199917e-05	6.9943163751987285	77.76169206439123	HLA-DMA,ITGB2,FOS,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00022478177081546057	0	0
