Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	1.7364908000514406e-10	5.0059156154849935	112.50287062519537	CPM,RBM47,LST1,ITGB2,TNFAIP2,F13A1,PTPN22,ITGAL,AIF1,HLA-DMA,ENPP2,ANXA6,ITGAX,SH3BP5,CTSH,CCL2,PTGDS,VWF,PDE4D,CRIM1,DCN,PTPRE,HCK,TYROBP,MNDA,CD69,HLA-DQB1	3.1951430720946505e-08	0	0
2	EGFR UP.V1 UP	9.770187256574496e-10	4.754700789503795	98.64347266486949	EPAS1,TFPI,PAPSS2,ACTG2,SEL1L3,RND1,SOCS2,SDCBP,PLAGL1,COTL1,CCL2,A2M,JUNB,CADPS2,EDN1,MBNL2,PCDH9,IL1R1,KRT7,DUSP6,PTPRE,RCAN1,CRISPLD2,MGAT4A,SLCO2A1,MGLL	8.988572276048536e-08	0	0
3	ESC J1 UP LATE.V1 UP	3.754578472313253e-09	4.59229605225353	89.09187433338738	RAMP2,PARM1,CITED2,PTH1R,SEL1L3,PODXL,CA4,CTSH,PCDH1,CD55,PDGFRA,GPX3,CRIM1,APOA2,KRT7,LMO7,HNF1B,RBP4,DAB2,COL4A2,COL4A1,ID2,SLCO2A1,RGL3,HLA-DRB1	2.302808129685462e-07	0	0
4	ERB2 UP.V1 UP	1.732434675785835e-08	4.375021385799829	78.18667655408069	CADPS2,VIPR1,EDN1,PARM1,SERPINA1,IL1R1,LIMCH1,EPAS1,LMO3,PDE4D,RFTN1,KRT7,DUSP6,PAPSS2,PNRC1,SLC9A3R2,SDCBP,PTPRE,DAB2,MUC1,MGAT4A,ANXA6,FGFR4,PCDH1	7.969199508614841e-07	0	0
5	LTE2 UP.V1 UP	6.915145956975768e-08	4.186084249883751	69.01583151300842	UNC13B,EDN1,SERPINA1,PCDH9,IL1R1,EPAS1,GPX3,PROS1,C4ORF19,RFTN1,ACTG2,PNRC1,SDCBP,RCAN1,DIAPH2,DAB2,DPYSL2,PLAGL1,MGAT4A,ANXA6,CD302,FGFR4,SASH1	2.48368527499439e-06	0	0
6	KRAS.600 UP.V1 UP	8.098973722807794e-08	3.432880620155039	56.05531331522188	NRP1,CSF3,DOCK4,RTN1,ITGB2,ATP1A2,TFPI,CXCL5,IL1RL1,A2M,TGM2,PCDH9,LIMCH1,LMO3,NTRK3,PDE2A,LAPTM5,ETV1,RNASE1,GNG11,DUSP6,RBP4,ZEB1,NAV3,SLCO4A1,MGAT4A,TLR4,KCNK3,CCNJL	2.48368527499439e-06	0	0
7	ATF2 S UP.V1 DN	2.204654341170693e-07	4.04662447257384	62.02473742794469	ITIH5,SERPINA3,LAMA2,IL1R1,ADH1B,CELF2,PDE4DIP,C4BPA,ABCA8,FOS,SORBS1,SMAD6,EFEMP1,PLN,DES,NFIB,SERPING1,CCL2,SVEP1,SLIT3,CD302,A2M	5.7950914110772495e-06	0	0
8	CRX DN.V1 DN	3.8656844237718177e-07	4.691769681197138	69.27846890722857	CADPS2,EGR1,SERPINA3,PPP1R14A,MYOCD,STEAP4,RNASE4,GNG11,SEL1L3,SOCS3,RBP4,COL4A2,GLIPR2,SERPING1,TAGLN2,RGL3,JUNB,TGM2	8.891074174675181e-06	0	0
9	ATF2 UP.V1 DN	8.995766600657309e-07	3.8331525152743677	53.362625424332265	ITIH5,SERPINA3,CFH,IL1R1,LIMCH1,CELF2,PDE4DIP,RNASE4,ABCA8,FOS,SMAD6,AFF1,EFEMP1,PLN,SLCO4A1,NFIB,CCL2,SVEP1,SLIT3,CD302,CD68	1.8391345050232717e-05	0	0
10	ESC V6.5 UP LATE.V1 UP	1.1687553299058378e-06	3.764519476149079	51.42172180321208	RAMP2,PARM1,GPX3,TNNC1,KRT7,HNF1B,PTH1R,SH3RF1,SEL1L3,RBP4,DAB2,COL4A2,COL4A1,PODXL,PLAGL1,CA4,CTSH,RGL3,SLIT3,ZNF521,CD55	2.1505098070267414e-05	0	0
11	MEK UP.V1 UP	1.938970160389959e-06	3.6343127962085306	47.80340119612966	CADPS2,MEF2C,EDN1,PARM1,PCDH9,LIMCH1,EPAS1,GPX3,RFTN1,FHL1,KRT7,NEDD9,ARRB1,SDCBP,PTPRE,ARHGDIB,TIMP2,COTL1,PPARG,PCDH1,CCNJL	3.2433682682886586e-05	0	0
12	P53 DN.V2 UP	7.17656315924654e-06	3.914520593909907	46.366282769582284	CD83,NTRK3,RORC,C4BPA,FPR3,CXCL5,POU6F1,HS3ST2,NFKBIA,CLEC1A,CA3,CCL4,CD69,PCDH1,CD68,APOL3,KCNK3	0.00011004063510844695	0	0
13	HINATA NFKB IMMU INF	1.0863505545891868e-05	16.275252525252526	186.02778832234497	NFKBIA,IL6,CD83,TNFAIP2,CCL2,OLR1	0.00015376038618800797	0	0
14	CORDENONSI YAP CONSERVED SIGNATURE	1.4064873964714973e-05	6.376040703052729	71.23204329840495	DAB2,ITGB2,COL4A3,CRIM1,PMP22,AMOTL2,SLIT2,THBS1,TNS1,TGM2	0.00018485262925053964	0	0
15	LEF1 UP.V1 DN	1.602325349752203e-05	3.3552055993000875	37.046400449303846	MEF2C,RBM47,KDM5D,LIMCH1,PROS1,TNNC1,HNF1B,CXCL5,PAPSS2,SELENBP1,RBP4,SH3BGRL,BDH2,KCNQ1,STAT4,EFHD1,CTSH,OLR1,CFTR	0.0001965519095696036	0	0
16	KRAS.KIDNEY UP.V1 UP	2.2016976063064283e-05	3.7358994921144077	40.06265329024246	MEF2C,RTN1,PCDH9,LIMCH1,LMO3,PLCL1,AQP4,ANK2,ETV1,ATP1A2,SORBS1,DUSP6,PECAM1,SPARCL1,A2M,ASPA	0.00025319522472523924	0	0
17	KRAS.300 UP.V1 UP	2.399220764914908e-05	3.7069688931757896	39.433924970635445	CSF3,DOCK4,RTN1,LMO3,PDE2A,ITGB2,ETV1,ATP1A2,TFPI,RNASE1,CXCL5,DUSP6,IL1RL1,RBP4,NAV3,A2M	0.0002596803651437312	0	0
18	TGFB UP.V1 UP	6.258812016100137e-05	3.1184124918672738	30.18291203541643	CDK17,PHLDB1,CD163,EDN1,TAGLN,JMJD1C,TBC1D2B,RNASE4,SMAD6,HS3ST2,IL1RL1,HRH1,SLCO2A1,PMP22,RAPGEF2,TRIB1,JUNB,LMCD1	0.0006397896727569028	0	0
19	E2F1 UP.V1 DN	6.696895764431395e-05	3.1004312668463614	29.799117257512204	SERPINA3,PDGFRA,TNXB,PLXND1,IL1R1,LAMA4,PDE4DIP,CXCL5,KLF2,C3,IL1RL1,DAB2,CCL2,APBB2,IL6ST,SASH1,RUNX1T1,TGM2	0.0006485414845554614	0	0
20	KRAS.600.LUNG.BREAST UP.V1 UP	8.024398280792068e-05	2.6245432526986217	24.750594468335695	PPP1R15A,CSF3,DOCK4,PDE2A,SEMA3B,LPL,TFPI,RNASE1,GNG11,ETS1,CXCL5,CLDN5,IL1RL1,RBP4,NAV3,SLCO4A1,ID2,TRIM46,CD37,SLIT2,A2M,FBP1,MGLL	0.0007306709816574271	0	0
21	KRAS.LUNG.BREAST UP.V1 UP	8.339179681959765e-05	3.469844709281329	32.58864484249976	CSF3,DOCK4,PDE2A,SEMA3B,ETS1,RNASE1,CXCL5,IL1RL1,RBP4,NAV3,SLCO4A1,ID2,CD37,A2M,MGLL	0.0007306709816574271	0	0
22	GCNP SHH UP EARLY.V1 DN	0.0001405689555779919	3.1459421804249392	27.903916969654254	EGR1,IL1R1,CITED2,SLC43A3,ANKRD44,WWC2,C4BPA,ETS1,LYST,NR4A2,CNN1,NR5A2,ID2,MGP,CCL2,AMOTL2	0.0011756676284704777	0	0
23	KRAS.50 UP.V1 UP	0.00014868851246476426	5.977089783281734	52.68001897241712	IL1RL1,DOCK4,RBP4,LMO3,ITGB2,ETV1,A2M,CXCL5	0.0011895080997181141	0	0
24	P53 DN.V1 DN	0.0001988143766037455	2.9235882484862077	24.918148872787032	NRP2,IL1R1,PTPRM,MITF,ITGAL,FBLN5,SOCS3,NR4A1,NAV3,APOC1,STAT4,CAPN3,ST3GAL5,VIM,DOCK2,MGLL,SLC19A2	0.0014632738118035668	0	0
25	IL2 UP.V1 UP	0.0001988143766037455	2.9235882484862077	24.918148872787032	EGR1,CD52,LMO3,HEG1,AATK,PTH1R,FOS,DUSP6,SOCS2,CLDN5,RGS3,SLCO4A1,CD69,TRIB1,JUNB,ASPA,ITGA9	0.0014632738118035668	0	0
26	PRC2 EZH2 UP.V1 DN	0.00022498921935584443	2.890251798242113	24.276548793625324	EDN1,MCTP1,PCDH9,GFPT2,VWA5A,AATK,FPR3,ETV1,NR4A2,IL1RL1,PTPRB,ABLIM3,TBXAS1,DMD,TRIB1,SLC19A2,CCNJL	0.0015922313985182836	0	0
27	KRAS.KIDNEY UP.V1 DN	0.00023688482001485648	3.284326171875	27.417346415003145	SEMA5A,ITIH5,EGFL7,ACE,ABCA3,IFI30,ETS1,BMP4,CNN1,IL6,CLEC3B,TYROBP,EFHD1,FOLR2	0.001614326180841985	0	0
28	ESC J1 UP EARLY.V1 DN	0.00027239768142227447	2.951401042367829	24.22583021390953	EGR1,NAPSA,EDN1,TAGLN,WSB1,VWA5A,RNASE4,PTPN22,ARHGEF10L,DUSP6,BMP4,CNN1,SOCS3,ZFP36,JUNB,LIMS2	0.0017900419064892322	0	0
29	BMI1 DN MEL18 DN.V1 DN	0.0003390664405821697	3.160032894736842	25.246496562784777	IL1R1,GPX3,LMO3,AK1,FOS,SOCS2,RBP4,FCGRT,ID2,EFHD1,CTSH,PDE5A,A2M,PPARGC1A	0.002151318105762732	0	0
30	MEL18 DN.V1 DN	0.0003634938325327157	3.136287313432836	24.838605893159755	EGR1,IL1R1,AK1,FOS,SOCS2,RBP4,SH3BGRL,PLN,ID2,EFHD1,PDE5A,DMD,A2M,PPARGC1A	0.00222942883953399	0	0
31	CSR LATE UP.V1 DN	0.0004802932796782053	2.906406179009541	22.208179901637344	ACVRL1,ANKRD29,SFTPB,TNXB,CFH,TSC22D3,TBC1D2B,ACCS,CLEC3B,CCL2,SVEP1,PDE5A,VAMP5,PRKG1,APOL3	0.0028507730148641863	0	0
32	JNK DN.V1 UP	0.0005942036266497914	2.731547449415788	20.29072248258633	STARD13,CD83,BEAN1,ELN,TNNC1,HNF1B,PTPN22,PAPSS2,SYNE1,TBX2,SLCO2B1,CCL4,PECAM1,S1PR1,EFHD1,CD37	0.0034166708532363003	0	0
33	STK33 UP	0.0006871668867162663	2.3264218009478674	16.943174976724794	PPP1R15A,EGR1,NRP1,DOCK4,RTN1,VWA5A,FOS,TFPI,GNG11,TNF,ZEB2,ZFP36,FABP4,TYROBP,CCL4,OLR1,VSIG4,CD36,TRIB1,IL6ST,JUNB	0.00383147597441797	0	0
34	RAF UP.V1 UP	0.0007430783579277101	2.6702890978753047	19.238656048971507	CCR1,ZNF331,HPGD,EPAS1,HEG1,PDE4D,C4ORF19,CRIM1,TBC1D2B,SOCS2,SDCBP,RCAN1,CRISPLD2,GJA5,COTL1,PPARG	0.003907058403279382	0	0
35	KRAS.LUNG UP.V1 UP	0.0007431904571455347	3.044973673946958	21.937690084216296	NRP1,CSF3,DOCK4,EGFL7,NDNF,ETS1,RNASE1,CXCL5,IL1RL1,RBP4,NAV3,SLCO4A1,DOCK2	0.003907058403279382	0	0
36	GCNP SHH UP LATE.V1 DN	0.0008708847115373212	2.7288376724996444	19.227392841574623	CD52,NRP2,EDN1,SLC11A1,TNNC1,ADRB2,PTH1R,HSPG2,AGER,LGALS4,CNN1,FCGRT,S1PR1,AMOTL2,RBKS	0.004451188525635197	0	0
37	BMI1 DN MEL18 DN.V1 UP	0.0009652688656084458	2.9520871743960666	20.496647909395893	NRP2,EDN1,TAGLN,GFPT2,LSAMP,ADRB2,ZEB2,ABLIM3,CRISPLD2,PODXL,TNIP3,APBB2,MGLL	0.004800255980323082	0	0
38	BCAT.100 UP.V1 UP	0.0010075301534145339	4.97269448737764	34.312851723665446	BMP4,EFEMP1,ENPP2,HBA2,SORBS2,DUSP6,ITGA9	0.0048785670586387955	0	0
39	BMI1 DN.V1 UP	0.0010956332316227962	2.907723473118029	19.820272546683697	NRP2,EDN1,TAGLN,GFPT2,LTBP4,LSAMP,ADRB2,BMP4,GPRC5A,CRISPLD2,PODXL,SLCO4A1,SLCO2A1	0.005169141400476782	0	0
40	RELA DN.V1 UP	0.0012403817721890037	2.8646645865834635	19.171298129651355	PPP1R15A,EGR1,KDM5D,LMO7,FOS,SIRPB1,AGPAT4,ZFP36,CCL2,FOSB,PDE5A,JUNB,PRKG1	0.005705756152069417	0	0
41	STK33 SKM UP	0.0014547709718625435	2.228765042645169	14.560314299139966	EGR1,RTN1,TNFAIP2,PTPRM,ETV1,FOS,TFPI,GNG11,TNF,NFKBIA,FGD4,ZFP36,FABP4,TYROBP,CCL4,OLR1,VSIG4,CD36,TRIB1,JUNB	0.006453227181835169	0	0
42	IL15 UP.V1 DN	0.0015024663492407908	2.5715627095908786	16.716822154840784	VWF,TSC22D3,PLCL1,TNFAIP2,LYVE1,LRP2BP,PNRC1,MYLK,FSTL3,LGALS4,SELP,KCNQ1,MMP19,PTGDS,PRKG1	0.006453227181835169	0	0
43	NRL DN.V1 DN	0.0015080911348853928	2.9453041213421174	19.13537749827707	SOCS3,NR4A1,MYOCD,PLEKHH2,ALDH2,ARHGDIB,PECAM1,CCL2,RNASE4,RGL3,ABCC9,ADRB2	0.006453227181835169	0	0
44	RAF UP.V1 DN	0.0018451374351080272	2.513573058462507	15.823448922404769	SERPINA3,TSC22D3,CAV1,JMJD1C,FOS,TFPI,MYLK,SELENBP1,SH3BGRL,EPB41L2,ID2,MGP,PMP22,APBB2,SLC19A2	0.007716029274088113	0	0
45	MEL18 DN.V1 UP	0.002321498901422572	2.784467144823589	16.889303037497466	NRP1,NRP2,EDN1,CD83,ABLIM3,CRISPLD2,SLCO4A1,GFPT2,SLCO2A1,LTBP4,LPL,HLA-DQA1	0.009492351063594516	0	0
46	BMI1 DN.V1 DN	0.00276537925730324	2.720758991787029	16.026841672279392	SOCS2,GPR162,EGR1,SH3BGRL,IL1R1,GPX3,LMO3,EFHD1,ETV1,PDE5A,FOS,PPARGC1A	0.01106151702921296	0	0
47	SNF5 DN.V1 DN	0.0029162610523966186	2.5780806066679753	15.049424229071212	SERPINA3,NNMT,GPX3,ESR1,SH3RF1,MYLK,SLC9A3R2,RBP4,EFEMP1,DES,FABP4,RPS6KA2,OLR1	0.011416851779595272	0	0
48	AKT UP MTOR DN.V1 UP	0.0029873362469830713	2.4675	14.344498311661836	MSR1,EDN1,PARM1,IL1R1,HIF3A,CXCL5,CXCL16,HCK,KCNQ1,PLAGL1,JUNB,VAMP5,CD55,HLA-DQB1	0.011451455613435108	0	0
49	PKCA DN.V1 DN	0.0034096762965993084	2.5274631764491358	14.358866892815724	KANK2,PARM1,CFH,LPL,ZEB2,CA3,PSPC1,ABI3BP,RHOJ,APOC1,SLIT3,TRIB1,FERMT3	0.01272202459940035	0	0
50	AKT UP.V1 DN	0.0034570719020109645	2.424331647398844	13.739495522329989	STAT5A,ITIH5,PDGFRA,RORC,LPL,FMO2,AXIN2,KLF2,EFEMP1,ZEB1,TSPAN4,SLIT3,SASH1,KCNK3	0.01272202459940035	0	0
51	STK33 NOMO UP	0.003882522325281696	2.0750121689334287	11.518953327441343	PPP1R15A,NRP1,DOCK4,CADM1,IL1R1,EPAS1,VWA5A,FOS,GNG11,ZEB2,ZFP36,DAB2,FABP4,CCL4,OLR1,A2M,TPSAB1,IL6ST,JUNB	0.01400753152650651	0	0
52	IL15 UP.V1 UP	0.0043728348239761424	2.35561797752809	12.796526666046754	ACVRL1,EGR1,HEG1,PTH1R,FOS,DUSP6,SOCS2,RGS3,SLCO4A1,ZBBX,CCL4,CD69,TRIB1,JUNB	0.015210240475397627	0	0
53	ESC V6.5 UP EARLY.V1 DN	0.004381210571717795	2.447345440987451	13.29013860858718	TAGLN,WSB1,CAV1,BMP4,SOCS3,COL4A2,COL4A1,CRY2,MGP,TIMP2,PMP22,CD37,JUNB	0.015210240475397627	0	0
