Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RNA binding (GO:0003723)	1.8477112064072506e-09	2.079918507200074	41.825742986377755	EIF4A2,TOP2A,RBM28,NAT10,HMGB3,HSPB1,ENO1,MSI2,BRCA1,SPOUT1,DUSP14,YY1,MRPL3,FBL,PSMD4,SNRPD2,SNRPD1,SUMO2,RPL37,BUD23,KPNA2,RBM34,ZNF385A,EIF5B,TSFM,MRPS24,NCBP2,PUS1,DDX11,MRPS23,IMP4,ZCRB1,SMC1A,RANGAP1,YWHAZ,DARS1,PKM,CLNS1A,ESRP1,TCP1,FSCN1,CCDC86,STRAP,PKP3,PABPC1,FKBP4,SNRPC,ALDOA,PPIA,LUC7L2,SNRPB,DAP3,SLBP,SRSF1,TRMT2A,SLC3A2,MRPL15,RPF2,RTN4,MRPL11,RAD51AP1,FXR1,PRDX1,PES1,FAM120A,DHX36,DNAJC21,SAP18,DROSHA,RALY,RPS2,HNRNPA1,RAE1,NQO1,XRCC6,TRMT10C,CDKN2A,MDH2,CCDC59,RPP40,RPL35A,PDAP1,DEK,HSPE1,MAGOHB,LSM4,MRPL21,U2SURP,CHERP,NUDT21,RPL22L1,GRSF1,LSM14A,RAN,EIF4G1	1.1585149264173462e-06	0	0
2	protein homodimerization activity (GO:0042803)	3.487093279703031e-08	2.4882261400167907	42.72685440674905	TOP2A,TENM2,TENM4,HSPB1,ATP2A1,ENO1,NADK2,ATIC,IMPA2,TPD52,STARD3,G6PD,TPI1,HMGCS1,UGT1A1,SLC51A,CIP2A,KNSTRN,MSH6,ANO1,TKT,SNRPC,SHMT2,ODC1,CLN6,FXR1,IRAK1,PDCD10,STC2,HSD17B1,DROSHA,UGT1A3,UGT1A9,MORC2,S100A11,UGT1A7,UGT1A6,TBX1,GSTM3,NTRK2,GSTM2,GSTM1,JUP,BNIP3,TPD52L1,GRHL1,GGCT,NUDT21,CENPF,MAP3K13,BCL2L2,FGFR2	1.0932037431869002e-05	0	0
3	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	7.509983254820155e-08	6.139806213165518	100.72012873253051	CBR1,G6PD,DHRS11,MDH2,AKR1C1,AKR1C3,PGD,PTGR1,ADH7,UGDH,LDHB,LDHA,BDH1,RDH10,PHGDH,CBR3	1.5695865002574124e-05	0	0
4	cadherin binding (GO:0045296)	2.377234407669637e-07	3.041129072618988	46.38378066547371	LAD1,NOTCH3,OLA1,TWF1,SLC3A2,ENO1,BZW2,NDRG1,CDH8,RTN4,LDHA,ATIC,CDH3,TRIM29,PRDX1,MICALL1,RPS2,S100A11,NCK1,ANXA1,JUP,SCRIB,CIP2A,RANGAP1,YWHAZ,ANLN,PKM,FSCN1,ITGA6,PKP3,ALDOA,RAN	3.726314934022156e-05	0	0
5	monocarboxylic acid binding (GO:0033293)	1.0362964191510389e-05	9.3937435209464	107.81455177256152	UGT1A1,AKR1C1,AKR1C3,AKR1C2,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.001299515709615403	0	0
6	DNA secondary structure binding (GO:0000217)	1.7111115430987806e-05	8.641346423562412	94.84553695476383	RAD51AP1,YY1,RECQL4,MSH6,RBBP8,HMGA1,HMGB3,HMGA2	0.0017881115625382259	0	0
7	magnesium ion binding (GO:0000287)	2.1073996137026943e-05	3.5847207540521495	38.59837564425201	TOP2A,FEN1,PLK1,IDH2,MSH6,GCLC,OPA1,MTHFD2,RHEB,DHX36,STK38L,UBA2,TKT,MORC2,DCTPP1,RAN,MARK1	0.0018876279397022704	0	0
8	hexosyltransferase activity (GO:0016758)	2.4912079864046614e-05	3.917315864022663	41.52416606441538	POMT2,CHPF,UGT1A1,TMTC3,HAS3,GCNT3,B4GALNT1,UGT1A3,B4GALNT3,UGT1A9,LARGE2,B4GALT4,UGT1A7,B4GALNT4,UGT1A6	0.0019524842593446534	0	0
9	UDP-glycosyltransferase activity (GO:0008194)	4.603189398003338e-05	4.515044663845792	45.088030906360736	CHPF,UGT1A1,HAS3,GCNT3,B4GALNT1,UGT1A3,B4GALNT3,UGT1A9,LARGE2,UGT1A7,B4GALNT4,UGT1A6	0.0032068886139423255	0	0
10	glucuronosyltransferase activity (GO:0015020)	9.483392414666367e-05	7.865604575163399	72.86211056203908	CHPF,UGT1A1,UGT1A3,UGT1A9,LARGE2,UGT1A7,UGT1A6	0.005946087043995812	0	0
