Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	6.255638993473726e-16	3.8996323752268682	136.51785518541865	HJURP,MCM10,TSKU,PANX2,UCHL1,TRIM29,PHGDH,NRCAM,CBR1,SREBF1,GPX2,G6PD,ABCC2,UGT1A1,IGFBP3,NDUFC2,TALDO1,PTGR1,PGD,UGDH,ALDH3A1,DBF4,MTHFD2,PPIF,TKT,BCAT1,PPIA,PFN2,CSTA,ABCB6,LRP8,TM9SF3,PTPRZ1,STC2,GPC1,SPP1,UGT1A5,GCNT3,UGT1A3,B4GALNT1,UGT1A9,UGT1A7,UGT1A6,CBR3,NQO1,RRM2,TXNRD1,AKR1C1,CYP4F3,GSR,OSGIN1,AKR1C3,CYP4F11,TPD52L1,GCLC,TMEM237,PNPLA4,RPL22L1	1.1698044917795868e-13	0	0
2	CSR LATE UP.V1 UP	2.9766587728569764e-09	4.67491594338885	91.78012075034914	CXCL6,FEN1,DTYMK,UHRF1,RPF2,FOXM1,PSMD2,PBK,FAM83D,PRMT5,RRM2,WSB2,UBE2C,IGFBP3,FANCA,IMP4,NETO2,KIF22,TUBA4A,ANLN,BIRC5,ITGA6,UMPS,DCTPP1,EZH2	2.783175952621273e-07	0	0
3	P53 DN.V1 UP	1.4521230875200903e-07	3.8705038399864966	60.94134989812591	COL17A1,ANXA1,AUTS2,CDKN2A,ITGB4,ADM,LSR,SULF1,KLK10,TUBA4A,NDC80,PRDX2,UCHL1,KRT19,CALB1,KLF5,LPCAT4,PLAU,KRT15,CLTCL1,CD9,CD24,PITX1,DSC2	9.051567245541896e-06	0	0
4	E2F1 UP.V1 UP	4.946187312145088e-06	3.4126785714285712	41.69233071878637	TPD52,TOP2A,SLBP,FEN1,RRM1,HMGB3,MCM10,TYMS,NCAPH,CLN6,SLC9A3R1,DBF4,PRC1,UBE2T,DNAJC21,MCM4,GRSF1,DCTPP1,BUB1,KPNA1,EZH2	0.00023123425684278288	0	0
5	VEGF A UP.V1 DN	7.441907233924669e-05	2.971763761993647	28.24898691774488	RFC4,RRM2,MRPL19,TWF1,KIF23,KIF22,SMC4,LRP8,NDC80,NUDT21,CCNB1,ATIC,DBF4,EXO1,CCDC86,BIRC5,MCM4,BUB1,CDKN3	0.002783273305487826	0	0
6	MEK UP.V1 UP	9.153326293244192e-05	2.9209361469248476	27.161224768116174	EGLN3,GPX2,ST6GALNAC2,ITGB4,TMPRSS4,AKR1C3,AKR1C2,ADM,NME4,ENO2,BMP7,LRP8,ALDH3A1,BCAM,CLDN4,TRIM29,PLAU,PACSIN3,FGFR3	0.0028527866947277735	0	0
7	RB P107 DN.V1 UP	0.00016387909720801233	3.2556373937677052	28.37737792141135	SLBP,FKBP10,GSTM2,FEN1,RRM1,RRM2,PAQR4,FANCA,NCAPH,COL1A1,IPO9,PRC1,RPA3,NCAPD2,ASF1B	0.004271001873960743	0	0
8	RB DN.V1 DN	0.0001827166577095505	3.388790664780764	29.16926615848142	LAMB3,IGFBP3,KRT8,LRRC4,NDRG1,TUBA4A,HS3ST1,DUSP14,SLC7A5,STC2,ADAM12,CD9,RPS2,CTSC	0.004271001873960743	0	0
9	HOXA9 DN.V1 DN	0.00025607898114556006	2.7632663886009112	22.852281123286552	FANCI,HELLS,SREBF1,HMGCS1,DLX5,FZD6,IGFBP2,ADM,NME4,MCM10,FANCG,COCH,EXOSC5,TBL1XR1,ZIC1,SPP1,NCAPD2,BCAT1	0.005320752163802193	0	0
10	GCNP SHH UP LATE.V1 DN	0.00028752594920939447	2.8319506413831568	23.092284680595196	GRB7,DLX5,PUS1,SLC2A1,LSR,KLK8,MRPL3,VSNL1,WNK2,GJB6,ESRP1,UBE2V2,S100A11,BCL2L2,MDFI,KPNA1,CD276	0.005376735250215676	0	0
11	MEL18 DN.V1 UP	0.0005844071667883311	2.9862009823029547	22.23200536307155	CA12,JAG1,LAMB3,DDX11,ABCC5,FZD6,ADM,PTHLH,SLC7A5,STC2,COL7A1,ADAM12,SPP1,CHST2	0.00993492183540163	0	0
12	RB P130 DN.V1 UP	0.0010492187218772257	2.9315795668549907	20.10978410560361	UBE2C,FST,HMGA2,ATP2A1,KIF22,LSM4,POLD2,BIRC5,SNRPC,POLR2I,DCTPP1,B4GALT4,SNRPB	0.01635032508258677	0	0
13	RPS14 DN.V1 DN	0.0012498423757440042	2.5360043133839327	16.95252398346144	CDCA3,PLK1,KRT13,PYCR1,MCM10,KIF23,MYO19,NCAPH,NLE1,SLC6A8,TRIM29,EXO1,PRC1,PES1,PBK,BCAT1	0.017213029438431966	0	0
14	MTOR UP.V1 UP	0.0012886760007382219	2.6214018093758567	17.443174488227665	HELLS,GPX2,RRM2,KCNE3,HMGCS1,UBE2C,UHRF1,SLC41A3,TMPRSS4,SLC2A1,TMEM97,HSPE1,DBF4,BDH1,CCDC86	0.017213029438431966	0	0
15	GCNP SHH UP EARLY.V1 UP	0.0016254461041217243	2.5549200919343633	16.407627784357228	TOP2A,FEN1,RRM1,SRSF1,FBXO45,MCM10,TYMS,AZIN1,MSH6,ANLN,PRC1,UBE2T,KIF1A,LUC7L2,CD276	0.020263894764717495	0	0
16	PRC2 EDD UP.V1 UP	0.0017353074967989095	2.449268742236647	15.56894980013545	HELLS,JUP,PLK1,IDH2,TRMT2A,KIF23,MCM10,ENO2,RANGAP1,KLK8,DLK2,RECQL4,BTBD2,TACC3,PACSIN3,ASF1B	0.020281406368837254	0	0
17	ESC V6.5 UP EARLY.V1 DN	0.003865270945854797	2.396415590926181	13.313822407036415	GPX2,ANXA1,IGFBP3,COL11A1,SLC41A3,KRT8,KLK10,TGM1,COL1A1,KRT19,KRT17,PLAU,KRT16,C16ORF74	0.042517980404402765	0	0
18	CORDENONSI YAP CONSERVED SIGNATURE	0.004244682765930924	3.770392156862745	20.594214483887743	TOP2A,CENPF,FSCN1,BIRC5,PHGDH,SGK1,NDRG1	0.04409753762383794	0	0
19	LEF1 UP.V1 UP	0.004825296473552189	2.254367327667611	12.024531792003788	RYR1,KCNG1,S100A2,AUTS2,CDKN2A,WNT5A,KRT13,PAX6,KRT5,BMP7,ANO1,SLC6A8,STC2,CHST2,STRA6	0.047491075818645236	0	0
