Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	phospholipase A1 activity (GO:0008970)	0.0014992947695318503	1110.4444444444443	7220.954198683598	PLAAT3	0.011945589691367584	0	0
2	GABA-A receptor activity (GO:0004890)	0.002847388777574066	554.9722222222222	3252.888056951129	GABRP	0.011945589691367584	0	0
3	GABA receptor activity (GO:0016917)	0.0032964844175520022	475.6190476190476	2718.114679972292	GABRP	0.011945589691367584	0	0
4	phospholipase A2 activity (GO:0004623)	0.00434385079686094	356.5892857142857	1939.4870011141588	PLAAT3	0.011945589691367584	0	0
5	N-acyltransferase activity (GO:0016410)	0.005838817046122731	262.61842105263156	1350.7061704673467	PLAAT3	0.012492909182592547	0	0
6	protein serine/threonine phosphatase activity (GO:0004722)	0.00927156377294136	163.40983606557376	764.8892871354384	LRRK1	0.012492909182592547	0	0
7	chloride channel activity (GO:0005254)	0.009569689724479127	158.20634920634922	735.5257596653158	GABRP	0.012492909182592547	0	0
8	anion channel activity (GO:0005253)	0.010165762283446787	148.73134328358208	682.4879536219702	GABRP	0.012492909182592547	0	0
9	phospholipase activity (GO:0004620)	0.010910516765723988	138.36805555555554	625.1507650815512	PLAAT3	0.012492909182592547	0	0
10	acyltransferase activity, transferring groups other than amino-acyl groups (GO:0016747)	0.011357190165993224	132.81333333333333	594.7253885716618	PLAAT3	0.012492909182592547	0	0
11	carboxylic ester hydrolase activity (GO:0052689)	0.014331577901305266	104.74736842105263	444.68294850471597	PLAAT3	0.014331577901305266	0	0
