Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	protein homodimerization activity (GO:0042803)	0.0005957426304119026	30.58609794628752	227.12324295189623	ANO1,GSTM1,JUP	0.01370208049947376	0	0
2	cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication (GO:0086083)	0.0014992198216206949	999.5	6499.5590198897235	JUP	0.016350457749577087	0	0
3	voltage-gated chloride channel activity (GO:0005247)	0.002996578172872153	444.1111111111111	2580.4117942926405	ANO1	0.016350457749577087	0	0
4	protein binding involved in heterotypic cell-cell adhesion (GO:0086080)	0.002996578172872153	444.1111111111111	2580.4117942926405	JUP	0.016350457749577087	0	0
5	voltage-gated anion channel activity (GO:0008308)	0.004790942275014269	266.38666666666666	1422.7786907214238	ANO1	0.016350457749577087	0	0
6	intracellular calcium activated chloride channel activity (GO:0005229)	0.005089741453570572	249.725	1318.6799159042428	ANO1	0.016350457749577087	0	0
7	intracellular chloride channel activity (GO:0061778)	0.005089741453570572	249.725	1318.6799159042428	ANO1	0.016350457749577087	0	0
8	calcium activated cation channel activity (GO:0005227)	0.005687115738983334	221.95555555555555	1147.4107993095174	ANO1	0.016350457749577087	0	0
9	ion gated channel activity (GO:0022839)	0.007775574144635047	159.752	775.8783981291459	ANO1	0.01812715448914463	0	0
10	glutathione transferase activity (GO:0004364)	0.00807362689081275	153.6	740.2218192098322	GSTM1	0.01812715448914463	0	0
11	inorganic anion transmembrane transporter activity (GO:0015103)	0.008669508668721345	142.61428571428573	677.1245223853919	ANO1	0.01812715448914463	0	0
12	chloride channel activity (GO:0005254)	0.0190492685407353	63.27301587301587	250.60711544601855	ANO1	0.03579107700104911	0	0
13	anion channel activity (GO:0005253)	0.02022973917450602	59.483582089552236	232.02175076653654	ANO1	0.03579107700104911	0	0
14	cation channel activity (GO:0005261)	0.02904559756492306	41.02474226804124	145.18198263769264	ANO1	0.04771776742808788	0	0
15	phosphatase binding (GO:0019902)	0.033720296216731616	35.18761061946903	119.27387298714444	JUP	0.04916799583705771	0	0
16	nuclear receptor binding (GO:0016922)	0.03546846602792507	33.403361344537814	111.53753992591787	JUP	0.04916799583705771	0	0
17	protein phosphatase binding (GO:0019903)	0.03634156214043396	32.57704918032787	107.98618208071476	JUP	0.04916799583705771	0	0
