Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NRL DN.V1 UP	0.02692563865335211	49.03950617283951	177.26194251685567	DHRS3	0.03824172009366363	0	0
2	CRX NRL DN.V1 UP	0.027709247684465973	47.618705035971225	170.76015579035945	DHRS3	0.03824172009366363	0	0
3	BMI1 DN.V1 UP	0.029079424668904584	45.31963470319635	160.32837798429506	DHRS3	0.03824172009366363	0	0
4	CSR EARLY UP.V1 DN	0.030448153109277298	43.230936819172115	150.9507564210575	DHRS3	0.03824172009366363	0	0
5	JAK2 DN.V1 DN	0.03415597935498343	38.41860465116279	129.7326210208214	IKZF2	0.03824172009366363	0	0
6	IL15 UP.V1 UP	0.03785316139800214	34.56369982547993	113.16296267411514	DHRS3	0.03824172009366363	0	0
7	PRC1 BMI UP.V1 DN	0.03785316139800214	34.56369982547993	113.16296267411514	IKZF2	0.03824172009366363	0	0
8	IL2 UP.V1 UP	0.03785316139800214	34.56369982547993	113.16296267411514	DHRS3	0.03824172009366363	0	0
9	MTOR UP.N4.V1 DN	0.03804745545598449	34.38194444444444	112.39186264276356	IKZF2	0.03824172009366363	0	0
10	P53 DN.V1 UP	0.03824172009366363	34.2020725388601	111.62968920243314	DHRS3	0.03824172009366363	0	0
