Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	cadherin binding (GO:0045296)	1.5479849066123887e-08	4.195921314784364	75.45830225985644	LAD1,OLA1,SLC3A2,NDRG1,RTN4,RPL7A,DNAJB1,LDHA,CDH3,PRDX1,MICALL1,S100A11,PAK4,SCYL1,JUP,SCRIB,YWHAZ,ANLN,DLG1,PKM,GIPC1,FSCN1,ITGA6,PKP3,ALDOA	6.5479761549704045e-06	0	0
2	RNA binding (GO:0003723)	1.5396609281409905e-06	2.125110278818144	28.442366193420355	EIF4A2,RBM28,DQX1,HSPB1,BRCA1,RPL7A,MRPL2,PSMD4,SNRPD1,LONP1,NUSAP1,NSUN2,PUS1,DDX11,ZCRB1,YWHAZ,SRP9,PKM,CLNS1A,ESRP1,TCP1,FSCN1,PKP3,PABPC1,FKBP4,ALDOA,ZNF598,SNRPB,SRSF9,DAP3,POLDIP3,MAZ,SLC3A2,NOL3,RTN4,MRPL11,SELENOH,TBRG4,C7ORF50,STIP1,PRDX1,PES1,FAM120A,SERPINH1,NQO1,CDKN2A,RPL35A,PDAP1,HSPE1,LSM4,CHERP,HNRNPM,NUDT21,RPS27,RPL22L1,EIF4G1	0.0003256382863018195	0	0
3	monocarboxylic acid binding (GO:0033293)	3.505923957878333e-05	11.564334975369459	118.6323992330018	AKR1C1,AKR1C3,AKR1C2,UGT1A3,UGT1A7,UGT1A6	0.004943352780608449	0	0
4	ketosteroid monooxygenase activity (GO:0047086)	8.415096034204806e-05	71.83129584352078	673.9857382788292	AKR1C1,AKR1C3,AKR1C2	0.008898964056171582	0	0
5	tubulin binding (GO:0015631)	0.0002306869605271425	2.863954604975993	23.984041536314628	SPAG5,GPAA1,PLK1,PDCD5,BRCA1,NDRG1,PAK1,CLIP1,SPAST,REEP4,PRC1,NUSAP1,BIRC5,ALDOA,FAM83D,CCT5,HDGFL3	0.018708726113071374	0	0
6	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	0.00026537200160384926	15.993464052287582	131.6962275238556	NQO1,AKR1C1,AKR1C3,AKR1C2	0.018708726113071374	0	0
7	alcohol dehydrogenase (NADP+) activity (GO:0008106)	0.000341406143096719	14.762443438914028	117.84028584699298	ALDH3A1,AKR1C1,AKR1C3,AKR1C2	0.02063068550427316	0	0
8	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	0.0004281380089380327	4.89008647700213	37.927828393097634	G6PD,LDHA,BDH1,AKR1C1,AKR1C3,PHGDH,PTGR1,CBR3	0.021148078872575395	0	0
9	androsterone dehydrogenase activity (GO:0047023)	0.00044995912494841267	28.728117359413204	221.38903674651817	AKR1C1,AKR1C3,AKR1C2	0.021148078872575395	0	0
10	bile acid binding (GO:0032052)	0.0006646391437216887	23.938875305623473	175.14318679276485	AKR1C1,AKR1C3,AKR1C2	0.02811423577942743	0	0
11	protein homodimerization activity (GO:0042803)	0.0007631214976042718	2.0955916079164187	15.04235208588233	TENM2,TENM4,SHMT2,HSPB1,IRAK1,STC2,UGT1A3,S100A11,UGT1A7,UGT1A6,TBX1,GSTM3,NTRK2,G6PD,TPI1,JUP,BNIP3,CEP131,SLC51A,KNSTRN,NUDT21,ANO1,CENPF,DDIT3,TKT,MAP3K13	0.028272998750096996	0	0
12	ubiquitin-like protein ligase binding (GO:0044389)	0.0008020708865275743	2.7341295672600685	19.489732887722283	GPI,TPI1,UBE2C,FZD6,DIO2,UBE2G1,BRCA1,YWHAZ,RTN4,UCHL1,ITCH,CCNB1,MC1R,TCP1,LTBR	0.028272998750096996	0	0
13	aldo-keto reductase (NADP) activity (GO:0004033)	0.0009350097834093244	20.51798812434509	143.11201441844625	ALDH3A1,AKR1C1,AKR1C3	0.030423779875549558	0	0
14	alditol:NADP+ 1-oxidoreductase activity (GO:0004032)	0.001266058852611032	17.952322738386307	119.7751410775875	AKR1C1,AKR1C3,AKR1C2	0.038253063903890466	0	0
15	UDP-glycosyltransferase activity (GO:0008194)	0.001735319910159898	4.3795735129068465	27.83903712159827	MGAT4B,HAS3,B4GALNT1,UGT1A3,LARGE2,UGT1A7,UGT1A6	0.04893602146650912	0	0
