Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Metabolism of xenobiotics by cytochrome P450	3.505870714349954e-06	7.357907432534298	92.42320243711269	ALDH3A1,GSTM3,GSTP1,AKR1C1,CYP2S1,UGT1A5,UGT1A3,UGT1A7,CBR3,UGT1A6	0.0008659500664444386	0	0
2	Glutathione metabolism	2.0703214644896747e-05	7.89614063447161	85.16162631351874	GSTM3,GPX2,G6PD,RRM1,GCLC,RRM2,GSTP1,GSR	0.0025568470086447482	0	0
3	Steroid hormone biosynthesis	3.434143202396736e-05	7.298711003175789	75.02460361276836	SRD5A1,AKR1C1,UGT1A5,AKR1C3,AKR1C2,UGT1A3,UGT1A7,UGT1A6	0.002827444569973312	0	0
4	Human papillomavirus infection	6.24884463122099e-05	2.986918509819273	28.914950888492438	JAG1,LAMB3,ITGB4,HDAC1,WNT7B,FZD6,TNC,SCRIB,HLA-F,THBS2,COL1A1,DLG1,PKM,RHEB,CDK4,PARD3,SPP1,ITGA6,HRAS	0.003374440915301936	0	0
5	Glycolysis / Gluconeogenesis	6.830852055267078e-05	6.554455445544554	62.86690240902995	GPI,ALDH3A1,LDHA,TPI1,PKM,PGAM1,ALDOA,HK2	0.003374440915301936	0	0
6	Cell cycle	0.0002498124009983739	4.249367199092258	35.24765239346467	CCNB1,DBF4,PTTG1,CDK4,HDAC1,CDKN2A,PLK1,MCM4,PKMYT1,YWHAZ	0.010283943841099725	0	0
7	Pentose phosphate pathway	0.0003373552037044817	9.613267813267813	76.85205985502124	GPI,G6PD,TALDO1,ALDOA,TKT	0.011903819330715281	0	0
8	Drug metabolism	0.00039693093277445596	4.396345589893977	34.431071947190254	ALDH3A1,GSTM3,RRM1,RRM2,GSTP1,UGT1A5,UGT1A3,UGT1A7,UGT1A6	0.012255242549411328	0	0
9	Central carbon metabolism in cancer	0.0005870820674294641	5.356652949245542	39.8553510211997	SLC7A5,G6PD,LDHA,PKM,PGAM1,HRAS,HK2	0.016112141183897512	0	0
10	Hepatocellular carcinoma	0.0007451012389971193	3.395031529456613	24.450984678213636	GSTM3,NQO1,CDK4,CDKN2A,GSTP1,TXNRD1,WNT7B,FZD6,KEAP1,TGFA,HRAS	0.018404000603228846	0	0
11	Porphyrin and chlorophyll metabolism	0.0018304582820384068	6.320315530841847	39.83814280049155	MMAB,UGT1A5,UGT1A3,UGT1A7,UGT1A6	0.041102108696680587	0	0
12	ECM-receptor interaction	0.002267929806618493	4.162444749276025	25.344659231268732	COL1A1,LAMB3,ITGB4,TNC,SPP1,ITGA6,THBS2	0.04668155518623065	0	0
13	Tight junction	0.0027084795584426426	3.039675834663162	17.968642003699916	TUBA1C,CLDN4,DLG1,CDK4,PARD3,CLDN7,ARPC1A,SCRIB,AMOTL1,TUBA4A	0.04913478227936194	0	0
14	PI3K-Akt signaling pathway	0.0029168406681047937	2.3011176857330704	13.432208902028167	NTRK2,LAMB3,ITGB4,TNC,TGFA,BRCA1,THBS2,YWHAZ,PGF,COL1A1,RHEB,CDK4,SPP1,MLST8,ITGA6,HRAS	0.04913478227936194	0	0
15	Focal adhesion	0.003110828913194823	2.800603753773461	16.167510348510348	COL1A1,PAK1,LAMB3,ITGB4,SPP1,TNC,ITGA6,THBS2,HRAS,PGF,PAK4	0.04913478227936194	0	0
16	Ascorbate and aldarate metabolism	0.003182819904735996	7.3763197586727	42.413747976842444	UGT1A5,UGT1A3,UGT1A7,UGT1A6	0.04913478227936194	0	0
