Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	ECM-receptor interaction	5.698333691640449e-07	5.966260378025084	85.78242547380808	ITGB1,LAMB3,ITGB4,ITGA3,LAMA3,TNC,THBS2,COL1A1,COL1A2,SPP1,COL4A5,SDC1,ITGA6,ITGA5	0.0001355318502750915	0	0
2	Glycolysis / Gluconeogenesis	9.89283578650303e-07	6.864909683150725	94.916196499662	GPI,ALDH3A1,LDHA,TPI1,PKM,PGAM1,PGM2,ENO1,ENO2,ALDOA,GAPDH,HK2	0.0001355318502750915	0	0
3	Focal adhesion	5.46838895540361e-06	3.499626205714494	42.403313691742156	ITGB1,LAMB3,ITGB4,ITGA3,ACTN1,LAMA3,TNC,ACTN4,THBS2,PGF,COL1A1,PAK1,COL1A2,PIK3CA,SPP1,COL4A5,ITGA6,ITGA5,HRAS,PAK4	0.00042320026802954034	0	0
4	Human papillomavirus infection	6.1781061026210264e-06	2.8275744662156224	33.91533851181585	ATP6V1A,ITGB1,ITGB4,HDAC1,LAMA3,TNC,THBS2,PPP2CA,PPP2R1A,SPP1,HRAS,BCAP31,JAG1,MAP2K2,LAMB3,ITGA3,FZD6,SCRIB,COL1A1,COL1A2,PKM,PIK3CA,RHEB,PARD3,COL4A5,ITGA6,ITGA5	0.00042320026802954034	0	0
5	Glutathione metabolism	9.620414313484761e-06	6.675531914893617	77.11322951588687	GGCT,GSTM3,GPX2,G6PD,GCLC,GSTM1,RRM2,GSTP1,GSS,GSR	0.0005271987043789649	0	0
6	Metabolism of xenobiotics by cytochrome P450	2.3373761097268537e-05	5.313295809881176	56.66043651277885	CBR1,ALDH3A1,GSTM3,GSTM1,GSTP1,AKR1C1,UGT1A5,UGT1A3,UGT1A7,CBR3,UGT1A6	0.001067401756775263	0	0
7	Drug metabolism	3.295310989629045e-05	4.3037176955439165	44.4161953502267	GSTM3,GSTM1,RRM2,GSTP1,NME2,NME4,TYMP,ALDH3A1,UGT1A5,UGT1A3,UMPS,UGT1A7,UGT1A6	0.001289878873083369	0	0
8	Central carbon metabolism in cancer	6.135666091562672e-05	5.22564935064935	50.68256356267376	SLC7A5,G6PD,LDHA,MAP2K2,PKM,PIK3CA,PGAM1,SLC2A1,HRAS,HK2	0.0021014656363602152	0	0
9	Amoebiasis	8.23656560466843e-05	4.187622149837134	39.38183087842581	COL1A1,COL3A1,COL1A2,SERPINB13,PIK3CA,LAMB3,ACTN1,PRDX1,LAMA3,COL4A5,HSPB1,ACTN4	0.0025075766396434997	0	0
10	Huntington disease	0.00010427129246642883	2.573076900538532	23.59129280493746	COX8A,GPX2,DCTN2,HDAC1,NDUFA10,SDHC,SEM1,TUBA1C,PSMA4,PSMC6,PSMD4,TUBB3,NDUFS6,PSMD2,CLTCL1,POLR2D,VDAC3,PPIF,POLR2E,VDAC2,POLR2H,RCOR1,SLC25A6	0.00285703341358015	0	0
11	Parkinson disease	0.00011928075547227803	2.759162379120008	24.926357236207533	COX8A,HSPA5,NDUFA10,SEPTIN5,SDHC,GNAI1,SEM1,TUBA1C,UCHL1,PSMA4,PSMC6,PSMD4,TUBB3,NDUFS6,PSMD2,DDIT3,VDAC3,PPIF,VDAC2,SLC25A6	0.0029711751817640165	0	0
12	Prion disease	0.0001494047037820108	2.633884297520661	23.20149643856878	RYR1,COX8A,PRNP,HSPA5,NDUFA10,SDHC,SEM1,TUBA1C,STIP1,PSMA4,PSMC6,PSMD4,PIK3CA,TUBB3,NDUFS6,PSMD2,DDIT3,VDAC3,PPIF,VDAC2,SLC25A6	0.00341140740302258	0	0
13	Diabetic cardiomyopathy	0.0002314275649423676	2.879707611631972	24.106733993850476	COX8A,G6PD,GSR,NDUFA10,SLC2A1,ATP2A2,SDHC,COL1A1,COL3A1,COL1A2,PIK3CA,NDUFS6,VDAC3,PPIF,VDAC2,GAPDH,SLC25A6	0.004877780984169902	0	0
