Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	KRAS.600 UP.V1 UP	6.821846964012237e-07	4.202998767629741	59.67403107875284	NRP1,CSF3,DOCK4,RTN1,PCDH9,LIMCH1,NTRK3,ITGB2,LAPTM5,ETV1,TFPI,RNASE1,GNG11,DUSP6,DNM3,NAV3,ST3GAL6,A2M,TGM2	8.650422798749214e-05	0	0
2	EGFR UP.V1 UP	1.4333292083148434e-06	4.958416782647069	66.71803008317443	EDN1,PCDH9,IL1R1,EPAS1,FGG,TFPI,DUSP6,PAPSS2,SOCS2,PTPRE,CRISPLD2,SLCO2A1,CCL2,A2M,CTNNAL1	8.650422798749214e-05	0	0
3	KRAS.KIDNEY UP.V1 UP	1.4745038861504343e-06	5.773637273637274	77.52371873539364	RTN1,PCDH9,LIMCH1,AQP4,ANK2,ETV1,DUSP6,DNM3,EPB41L3,PECAM1,ST3GAL6,A2M,ASPA	8.650422798749214e-05	0	0
4	RPS14 DN.V1 UP	6.7510899589969966e-06	4.613916339515365	54.932395563980236	CPM,VWF,ITGB2,DCN,PTPRE,TYROBP,ENPP2,SH3BP5,CTSH,CCL2,ST3GAL6,MNDA,CD69,PTGDS	0.00029704795819586786	0	0
5	KRAS.300 UP.V1 UP	9.186820891706533e-06	5.233711681115381	60.69923051926686	DNM3,CSF3,DOCK4,RTN1,NAV3,ITGB2,ST3GAL6,ETV1,A2M,TFPI,RNASE1,DUSP6	0.00032337609538807	0	0
6	ATF2 S UP.V1 DN	2.386903548255885e-05	4.37057747402575	46.515743671340616	ITIH5,IL1R1,ADH1B,CELF2,C4BPA,ABCA8,FOS,SMAD6,DES,CCL2,ST3GAL6,SLIT3,A2M	0.0007001583741550596	0	0
7	P53 DN.V1 DN	3.149152113504447e-05	4.247403828409415	44.02770555412461	IL1R1,FGG,PTPRM,MITF,FBLN5,SOCS3,NAV3,EPB41L3,STAT4,CAPN3,ST3GAL6,PLIN2,VIM	0.0007917868171096894	0	0
8	CSR LATE UP.V1 DN	4.216480709237908e-05	4.433260062154172	44.660327775721626	ACVRL1,ANKRD29,CLEC3B,TNXB,MME,SGIP1,CCL2,TBC1D2B,PDE5A,VAMP5,PRKG1,APOL3	0.0009276257560323398	0	0
9	CRX DN.V1 DN	0.00011535308219656874	4.6875	42.50396649991461	SOCS3,PPP1R14A,STEAP4,COL4A2,GLIPR2,RNASE4,RGL3,GNG11,CTNNAL1,TGM2	0.0018944513302778653	0	0
10	NRL DN.V1 DN	0.00011535308219656874	4.6875	42.50396649991461	SOCS3,PLEKHH2,ALDH2,ARHGDIB,PECAM1,CCL2,RNASE4,RGL3,ABCC9,ADRB2	0.0018944513302778653	0	0
11	ESC J1 UP LATE.V1 UP	0.000129167136155309	3.908941892750811	35.00224243059005	TGFBR3,PARM1,COL4A2,PODXL,CITED2,GPX3,SLCO2A1,CA4,CTSH,LMO7,HNF1B,RGL3	0.0018944513302778653	0	0
12	PTEN DN.V1 UP	0.000129167136155309	3.908941892750811	35.00224243059005	CDKL2,TGFBR3,SCEL,EDN1,ACSS3,ITGB2,NR2F1,SORBS2,KALRN,CCDC102B,AQP1,KANK3	0.0018944513302778653	0	0
13	CORDENONSI YAP CONSERVED SIGNATURE	0.00044310094989709407	6.783044982698962	52.376726188429465	PDLIM2,ITGB2,COL4A3,PMP22,TNS1,TGM2	0.005998905167837581	0	0
14	ESC V6.5 UP LATE.V1 UP	0.0004920416109799822	3.572500625364796	27.21154888503726	PARM1,COL4A2,PODXL,GPX3,TNNC1,CA4,CTSH,HNF1B,RGL3,SLIT3,ZNF521	0.006185665966605491	0	0
15	IL2 UP.V1 UP	0.0005372225351917318	3.532662653582914	26.597763831448482	SOCS2,CNKSR2,CLDN5,CD52,RGS3,AATK,FOS,CD69,ASPA,DUSP6,ITGA9	0.006303411079582986	0	0
16	MEK UP.V1 UP	0.0006380274817853911	3.4555707946752725	25.423080798413412	PTPRE,EDN1,PRKCH,PARM1,PCDH9,LIMCH1,EPAS1,GPX3,ARHGDIB,PPARG,ARRB1	0.007018302299639302	0	0
17	BMI1 DN MEL18 DN.V1 DN	0.001064617366576791	3.7768029931621725	25.852744578113512	SOCS2,IL1R1,GPX3,AK1,CTSH,PDE5A,FOS,A2M,PPARGC1A	0.011021920971618542	0	0
18	KRAS.50 UP.V1 UP	0.0014005331136010437	6.687239991816136	43.94120077271465	DOCK4,ITGB2,ST3GAL6,ETV1,A2M	0.013694101555210206	0	0
19	ATF2 UP.V1 DN	0.0015994415287599437	3.274986548291633	21.084693369798877	ITIH5,IL1R1,LIMCH1,CELF2,CCL2,RNASE4,SLIT3,ABCA8,FOS,SMAD6	0.014815879424302637	0	0
20	ERB2 UP.V1 UP	0.0018705029259910926	3.2019534333070245	20.113223992627653	PTPRE,VIPR1,EDN1,PARM1,IL1R1,LIMCH1,EPAS1,FGFR4,DUSP6,PAPSS2	0.016290562428602707	0	0
21	TGFB UP.V1 UP	0.0019437602897764592	3.1841967556253272	19.87935711938975	CDK17,EDN1,PLEKHA1,SLCO2A1,PMP22,JMJD1C,TBC1D2B,RNASE4,SMAD6,LMCD1	0.016290562428602707	0	0
22	PRC2 EZH2 UP.V1 DN	0.002097224455961482	3.1492624223602483	19.421943817751178	EDN1,PTPRB,MCTP1,ABLIM3,PCDH9,GFPT2,TBXAS1,AATK,FXYD6,ETV1	0.016777795647691857	0	0
23	MEL18 DN.V1 UP	0.0032006461200270848	3.4739511500645106	19.955773938974925	TGFBR3,NRP1,EDN1,ABLIM3,CRISPLD2,GFPT2,SLCO2A1,LPL	0.02347140488019862	0	0
24	KRAS.LUNG UP.V1 UP	0.0032006461200270848	3.4739511500645106	19.955773938974925	NRP1,CSF3,DOCK4,EGFL7,NAV3,ST3GAL6,RNASE1,SLC6A4	0.02347140488019862	0	0
