Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Inflammatory bowel disease	5.5347549815957145e-09	11.37663093563564	216.29499358433603	HLA-DMA,IL6,HLA-DPB1,NFATC1,TLR4,HLA-DQA1,IL18R1,HLA-DRB1,HLA-DPA1,TLR2,HLA-DQB1,IL12RB2	1.4058277653253114e-06	0	0
2	Graft-versus-host disease	1.1888264480177243e-07	13.612708719851577	217.056396694049	HLA-DMA,IL6,HLA-DPB1,FASLG,KIR2DL1,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	1.50980958898251e-05	0	0
3	Rheumatoid arthritis	3.4544692908533125e-07	7.433304770065695	110.59588099017014	HLA-DMA,IL6,ANGPT1,TNFSF13,HLA-DPB1,TEK,TLR4,HLA-DQA1,HLA-DRB1,HLA-DPA1,TLR2,HLA-DQB1	2.7762995528774732e-05	0	0
4	Staphylococcus aureus infection	4.372125280122005e-07	7.253445659243658	106.21109084727058	C1QB,HLA-DMA,SELPLG,HLA-DPB1,DEFA3,FPR3,CAMP,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1,C2	2.7762995528774732e-05	0	0
5	Asthma	2.145094692540444e-06	14.490799492385786	189.13865144969023	HLA-DMA,FCER1G,HLA-DPB1,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00010897081038105456	0	0
6	Intestinal immune network for IgA production	4.556251485728382e-06	9.953689567430025	122.42053066316203	HLA-DMA,IL6,TNFSF13,HLA-DPB1,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00019288131289583486	0	0
7	Allograft rejection	9.122467547016865e-06	11.214671688226625	130.14368810310967	HLA-DMA,HLA-DPB1,FASLG,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0003310152509917548	0	0
8	Type I diabetes mellitus	2.1368385803650765e-05	9.654610829103214	103.82180396438996	HLA-DMA,HLA-DPB1,FASLG,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0006362939836161256	0	0
9	Leishmaniasis	2.3174716320678767e-05	6.5943502400960385	70.37786456373813	HLA-DMA,NCF4,HLA-DPB1,TLR4,HLA-DQA1,HLA-DRB1,HLA-DPA1,TLR2,HLA-DQB1	0.0006362939836161256	0	0
10	Viral myocarditis	2.505094423685534e-05	7.651986690154629	81.06973081909106	HLA-DMA,SGCA,CAV1,HLA-DPB1,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0006362939836161256	0	0
11	Hematopoietic cell lineage	2.989954874350316e-05	5.60648294491221	58.40647331365952	CSF1R,GYPA,IL6,HLA-DMA,IL7,HLA-DPB1,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0006904077618954366	0	0
12	Phagosome	5.8420402165684184e-05	4.287697392581712	41.7958112061978	MSR1,HLA-DMA,SFTPA2,NCF4,HLA-DPB1,TLR4,THBS1,HLA-DQA1,HLA-DRB1,HLA-DPA1,TLR2,HLA-DQB1	0.0011471720456285184	0	0
13	Malaria	5.871352989437299e-05	8.080037775941447	78.7225181978148	GYPA,IL6,KLRC4-KLRK1,HBB,TLR4,THBS1,TLR2	0.0011471720456285184	0	0
14	Autoimmune thyroid disease	8.605174091591476e-05	7.55192010593688	70.69021489098732	HLA-DMA,HLA-DPB1,FASLG,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0015612244423315962	0	0
15	Th1 and Th2 cell differentiation	9.585377082272755e-05	5.398450946643718	49.9501755357516	HLA-DMA,HLA-DPB1,NFATC1,MAML3,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1,IL12RB2	0.0016231238525981865	0	0
16	PPAR signaling pathway	0.00011562534802690884	6.024520009252834	54.613209806156235	CYP27A1,FABP1,FABP3,FABP4,ACOX2,APOA2,ME3,RXRG	0.0018355523999271778	0	0
17	Antigen processing and presentation	0.00016779579707185477	5.679098509632861	49.367056327338695	HLA-DMA,HLA-DPB1,KIR2DL1,IFI30,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.002507066615073595	0	0
18	Tuberculosis	0.0002890704912412711	3.5679397723099524	29.074570281614672	IL6,HLA-DMA,FCER1G,HLA-DPB1,CTSD,TLR4,HLA-DQA1,HLA-DRB1,CAMP,HLA-DPA1,TLR2,HLA-DQB1	0.004064912955698602	0	0
19	Th17 cell differentiation	0.0003040682919617065	4.568643273635985	36.99805302344133	IL6,HLA-DMA,HLA-DPB1,NFATC1,RXRG,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.004064912955698602	0	0
20	Toxoplasmosis	0.0004269151553829597	4.345749950465623	33.718349080896196	HLA-DMA,ALOX5,HLA-DPB1,TLR4,HLA-DQA1,HLA-DRB1,HLA-DPA1,TLR2,HLA-DQB1	0.005421822473363588	0	0
21	Influenza A	0.0007255349942614772	3.4052874661570316	24.615465241697116	TPSD1,IL6,HLA-DMA,HLA-DPB1,FASLG,PIK3R1,TLR4,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00877551850201977	0	0
22	Systemic lupus erythematosus	0.0016253542165985582	3.548287172011662	22.787204919775398	C1QB,HLA-DMA,HLA-DPB1,C8B,HLA-DQA1,HLA-DRB1,C2,HLA-DPA1,HLA-DQB1	0.018765453228001536	0	0
23	PI3K-Akt signaling pathway	0.0022329081097600865	2.3682163989856297	14.456659681422249	PDGFRA,CSF1R,ANGPT1,FLT4,FASLG,PIK3R1,FGF2,THBS1,IL6,IL7,CREB3L1,COL6A1,GNB4,TEK,TLR4,TLR2	0.024659072168654865	0	0
24	Morphine addiction	0.0023600252078568042	4.12753807106599	24.967820289647957	PDE4C,PDE4B,ADCY4,GNB4,ARRB2,PDE7B,GABRD	0.024976933449817846	0	0
25	Ras signaling pathway	0.0026232767748746084	2.7173171301706005	16.149915313801753	PDGFRA,CSF1R,ANGPT1,PLA2G1B,RASGRF2,FLT4,GNB4,FASLG,PIK3R1,GAB2,TEK,FGF2	0.026652492032726023	0	0
26	Pertussis	0.004201378710184686	4.237757685352622	23.19046166945536	C1QB,IL6,SFTPA2,SERPING1,TLR4,C2	0.04104423816872732	0	0
27	Chagas disease	0.004468149322194111	3.647555436815389	19.73612357360408	C1QB,IL6,ACE,FASLG,PIK3R1,TLR4,TLR2	0.04203370103101126	0	0
28	Human T-cell leukemia virus 1 infection	0.0048460450740514934	2.6294501972386586	14.013897669953113	HLA-DMA,IL6,CREB3L1,ADCY4,HLA-DPB1,NFATC1,PIK3R1,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.043960551743181406	0	0
29	Parathyroid hormone synthesis, secretion and action	0.005510640408176288	3.4994616212890324	18.200960378395852	CREB3L1,PDE4C,PDE4B,ADCY4,PTH1R,ARRB2,RXRG	0.04826560909230266	0	0
