Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	2.964505398374967e-10	4.877279796408879	107.0033278074916	CPM,RBM47,LST1,ITGB2,TNFAIP2,PTPN22,FRY,ITGAL,AIF1,HLA-DMA,SPTLC3,ENPP2,ANXA6,ITGAX,SH3BP5,CCL2,ST3GAL6,PTGDS,VWF,PDE4D,CRIM1,TM6SF1,DCN,TYROBP,CACNB4,MNDA,CD69	5.42504487902619e-08	0	0
2	KRAS.KIDNEY UP.V1 UP	3.9569335860563774e-07	4.448296881476605	65.57957847322102	MEF2C,VIPR2,RTN1,PEG3,PCDH9,LIMCH1,LMO3,PLCL1,ANK2,ATP1A2,SORBS1,SOBP,DNM3,EPB41L3,PECAM1,SPARCL1,ST3GAL6,A2M,ASPA	3.620594231241585e-05	0	0
3	KRAS.600 UP.V1 UP	1.4824656342344092e-06	3.0798540495274556	41.33719705425834	NRP1,CSF3,DOCK4,RTN1,CTNND2,SEMA3A,ITGB2,ATP1A2,TFPI,ST3GAL6,A2M,TGM2,PEG3,PCDH9,LIMCH1,LMO3,NTRK3,PDE2A,LAPTM5,RNASE1,GNG11,DNM3,RBP4,ZEB1,NAV3,MGAT4A,TLR4	9.043040368829896e-05	0	0
4	EGFR UP.V1 UP	8.059181116274093e-06	3.407203201422855	39.962059435767245	CADPS2,MBNL2,PCDH9,IL1R1,EPAS1,FHOD1,FGG,TFPI,PAPSS2,ACTG2,RND1,SOCS2,SDCBP,CRISPLD2,PLAGL1,MGAT4A,SLCO2A1,CCL2,A2M,MGLL	0.000359953515651457	0	0
5	MEL18 DN.V1 DN	9.83479550960265e-06	3.8154261599429526	43.99027601939919	PEG3,IL1R1,AK1,FOS,SOCS2,ATXN3,RBP4,SH3BGRL,PLN,ID2,EPB41L3,EFHD1,PDE5A,DMD,PDE7B,A2M,PPARGC1A	0.000359953515651457	0	0
6	ATF2 S UP.V1 DN	1.7865336777624427e-05	3.3289261941335675	36.39397901553982	ITIH5,LAMA2,IL1R1,ADH1B,CELF2,C4BPA,ABCA8,FOS,SORBS1,SMAD6,PLN,DES,NFIB,CCL2,SVEP1,ST3GAL6,SLIT3,CD302,A2M	0.000544892771717545	0	0
7	IL15 UP.V1 DN	2.236123899429738e-05	3.270011947431302	35.01588144032347	CDKN1C,DNAI2,ATP8A1,VWF,ACTN2,TSC22D3,PLCL1,TNFAIP2,LYVE1,LRP2BP,PNRC1,MYLK,FSTL3,CHIT1,SELP,KCNQ1,MMP19,PTGDS,PRKG1	0.000550611683445066	0	0
8	ESC J1 UP LATE.V1 UP	2.4070456106888127e-05	3.250830564784053	34.57104007303852	PDGFRA,PARM1,PEG3,CITED2,GPX3,CRIM1,TMPRSS2,LMO7,HNF1B,PTH1R,RBP4,COL4A2,COL4A1,PODXL,ID2,SLCO2A1,CA4,RGL3,CD55	0.000550611683445066	0	0
9	KRAS.300 UP.V1 UP	3.211720387474658e-05	3.613267466478476	37.38329419388086	CSF3,DOCK4,RTN1,PEG3,LMO3,SEMA3A,PDE2A,ITGB2,ATP1A2,TFPI,RNASE1,DNM3,RBP4,NAV3,ST3GAL6,A2M	0.000653049812119847	0	0
10	ATF2 UP.V1 DN	6.0389406232182354e-05	3.1300867608087994	30.407844032746734	ITIH5,CFH,IL1R1,LIMCH1,CELF2,RNASE4,ABCA8,FOS,FRY,SMAD6,AFF1,PLN,PER3,NFIB,CCL2,SVEP1,SLIT3,CD302	0.0011051261340489372	0	0
11	LTE2 UP.V1 UP	7.42934694542841e-05	3.075010700527893	29.235625811143922	UNC13B,SERPINA1,PCDH9,IL1R1,EPAS1,GPX3,PROS1,ACTG2,PNRC1,SDCBP,DIAPH2,PLAGL1,MGAT4A,ANXA6,KIF13B,CD302,FGFR4,SASH1	0.0012359731736485446	0	0
12	PTEN DN.V2 UP	9.307857136781908e-05	3.4354723282442747	31.88828284356486	RTN1,COL13A1,BNC2,ULK4,HSPB7,CHRDL1,ANO2,RND1,AGPAT4,NAV3,CEACAM21,PTGDS,UTRN,VAMP5,APOL3	0.001419448213359241	0	0
13	BMI1 DN MEL18 DN.V1 DN	0.00012719079021214732	3.330673143650243	29.87554628346235	PEG3,IL1R1,GPX3,LMO3,AK1,FOS,SOCS2,RBP4,FCGRT,ID2,EFHD1,PDE5A,PDE7B,A2M,PPARGC1A	0.0017904549699094584	0	0
14	PKCA DN.V1 DN	0.00016113855335764078	3.1073576766510724	27.137318947994903	KANK2,SLC14A1,SLC46A2,PARM1,CFH,COL25A1,LPL,CYGB,ZEB2,CA3,PSPC1,ABI3BP,RHOJ,APOC1,SLIT3,FERMT3	0.0020104332134666717	0	0
15	CRX DN.V1 DN	0.00016478960766120262	3.4164126016260163	29.75982697267707	CADPS2,PPP1R14A,MYOCD,STEAP4,RNASE4,FMN1,GNG11,SOCS3,RBP4,COL4A2,GLIPR2,GDAP1L1,RGL3,TGM2	0.0020104332134666717	0	0
