Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Hematopoietic cell lineage	3.801970702984244e-08	5.996919127086008	102.45833002321756	GYPA,CSF3R,CR1,CSF1,MME,FLT3,ITGB3,ITGA1,CD1C,TNF,FCER2,IL6,HLA-DPB1,CD36,HLA-DRB1,CD33,HLA-DQB1	1.041739972617683e-05	0	0
2	Osteoclast differentiation	2.854734300486584e-05	3.8564200042835726	40.35337334223978	LILRA6,JUND,CSF1,ITGB3,GAB2,TNF,LILRB4,SIRPB1,OSCAR,NFKBIA,CALCR,FCGR2A,BTK,JUNB,FCGR2C	0.00391098599166662	0	0
3	Asthma	6.688150112742497e-05	8.336913580246913	80.13931664197382	IL10,CCL11,FCER1G,HLA-DPB1,TNF,HLA-DRB1,HLA-DQB1	0.006108510436304814	0	0
4	Staphylococcus aureus infection	9.221309555093147e-05	4.150692321524906	38.56577751578185	IL10,C1QB,CFD,SELPLG,FCGR2A,HLA-DPB1,DEFA3,FPR2,FCGR2C,HLA-DRB1,HLA-DQB1,C2	0.006316597045238806	0	0
5	Malaria	0.0002653964860635561	5.447506005369507	44.85632067160618	IL10,GYPA,IL6,CR1,VCAM1,CD81,CD36,TNF	0.014543727436282874	0	0
6	Inflammatory bowel disease	0.00034294928582972897	4.599819571216302	36.697029243845996	IL10,IL6,IL18RAP,IL23R,HLA-DPB1,IL12RB1,TNF,HLA-DRB1,HLA-DQB1	0.015661350719557623	0	0
7	TNF signaling pathway	0.00044073657686427825	3.4420298507462688	26.59678216672105	NFKBIA,IL6,EDN1,VCAM1,CSF1,MLKL,RIPK3,CREB3L1,TNFAIP3,TNF,JUNB,CXCL5	0.017251688865830322	0	0
8	Viral protein interaction with cytokine and cytokine receptor	0.0006033543592882961	3.541904586480015	26.256159502353075	IL10,IL6,IL18RAP,CCL11,CSF1,CCL4,TNFRSF10C,CCR9,TNF,CXCL5,CCL15	0.02066488680562414	0	0
9	Hypertrophic cardiomyopathy	0.0009765773856237306	3.5784970238095237	24.804196680776926	CACNB1,SLC8A3,EDN1,IL6,ITGB3,ITGA1,MYL3,LMNA,CACNA1S,TNF	0.02801486285209423	0	0
10	Intestinal immune network for IgA production	0.0011338623624231466	4.875844625112918	33.068589944494455	IL10,IL6,TNFSF13,CCR9,HLA-DPB1,HLA-DRB1,HLA-DQB1	0.02801486285209423	0	0
11	Leishmaniasis	0.0012053488702936772	3.7857267721353027	25.443817525091227	IL10,NFKBIA,CR1,FCGR2A,HLA-DPB1,TNF,FCGR2C,HLA-DRB1,HLA-DQB1	0.02801486285209423	0	0
12	cAMP signaling pathway	0.0012269283000917181	2.45606226621831	16.4635786325322	EDN1,PDE4C,CAMK2A,NPY1R,ATP1A4,ARAP3,ADCY5,NFKBIA,GRIN2A,CREB3L1,FXYD1,PDE4B,PDE4A,CACNA1S,VIP,CFTR,RAPGEF3	0.02801486285209423	0	0
13	Cortisol synthesis and secretion	0.0015950215801650964	4.0108282575875895	25.833215429743056	CYP21A2,CREB3L1,CACNA1S,CACNA1H,KCNK3,ADCY5,CACNA1G,CYP17A1	0.033618147151172034	0	0
14	Aldosterone synthesis and secretion	0.0018760455189163084	3.2518262987012987	20.41688136509066	CYP21A2,CREB3L1,CAMK2A,ATP1A4,CACNA1S,CACNA1H,CAMK1G,KCNK3,CACNA1G,ADCY5	0.03671689087021918	0	0
