Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 DN	2.5386915709480103e-07	3.369714168839802	51.173985064799055	GCDH,CDCA3,MCM10,IPO4,KIF15,TBRG4,ALAD,FOXRED2,TRIM29,EXO1,COBLL1,PES1,POLD1,TK1,DLGAP5,GINS2,NUP155,SRD5A3,KRT13,MRPS2,NLE1,TLX2,NMU,MCM5,KIF20A,TRIP13,BCAT1,SLC29A2	4.696579406253819e-05	0	0
2	GCNP SHH UP LATE.V1 UP	5.976582878011386e-06	3.018673130442589	36.307578828799876	TOP2A,CDCA7,MCM10,SMC4,NPAS1,AURKB,TM9SF3,UNG,PSMC3IP,SIX4,MYB,TK1,DNM1L,DLGAP5,NAA30,RRM1,IDH2,CDC25A,POLA2,FRMD6,KIFC1,PSME4,MCM5,TRIP13,SSX2IP	0.0005528339162160532	0	0
3	VEGF A UP.V1 DN	1.5314145949604493e-05	2.8374825107347905	31.458412648186798	RIF1,MT1X,TTK,HMMR,SMC4,CENPA,ATIC,EXO1,MEST,BUB1,DLGAP5,TMPO,SLC30A9,SERPINB2,RFC4,NUP155,SPAG5,CACNA2D1,PHKA1,VRK1,KIF22,UCHL3,DBF4,CCNE1,CCDC86	0.0009443723335589437	0	0
4	E2F1 UP.V1 UP	0.00023748926597509586	2.5044577511643378	20.90067199217281	TOP2A,STIL,RRM1,KLHL21,MCM10,ELAVL1,AURKB,CLN6,SLC9A3R1,POLA2,CNOT7,DBF4,TLX2,KIFC1,GRWD1,DNAJC21,DNA2,TK1,SSX2IP,DCTPP1,BUB1,DLGAP5	0.010983878551348183	0	0
5	E2F3 UP.V1 UP	0.0003965919995572776	2.4028097062579823	18.820253347475468	RYR1,L3MBTL3,ATRNL1,ZDHHC12,LRP4,TMEM97,ENO2,SLC4A3,SYNGR3,JPH1,NPAS1,UNG,CYP26A1,TMEM201,CCNE1,MYB,TMEM106C,CRY1,ANKRD18A,SNRNP25,FGFR3,CHST2	0.014673903983619271	0	0
6	MYC UP.V1 UP	0.0004920728602621825	2.417411246674617	18.413140472014092	TSFM,CGREF1,MTFP1,METTL1,SLC6A15,RPP40,CCDC124,TMEM97,HSPE1,JPH1,IPO4,NLE1,UNG,QTRT1,FOXRED2,EXOSC5,TMEM201,PES1,POLR1E,DCTPP1,NR2C2AP	0.014854204078347425	0	0
7	RB DN.V1 UP	0.0005620509651266594	2.6863986599664993	20.104787358772665	TIPIN,MCM7,TNFRSF18,AKR1C3,CLN6,MSH6,DSN1,CCNE1,STMN1,HAT1,GRM8,RAD54L,SPOCK1,IL36RN,MANSC1,DNA2,ACOX3	0.014854204078347425	0	0
8	RB P107 DN.V1 UP	0.0007215536395833582	2.6204600236957143	18.956679914682173	GSTM2,RRM1,MCM7,RFC2,GMNN,GINS4,IPO9,ORC6,HAUS8,CENPH,CCNE1,POLD1,STMN1,MCM5,DNA2,ASF1B,MCM2	0.01668592791536516	0	0
9	HOXA9 DN.V1 DN	0.0009147111609410816	2.2912766623751697	16.031838751002432	FANCI,CDT1,SREBF1,TIPIN,HMGCS1,GINS4,IGFBP2,ADM,MCM10,STAM,TEX15,SLC1A5,FANCG,COCH,PER2,EXOSC5,ZIC1,TMEM106C,DHCR7,BCAT1,SLC29A2	0.01868135211352829	0	0
10	MTOR UP.V1 UP	0.0010098028169474751	2.3869270322722635	16.465023141068198	TIPIN,KCNE3,HMGCS1,ZNF518B,SLC41A3,PPAN,TMEM97,KRBA1,HSPE1,GABRG2,CYP26A1,TG,DBF4,BDH1,LIPG,STMN1,CCDC86,MCM5,DHCR7	0.01868135211352829	0	0
11	P53 DN.V1 UP	0.0020286972331165134	2.1799684835001854	13.516592545190857	CDKN2A,THOC1,ADM,EGFR,TUBA4A,PRDX2,MTAP,KRT19,CALB1,KLF5,PLAU,KRT15,NMU,SCNN1A,CDH13,CD9,CD24,PRSS2,PITX1,MEST	0.03323849025298371	0	0
12	PRC2 EZH2 UP.V1 UP	0.0021560101785719167	2.1673963133640552	13.306720790198401	CDT1,RFC4,PILRB,MCM10,TTK,HMMR,THBS2,NPAS1,WDR76,CDC25A,AURKB,KIF15,RAD54L,KNTC1,DNA2,PITX1,BUB1,DLGAP5,PSPH,MCM2	0.03323849025298371	0	0
13	RB P130 DN.V1 UP	0.003008850818398288	2.4059466535198815	13.969400388658388	ATP2A1,KIF22,AURKB,QTRT1,RAD51D,RACGAP1,RUVBL2,CHCHD6,ZNF428,KIF20A,TK1,POLR2I,SIM2,DCTPP1,B4GALT4	0.04281826164643717	0	0
