Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Cellular senescence	6.275367578608478e-06	22.625028545329982	271.02246792203897	RB1,GADD45A,HLA-C,PIK3R2,NFATC4	0.0008032470500618852	0	0
2	Melanoma	0.00024707280872563494	27.90603085553997	231.78267828941375	RB1,GADD45A,PIK3R2	0.0056827629796526455	0	0
3	Non-small cell lung cancer	0.00024707280872563494	27.90603085553997	231.78267828941375	RB1,GADD45A,PIK3R2	0.0056827629796526455	0	0
4	Glioma	0.00027876658406918837	26.739247311827956	218.86436890068782	RB1,GADD45A,PIK3R2	0.0056827629796526455	0	0
5	Chronic myeloid leukemia	0.00028988633829197055	26.371630578877596	214.82387360798793	RB1,GADD45A,PIK3R2	0.0056827629796526455	0	0
6	Pancreatic cancer	0.00028988633829197055	26.371630578877596	214.82387360798793	RB1,GADD45A,PIK3R2	0.0056827629796526455	0	0
7	Kaposi sarcoma-associated herpesvirus infection	0.00031077610044975406	13.952028218694885	112.68268864055077	RB1,HLA-C,PIK3R2,NFATC4	0.0056827629796526455	0	0
8	Epstein-Barr virus infection	0.00036944384981192114	13.311784511784511	105.20984585803706	RB1,GADD45A,HLA-C,PIK3R2	0.005911101596990738	0	0
9	Human T-cell leukemia virus 1 infection	0.0005012859366302467	12.248682170542637	93.06957681840315	RB1,HLA-C,PIK3R2,NFATC4	0.006457363291690656	0	0
10	Small cell lung cancer	0.0005083188628877796	21.613265675969554	163.92368730241336	RB1,GADD45A,PIK3R2	0.006457363291690656	0	0
11	Human cytomegalovirus infection	0.0005549296578796657	11.912518853695325	89.30421312308533	RB1,HLA-C,PIK3R2,NFATC4	0.006457363291690656	0	0
12	Herpes simplex virus 1 infection	0.0014373966743372072	6.810169965727075	44.572028961902845	ZNF627,ZNF229,HLA-C,PIK3R2,ZNF12	0.01533223119293021	0	0
13	Breast cancer	0.00196990773480443	13.321236559139784	82.9882208623502	RB1,GADD45A,PIK3R2	0.018717610458245427	0	0
14	Gastric cancer	0.002047238643870594	13.137428192664604	81.33727829793445	RB1,GADD45A,PIK3R2	0.018717610458245427	0	0
15	Hepatitis B	0.0025961905362169293	12.055386488131466	71.77427613413336	RB1,PIK3R2,NFATC4	0.022154159242384463	0	0
16	Hepatocellular carcinoma	0.0028773855812291374	11.613489736070381	67.94905563941737	RB1,GADD45A,PIK3R2	0.0230190846498331	0	0
17	Endometrial cancer	0.00436849492365109	22.220982142857142	120.73407868148206	GADD45A,PIK3R2	0.03289219707219644	0	0
18	Viral carcinogenesis	0.004890534060915919	9.564193548387097	50.88584958850677	RB1,HLA-C,PIK3R2	0.03477713109984654	0	0
19	Human immunodeficiency virus 1 infection	0.005516219787448087	9.148171014045378	47.57106079957416	HLA-C,PIK3R2,NFATC4	0.037161901725966055	0	0
20	Chemical carcinogenesis	0.007673816882821086	8.090486604702022	39.40019363544958	RB1,PIK3R2,CYP3A5	0.04911242805005495	0	0
