Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	4.549068260541213e-13	2.8632126631140262	81.36873525313388	HJURP,IDE,SLC7A11,TSKU,PANX2,UCHL1,TRIM29,PHGDH,NRCAM,WDHD1,CBR1,SREBF1,GPX2,G6PD,ABCC2,UGT1A1,IGFBP3,NDUFC2,TALDO1,PTGR1,PGD,UGDH,ALDH3A1,NEIL3,DBF4,MTHFD2,MPPED2,MCM3,PPIF,TKT,PFN2,CSTA,ABCB6,ABHD4,DNAH8,MGST1,CPLX2,LRP8,NT5DC1,BRIP1,CDC45,PTPRZ1,PTPMT1,STC2,GPC1,TSPAN7,SPP1,UGT1A5,GCNT3,UGT1A3,B4GALNT1,UGT1A9,UGT1A7,UGT1A6,CBR3,NQO1,GCKR,RRM2,TXNRD1,AKR1C1,CYP4F3,GSR,STYK1,OSGIN1,AKR1C3,CYP4F11,TPD52L1,STXBP5L,FERMT1,GCLC,TMEM237,PNPLA4,RPL22L1	8.552248329817481e-11	0	0
2	RB P107 DN.V1 UP	1.1549653577661997e-06	3.3924676457757745	46.379918575835724	SLBP,FKBP10,FEN1,MCM7,NCAPH,CDC45,STMN1,TCFL5,WDHD1,GSTM2,RRM1,RRM2,PAQR4,RFC2,FANCA,COL1A1,CENPH,CCNE1,PRC1,RPA3,CENPK,MCM5,DNA2,ASF1B,MCM2	0.00010856674363002277	0	0
3	VEGF A UP.V1 DN	2.1725917486259085e-06	2.8767906538301062	37.51216991935686	MRPL19,TWF1,BUB1B,TTK,HMMR,CENPA,LRP8,CCNB1,ATIC,CDC45,EXO1,BUB1,TMPO,PLK4,SERPINB2,RFC4,RRM2,SPAG5,KIF23,VRK1,KIF22,NDC80,NUDT21,EIF2S3,DBF4,CD8B,CCNE1,BIRC5,MCM4,CDKN3	0.00013614908291389026	0	0
4	CSR LATE UP.V1 UP	5.710688211465022e-06	2.9060128227343616	35.08478977820584	CXCL6,FEN1,DTYMK,UHRF1,YEATS4,RPF2,FOXM1,NUF2,PBK,PGM2,GINS2,RRM2,WSB2,UBE2C,IGFBP3,FANCA,NETO2,KIF22,TUBA4A,ZWINT,ANLN,KRT18,MCM3,BIRC5,ITGA6,UMPS,EZH2	0.000268402345938856	0	0
5	E2F1 UP.V1 UP	3.2845388966662076e-05	2.5986878838637635	26.82807199962192	TOP2A,DLX1,SLBP,FEN1,HMGB3,TYMS,NCAPH,AURKB,SLC9A3R1,DNAJC21,BUB1,KPNA1,TPD52,PLK4,WDHD1,RRM1,GPN2,UCK2,DBF4,PRC1,UBE2T,TYRO3,MCM4,DNA2,GRSF1,EZH2,CDK5R1	0.001234986625146494	0	0
6	RB DN.V1 UP	8.601111639908254e-05	2.8155387931034483	26.35635439761692	GRB7,SLBP,TIPIN,RRM2,MCM7,TNFRSF18,AKR1C3,TGM1,SFRP1,CCNE1,ARTN,UBE2T,STMN1,SPOCK1,PMS2,IL36RN,MANSC1,RP9,STUB1,DNA2,ACOX3	0.0026950149805045863	0	0
7	P53 DN.V1 UP	0.00013415724213950103	2.410270970312811	21.49117627941678	YAP1,COL17A1,ITGB4,ADM,EGFR,UGT8,UCHL1,CALB1,PRSS2,PITX1,CDKN2A,THOC1,LSR,SULF1,KLK10,TUBA4A,NDC80,AZGP1,KRT19,KRT18,KLF5,LPCAT4,KRT15,SCNN1A,CD24,DSC2	0.003603080217460885	0	0
8	GCNP SHH UP LATE.V1 DN	0.00025829396711235953	2.393547972495341	19.774086455395963	EPHB6,GRB7,EYA1,DLX5,NDUFA10,SLC2A1,FMO1,LSR,ACTN4,ATAD3A,KLK8,RHD,MRPL3,VSNL1,WNK2,GJB6,ESRP1,UBE2V2,RP9,ADAM7,PPFIA4,S100A11,MDFI,KPNA1	0.006069908227140449	0	0
9	PRC2 EZH2 UP.V1 UP	0.0003573286824800439	2.2881418453669093	18.160648949023308	HJURP,TTK,HMMR,NCAPH,AURKB,KIF15,HOXA10,CDC45,KNTC1,LGALS7,PITX1,BUB1,PSPH,HELLS,RFC4,DDHD2,SULF1,TPD52L1,CENPF,DEPDC1,TACC3,DNA2,EZH2,MCM2,NUP37	0.007464199145138695	0	0
10	E2F3 UP.V1 UP	0.0009006300910357661	2.1690272192108178	15.210121042916278	RYR1,RTN4R,L3MBTL3,FEN1,ATRNL1,GAD1,ZDHHC23,FANCA,TMEM97,SYNGR3,RASGRP1,RECQL4,UGT8,HEY1,CCNE1,MYB,EEF1A2,TMEM106C,ANKRD18A,FGFR3,DTL,CHST2,SAC3D1,CDK5R1	0.016931845711472403	0	0
11	KRAS.LUNG UP.V1 DN	0.001338230902305773	2.340061537648892	15.482798975206313	RYR1,SERPINB13,C11ORF80,IGFBP2,SRD5A3,KRT13,CXCL14,KLK8,KLK7,KLK11,TGM1,SH3BP1,KRT16,PSG7,KRT15,RHCG,LGALS7,SPTBN2,ZNF750	0.02287158269395321	0	0
12	HOXA9 DN.V1 DN	0.0018786973413600187	2.0769159840043483	13.037168510165529	PLK4,FANCI,ARHGAP11A,HELLS,SREBF1,TIPIN,RNASEH2A,DLX5,FZD6,IGFBP2,ADM,TEX15,FANCG,COCH,PER2,CDC45,ZIC1,TMEM106C,SPP1,MVD,APOBEC3B,SLC29A2,TMEM45A	0.029049321110869237	0	0
13	MEK UP.V1 UP	0.002008729651283511	2.064799714360157	12.822928147671748	FGB,EGLN3,GPX2,ST6GALNAC2,GOLM1,ITGB4,TMPRSS4,AKR1C3,AKR1C2,ADM,SLC7A11,AQP3,BMP7,LRP8,ALDH3A1,CLDN4,TRIM29,CEACAM5,PACSIN3,APOD,FGFR3,CUEDC1,SPTBN2	0.029049321110869237	0	0
14	RPS14 DN.V1 DN	0.0024061202804535574	2.069947178204059	12.481242616884245	ARHGAP11A,GINS2,ERCC6L,CDCA3,SRD5A3,PLK1,KRT13,PYCR1,KIF23,NCAPH,NLE1,KIF15,SLC6A8,ESPL1,TRIM29,EXO1,PRC1,PBK,DEPDC1,KIF2C,MCM5,SLC29A2	0.032310758051804916	0	0
15	IL21 UP.V1 UP	0.003554225440145712	1.9966736412897688	11.2604768440865	EHF,ST6GALNAC2,GIPR,KLK11,PAX1,UGT8,SLC7A5,CDH3,GNAL,DPYSL4,VSNL1,ZNF749,SCN8A,SCNN1A,SLCO1A2,SPP1,FAT2,CHI3L1,MVD,PRSS2,SLC12A8,SLC29A2	0.044546292183159586	0	0
16	LEF1 UP.V1 UP	0.004026567308600922	1.9733785862014106	10.882869235290817	RYR1,KCNG1,PRPS1,PTPRN2,CDKN2A,WNT5A,KRT13,KRT23,PAX6,KRT5,MPP6,DHRS2,BMP7,ANO1,SLC6A8,GNAL,STC2,SCN5A,FGF13,SLC26A4,CHST2,STRA6	0.04731216587606083	0	0
