Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Malaria	2.2244149883472195e-10	11.25175644028103	250.08555524283133	CSF3,GYPA,HGF,ITGB2,HBB,TNF,THBS1,SELP,IL6,KLRC4-KLRK1,PECAM1,CCL2,ACKR1,TLR4,TLR2	6.29509441702263e-08	0	0
2	Inflammatory bowel disease	1.4338814219526092e-09	8.578240598565007	174.6776906844877	RORC,NFATC1,TNF,HLA-DMA,IL6,STAT4,HLA-DPB1,HLA-DOA,TLR4,HLA-DQA1,IL18R1,HLA-DRB1,HLA-DPA1,TLR2,HLA-DQB1,IL12RB2	2.028942212062942e-07	0	0
3	Hematopoietic cell lineage	2.4046347201237982e-08	5.844231062338058	102.52699789792227	CSF1R,CSF3,GYPA,MME,IL1R1,ITGA1,TNF,EPOR,IL6,HLA-DMA,IL7,HLA-DPB1,HLA-DOA,CD34,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	2.2683720859834497e-06	0	0
4	Cell adhesion molecules	3.249799835344607e-08	4.606392993979201	79.42383031825258	SELPLG,CADM1,ITGB2,ICAM2,PTPRM,SELP,CDH5,CLDN5,HLA-DMA,PECAM1,HLA-DPB1,CD226,ESAM,NCAM2,HLA-DOA,CD34,HLA-DQA1,HLA-DRB1,JAM2,HLA-DPA1,ITGA9,HLA-DQB1	2.2992333835063093e-06	0	0
5	Rheumatoid arthritis	5.4115755177863245e-08	5.876153568853641	98.3206269387643	ANGPT1,ITGB2,TNFSF13,FOS,TNF,HLA-DMA,IL6,HLA-DPB1,CCL2,TEK,HLA-DOA,TLR4,HLA-DQA1,HLA-DRB1,HLA-DPA1,TLR2,HLA-DQB1	3.0629517430670597e-06	0	0
6	Graft-versus-host disease	2.722352855639288e-07	9.26726858345021	140.08958415146978	HLA-DMA,IL6,HLA-DPB1,FASLG,KIR2DL1,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	1.2840430969098642e-05	0	0
7	Staphylococcus aureus infection	4.2961771407744943e-07	5.312369045351435	77.88129610394351	C1QB,SELPLG,ITGB2,FGG,DEFA3,FPR3,C2,SELP,HLA-DMA,HLA-DPB1,HLA-DOA,CAMP,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	1.7368830440559743e-05	0	0
8	Hypertrophic cardiomyopathy	1.1283456384112692e-06	5.239890710382514	71.75903540744945	EDN1,ACE,TNNC1,ITGA1,CACNA2D2,CACNA1D,CACNA2D4,TNF,SLC8A1,TTN,IL6,DES,SGCA,LMNA,ITGA9	3.991522695879865e-05	0	0
9	Asthma	1.2974287982040178e-06	10.66019955654102	144.5003492353387	HLA-DMA,FCER1G,HLA-DPB1,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	4.079692776574856e-05	0	0
10	Complement and coagulation cascades	2.9608263767836995e-06	5.160117595065619	65.68851446993266	C1QB,SERPINA1,VWF,F10,ITGB2,FGG,F11,C4BPA,C8B,TFPI,C2,SERPING1,VSIG4,A2M	8.37913864629787e-05	0	0
