Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	transmembrane receptor protein tyrosine kinase activity (GO:0004714)	1.520332061435585e-06	5.0636908002177465	67.83614794157334	NTRK1,NRP1,PDGFRA,CSF1R,NRP2,MUSK,FLT3,FLT4,NTRK3,CRIM1,EFEMP1,ERBB4,AXL,TEK,FGFR4,ROS1	0.0011660946911210936	0	0
2	protein tyrosine kinase activity (GO:0004713)	9.686993452466328e-06	3.3660716598875617	38.86037653604357	NTRK1,PDGFRA,CSF1R,MUSK,FLT3,FLT4,NTRK3,AATK,HIPK3,TTN,HIPK2,HCK,FES,PEAK1,ERBB4,AXL,BTK,PTK2B,TEK,FGFR4,ROS1	0.0037149619890208367	0	0
3	MHC class II receptor activity (GO:0032395)	1.5643122450169598e-05	20.777117384843983	229.90876020854236	HLA-DOA,HLA-DQA1,HLA-DQB2,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.003999424973093361	0	0
4	guanyl-nucleotide exchange factor activity (GO:0005085)	2.154723383529402e-05	2.814376352189027	30.24121439473346	DOCK5,DOCK4,DOCK8,RASGRF2,DENND3,RASGRP2,KALRN,DOCK10,DOCK11,ABR,AKAP13,FGD4,FGD5,RASGEF1B,SH3BP5,ARHGEF10,ARHGEF15,DENND4A,SPATA13,ELMO1,RAPGEF2,NUCB1,RIN3,ARHGEF2,RAPGEF3	0.004023599356450703	0	0
5	vascular endothelial growth factor-activated receptor activity (GO:0005021)	2.6229461254567817e-05	34.60653303637714	365.05141926980286	NRP1,PDGFRA,NRP2,FLT3,FLT4	0.004023599356450703	0	0
6	3',5'-cyclic-AMP phosphodiesterase activity (GO:0004115)	6.115874797712028e-05	13.849925705794949	134.3725006249309	PDE4D,PDE2A,PDE4C,PDE4B,PDE4A,PDE7B	0.007818126616408542	0	0
7	GTPase activator activity (GO:0005096)	8.713438149773474e-05	2.001526717557252	18.710389877993766	NRP1,DOCK5,DOCK4,DOCK8,RASGRF2,LRRK2,ARHGEF10L,ARRB1,DENND3,IQGAP2,RASGRP2,ARHGAP15,KALRN,ARHGAP44,DOCK10,ABR,AKAP13,FGD4,DOCK11,FGD5,ARHGAP20,RGS3,RASGEF1B,SH3BP5,ARHGEF10,STARD13,ARHGEF15,DENND4A,ARAP3,TBC1D2B,ARHGAP26,ARHGAP25,SPATA13,ADPRH,ELMO1,RAPGEF2,NUCB1,RIN3,ARHGEF2,RGS11,SMAP2,RAPGEF3	0.00954743865839465	0	0
8	alpha-actinin binding (GO:0051393)	0.00011807853415883662	6.931547619047619	62.69002995054025	MAGI1,RARA,PKD2L1,CACNA1D,LDB3,PPARG,CACNA1C,TTN	0.010602840980496629	0	0
9	voltage-gated calcium channel activity (GO:0005245)	0.00012441404018835678	5.139095876800795	46.21021319545024	CACNG6,CACNB1,CACNB4,CACNA2D2,CACNA1D,CACNA1C,CACNA1S,CACNA2D4,CACNA1H,CACNA1G	0.010602840980496629	0	0
10	transmembrane receptor protein kinase activity (GO:0019199)	0.00015087524015960086	3.8423879363767814	33.80939157017025	ACVRL1,NTRK1,PDGFRA,CSF1R,MUSK,FLT3,FLT4,NTRK3,ERBB4,AXL,TEK,FGFR4,ROS1	0.011572130920241386	0	0
11	high voltage-gated calcium channel activity (GO:0008331)	0.0002649071969184076	13.840386043058649	113.99123245290649	CACNB1,CACNB4,CACNA1D,CACNA1S,CACNA1C	0.01847125636694715	0	0
12	3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)	0.00031798142075509906	6.927137546468401	55.78782416327003	PDE4D,PDE2A,PDE4C,PDE4B,PDE4A,PDE5A,PDE7B	0.018760903824550843	0	0
13	actinin binding (GO:0042805)	0.00031798142075509906	6.927137546468401	55.78782416327003	MAGI1,RARA,PKD2L1,CACNA1D,PPARG,CACNA1C,TTN	0.018760903824550843	0	0
14	calcium ion binding (GO:0005509)	0.00037332135706470167	1.8683825411141506	14.747275981453837	MCTP1,PLA2G1B,LTBP4,LPL,PKD2L1,FBLN1,LRP2,RASGRP2,AIF1,THBS1,SLC8A1,TTN,CDH5,CLEC3B,SCUBE1,ANXA6,ENPP2,CDH23,MAN1C1,CAPN3,EFHD1,SLIT3,ENPP3,SLIT2,TGM2,AOC3,FER1L5,TNNC1,ANXA5,SYT15,EML1,NAALADL1,SELP,RGN,CDHR3,SPARCL1,RAPGEF2,NUCB1,ESYT3,CLEC4E,CDH19	0.02045267720490187	0	0
15	voltage-gated sodium channel activity (GO:0005248)	0.0004393138158514882	6.464981412639405	49.976223560244485	SCN7A,SCN3B,CACNA1H,SCN1B,CACNA1G,SCN1A,SCN2B	0.022463579783872763	0	0
16	cyclic nucleotide binding (GO:0030551)	0.0005949143558615443	6.060594795539034	45.01260180304055	STING1,PDE4D,PDE2A,PDE4B,RAPGEF2,PDE4A,PDE5A	0.026841135937988498	0	0
17	cyclic-nucleotide phosphodiesterase activity (GO:0004112)	0.0005949143558615443	6.060594795539034	45.01260180304055	PDE4D,PDE2A,PDE4C,PDE4B,PDE4A,PDE5A,PDE7B	0.026841135937988498	0	0
18	cAMP binding (GO:0030552)	0.0007425428836584884	9.884929472902748	71.22516671148806	PDE4D,PDE2A,PDE4B,RAPGEF2,PDE4A	0.03105427519401074	0	0
19	cytokine receptor activity (GO:0004896)	0.0007692714845973977	2.8547350949273063	20.46864079844673	CCR1,CD74,CSF3R,FLT3,IL1R1,IL23R,IL5RA,GFRA2,EPOR,IL18RAP,CCR9,IL6ST,IL12RB1,CMKLR1,CRLF2	0.03105427519401074	0	0
20	amyloid-beta binding (GO:0001540)	0.0008708813877919086	2.9459165647506453	20.756942166454973	CD74,MSR1,COL25A1,ITGB2,FPR2,ADRB2,HSPG2,AGER,GRIN2A,CALCR,APBB2,CD36,APBB1,TLR4	0.0333983012218197	0	0
21	CD4 receptor binding (GO:0042609)	0.0011671242428262661	13.830860534124628	93.40273980099673	CD74,IL16,CD22,HLA-DRB1	0.04262782353560696	0	0
