Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Hematopoietic cell lineage	1.9681430552932786e-13	6.412031883154473	187.59371160099099	CSF1R,CSF3,GYPA,CSF3R,CSF1,FLT3,ITGB3,IL5RA,CD1C,TNF,HLA-DMA,CD37,CD36,HLA-DOA,CD34,HLA-DQA1,CD33,CD55,HLA-DPA1,CR1,MME,IL1R1,ITGA1,EPOR,FCER2,IL6,IL7,HLA-DPB1,HLA-DRB1,CD22,HLA-DQB1	3.191117344538108e-11	0	0
2	Malaria	2.1782370952478552e-13	11.0	320.7059936429554	IL10,CSF3,GYPA,CR1,VCAM1,CD81,HGF,ITGB2,HBB,HBA2,ITGAL,TNF,THBS1,SELE,SELP,IL6,KLRC4-KLRK1,PECAM1,CCL2,CD36,ACKR1,TLR4	3.191117344538108e-11	0	0
3	Hypertrophic cardiomyopathy	7.30614079488531e-10	5.386064575966611	113.30737153850326	LAMA2,ITGB3,CACNA1D,CACNA1C,TNF,SLC8A1,TTN,CACNG6,SGCA,LMNA,DMD,CACNA1S,EDN1,ACE,TNNC1,ITGA1,CACNA2D2,CACNA2D4,CACNB1,SLC8A3,IL6,CACNB4,DES,MYL3,ITGA9	6.178205960659266e-08	0	0
4	Cell adhesion molecules	8.434410867794219e-10	4.031967564360352	84.24203953949005	NLGN3,SELPLG,ITGB2,ICAM2,NRXN3,PTPRM,ITGAL,SPN,CDH5,HLA-DMA,NCAM2,HLA-DOA,TIGIT,CD34,HLA-DQA1,JAM2,HLA-DPA1,VCAM1,CADM1,SELE,SELP,CLDN5,NFASC,PTPRC,PECAM1,HLA-DPB1,ESAM,SIGLEC1,NECTIN3,HLA-DRB1,CD22,ITGA9,HLA-DQB1	6.178205960659266e-08	0	0
5	Dilated cardiomyopathy	3.1890733130072876e-09	4.929312119893438	96.43477245016471	LAMA2,ITGB3,ADCY4,CACNA1D,CACNA1C,TNF,SLC8A1,ADCY5,TTN,CACNG6,PLN,SGCA,LMNA,DMD,CACNA1S,TNNC1,ITGA1,CACNA2D2,CACNA2D4,CACNB1,SLC8A3,CACNB4,DES,MYL3,ITGA9	1.8687969614222705e-07	0	0
6	Complement and coagulation cascades	3.135716626837653e-08	4.879699248120301	84.31057993586246	C1QB,CFD,SERPINA1,CR1,VWF,CFH,F10,PROS1,ITGB2,FGG,F11,F13A1,C4BPA,C8B,TFPI,C2,C3,ITGAX,SERPING1,VSIG4,A2M,CD55	1.5312749527723872e-06	0	0
7	Staphylococcus aureus infection	5.939184633593079e-08	4.465011286681715	74.29380898110105	IL10,C1QB,CFD,SELPLG,CFH,ITGB2,FGG,DEFA3,FPR3,FPR2,ITGAL,C2,C3,SELP,HLA-DMA,FCGR2A,HLA-DPB1,HLA-DOA,FCGR2C,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	2.4859729966325315e-06	0	0
8	Adrenergic signaling in cardiomyocytes	2.3973386775583253e-07	3.3562776809530055	51.162212298028464	CAMK2A,ATP1A4,ADCY4,CACNA1D,ATP1A2,CACNA1C,ADRB2,ADRA1A,SLC8A1,ADCY5,KCNE1B,CACNG6,PLN,CREB3L1,SCN7A,CACNA1S,SCN1B,TNNC1,PPP2R5B,CACNA2D2,CACNA2D4,CACNB1,SLC8A3,CACNB4,KCNQ1,MYL3,AGTR1,PLCB2,RAPGEF3	8.780252906557366e-06	0	0
9	Arrhythmogenic right ventricular cardiomyopathy	6.037250523211526e-07	4.568512817859637	65.421774913168	LAMA2,ACTN2,ITGB3,ITGA1,CACNA2D2,CACNA1D,CACNA2D4,CACNA1C,SLC8A1,CACNB1,CACNG6,SLC8A3,CACNB4,DES,SGCA,LMNA,DMD,CACNA1S,ITGA9	1.965460448112197e-05	0	0
10	Inflammatory bowel disease	9.704145218344252e-07	4.9344569288389515	68.3202331948812	IL10,IL23R,RORC,NFATC1,TNF,HLA-DMA,IL6,IL18RAP,STAT4,HLA-DPB1,HLA-DOA,IL12RB1,TLR4,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	2.843314548974866e-05	0	0
11	Osteoclast differentiation	1.1235380860114112e-06	3.425462121547941	46.92550099009287	LILRA6,CSF1R,SPI1,CSF1,ITGB3,TNF,SIRPB1,SOCS3,CALCR,JUNB,JUND,IL1R1,MITF,NFATC1,GAB2,FOS,LILRB4,OSCAR,NFKBIA,TYROBP,FCGR2A,BTK,FOSB,PPARG,FCGR2C	2.9926969018303954e-05	0	0
12	Asthma	3.1023063087969787e-06	7.640119313944817	96.90242001140075	IL10,HLA-DMA,CCL11,FCER1G,HLA-DPB1,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	7.57479790397929e-05	0	0
