Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	3.3319692834322985e-11	3.8309414480630024	92.42097405587617	CPM,RBM47,LST1,ITGB2,TNFAIP2,F13A1,PTPN22,FRY,ITGAL,AIF1,HLA-DMA,SPTLC3,ENPP2,ANXA6,ITGAX,SH3BP5,CTSH,CCL2,ST3GAL6,PTGDS,CR1,VWF,SLC31A2,CD300A,GDF15,PDE4D,CRIM1,TNFRSF10C,PILRA,TM6SF1,ARHGAP25,DCN,PTPRE,HCK,TYROBP,CACNB4,BCL6,TFEC,MNDA,CD69,HLA-DQB1	6.197462867184075e-09	0	0
2	ESC J1 UP LATE.V1 UP	1.7624923421986503e-08	3.263790567702716	58.27155958912091	RAMP2,PARM1,CITED2,TMPRSS2,PTH1R,DRAM1,PODXL,HNF4A,CA4,CTSH,APOB,PCDH1,CD55,PDGFRA,GADD45B,PEG3,GPX3,CRIM1,APOA2,KRT7,GKN2,LMO7,HNF1B,BICC1,RBP4,DAB2,COL4A2,COL4A1,ID2,SLCO2A1,MYL3,TFEC,RGL3,ATF3,HLA-DRB1,LGMN	1.6391178782447448e-06	0	0
3	KRAS.600 UP.V1 UP	2.817861944347464e-07	2.547853664061615	38.42702764456088	LILRA6,NRP1,CSF3,DOCK4,RTN1,CTNND2,FLT4,SEMA3A,HPN,ITGB2,LDB3,ATP1A2,TFPI,CXCL5,HSD11B1,GRIN2A,ST3GAL6,A2M,SCN1B,CMKLR1,TGM2,PEG3,PCDH9,LIMCH1,LMO3,NTRK3,PDE2A,LAPTM5,ETV1,RNASE1,GNG11,DUSP6,DNM3,RBP4,FABP3,ZEB1,NAV3,ACOX2,SLCO4A1,MGAT4A,ALPI,TLR4,KCNK3,CCNJL	1.7470744054954277e-05	0	0
4	KRAS.KIDNEY UP.V1 UP	3.9460288586571737e-07	3.349523588194283	49.39001798952796	GPM6A,VIPR2,RTN1,AQP4,ATP1A2,SOBP,TMEM100,EPB41L3,NDN,ST3GAL6,METTL7A,A2M,SCN1B,MEF2C,WSCD1,PEG3,PCDH9,LIMCH1,LMO3,PLCL1,ANK2,ETV1,SORBS1,DUSP6,DNM3,PECAM1,SPARCL1,ASPA	1.834903419275586e-05	0	0
5	EGFR UP.V1 UP	2.106741887011879e-06	2.7836627140974968	36.38349587532634	EPAS1,FHOD1,TFPI,PAPSS2,ACTG2,RND1,SOCS2,SDCBP,DRAM1,PLAGL1,PDE4B,CCL2,A2M,JUNB,CTNNAL1,CSGALNACT1,CADPS2,EDN1,MBNL2,PCDH9,IL1R1,FGG,KRT7,SOD2,DUSP6,PTPRE,RCAN1,CRISPLD2,MGAT4A,SLCO2A1,ATF3,MGLL	7.83707981968419e-05	0	0
6	BMI1 DN MEL18 DN.V1 DN	5.586110090437114e-06	3.0022686760654675	36.31312229994326	SPAG16,AK1,SEMA3E,SLC4A4,SOCS2,FCGRT,PDE4B,EFHD1,CTSH,METTL7A,ZNF423,A2M,PPARGC1A,SEC31B,PEG3,IL1R1,GPX3,LMO3,UNC5C,FOS,RBP4,ACOX2,ERCC4,ID2,PDE5A,PDE7B	0.00017316941280355052	0	0
7	ATF2 S UP.V1 DN	8.549140278462792e-06	2.6727020438054674	31.189577138338024	ITIH5,SERPINA3,CCL11,LAMA2,ADH1B,CELF2,C4BPA,CRIP2,FGF7,EFEMP1,PLN,CCL2,SVEP1,ST3GAL6,CCIN,SLIT3,A2M,CSGALNACT1,VCAM1,IL1R1,CCK,ABCA8,FOS,SORBS1,SMAD6,SLC7A7,DES,NFIB,SERPING1,CD302	0.00022716287025629706	0	0
8	LTE2 UP.V1 UP	1.179386680986312e-05	2.6221633888048412	29.756129006266217	SERPINA1,EPAS1,PROS1,C4ORF19,ACTG2,SDCBP,DRAM1,DPYSL2,PLAGL1,ANXA6,KIF13B,SASH1,CSGALNACT1,UNC13B,EDN1,PRKCH,PCDH9,IL1R1,GPX3,SECISBP2L,PNRC1,RCAN1,DIAPH2,DAB2,ACOX2,NPC2,MGAT4A,CD302,FGFR4,ABCG2	0.0002437218133948975	0	0
9	KRAS.50 UP.V1 UP	1.2037559173025608e-05	5.163106796116505	58.4849831114099	LILRA6,DOCK4,PEG3,LMO3,ITGB2,HPN,ETV1,CXCL5,HSD11B1,FABP3,RBP4,ST3GAL6,A2M	0.0002437218133948975	0	0
10	ERB2 UP.V1 UP	1.3103323300800939e-05	2.6057357100572256	29.295360699520117	VIPR1,PARM1,SERPINA1,EPAS1,PAPSS2,DOCK10,SLC9A3R2,SDCBP,MUC1,DRAM1,ANXA6,PDE4B,PCDH1,CSGALNACT1,CADPS2,EDN1,IL1R1,LIMCH1,GDF15,LMO3,PDE4D,KRT7,DUSP6,PNRC1,PTPRE,DAB2,BCL6,NPC2,MGAT4A,FGFR4	0.0002437218133948975	0	0
11	KRAS.300 UP.V1 UP	1.5041828724283474e-05	2.884621373009398	32.032784737991854	LILRA6,CSF3,DOCK4,RTN1,SEMA3A,HPN,ITGB2,ATP1A2,TFPI,CXCL5,HSD11B1,GRIN2A,ST3GAL6,A2M,SCN1B,PEG3,LMO3,PDE2A,ETV1,RNASE1,DUSP6,DNM3,RBP4,FABP3,NAV3	0.0002543436493378842	0	0
