Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RNA binding (GO:0003723)	7.3798559016779004e-09	1.6524759958272126	30.941806157565537	EIF4A2,DQX1,RRP1,PPAN,NUDT1,MSI1,GPATCH4,MSI2,ENO1,RPL7,THG1L,YY1,FBL,PSMD4,TRIM28,SNRPD2,SNRPD1,RPL37,KPNA2,RPS10,SRRM3,RBFOX1,TYW5,DDX11,PUS1,IMP4,ZCRB1,THOC5,PUS7,DKC1,CLNS1A,PNLDC1,GRWD1,FSCN1,CCDC86,PKP3,DNA2,FKBP4,SNRPC,DUS3L,FKBP3,SNRPB,DAP3,SLBP,MAZ,NOP2,TRMT2A,MRPL15,NTPCR,RPF2,RTN4,NOP9,MRPL11,RRP7A,RAD51AP1,FXR1,C7ORF50,STIP1,RNASEH1,DHX34,DHX35,PRDX1,DHX36,DNAJC21,DHX37,XRCC6,PNPT1,ALYREF,RPP40,KNOP1,NR0B1,MAGOHB,MEX3D,EIF2S2,LSM4,MRPL21,CHERP,PUM2,SRPK1,LSM7,TBL2,EIF2S3,GOLGB1,CAPRIN1,UBE2O,MKRN3,GRSF1,APOBEC3B,EIF4G1,ISY1,TOP2A,RBM28,MTCL1,WDR3,CCDC47,FASTKD3,CCDC124,CLTC,NKAP,NAT10,HMGB3,HSPB1,BRCA1,ELAVL1,SPOUT1,ELAVL2,DUSP14,MRPL42,MRPL3,SUMO2,BUD23,RBM34,ZNF385A,EIF5B,TSFM,CLUH,MRPS24,NCBP2,NSUN2,MRPS23,DDX54,SMC1A,RANGAP1,YWHAZ,DARS1,TSN,UCHL5,PTBP3,SUPV3L1,PKM,ESRP1,TCP1,STRAP,PABPC1,ALDOA,LUC7L2,FYTTD1,STAU1,KARS1,SRSF1,SLC3A2,TBRG4,HSPD1,RIDA,TCOF1,PABPN1,PUF60,PES1,POLR2D,FAM120A,SAP18,DROSHA,RRP36,IGF2BP3,RALY,RPS2,HNRNPA1,HEATR6,RAE1,NQO1,PTCD1,TRMT10C,NIFK,MDH2,CDKN2A,CCDC59,PDAP1,RPL35A,DEK,HSPE1,APTX,U2SURP,NUDT21,RSL1D1,CMSS1,KRT18,XPOT,RPL22L1,EIF3C,R3HDM1,RAN,HSPA1A	6.376195499049706e-06	0	0
2	single-stranded DNA binding (GO:0003697)	1.08711192751834e-07	3.9439285030109694	63.23920191171624	BLM,MCM7,MCM10,SMC6,HSPD1,RAD51AP1,CDC45,RNF138,HMCES,DHX36,POLR2D,RBBP8,POLR2H,HNRNPA1,DDX11,APTX,NEIL3,RAD51D,RAD51,TDP2,RPA3,NABP2,MCM3,MCM4,MCM5,MCM2	4.6963235268792286e-05	0	0
3	DNA secondary structure binding (GO:0000217)	1.463554887106664e-06	6.966519953051643	93.59270314009974	GEN1,BLM,HMGA1,HMGB3,HMGA2,NR0B1,RAD51AP1,YY1,RECQL4,MSH6,NEIL3,RAD51D,RBBP8	0.00042150380748671925	0	0
4	cadherin binding (GO:0045296)	6.772874448526352e-06	2.0835858080302523	24.800057132697315	LAD1,OLA1,ENO1,FNBP1L,BZW2,CDH8,GOLGA3,ATIC,CDH3,TRIM29,TMPO,NCK1,RARS1,ARHGEF16,SCRIB,CIP2A,RANGAP1,YWHAZ,PKM,FSCN1,CDH13,ITGA6,PKP3,ALDOA,NOTCH3,TWF1,SLC3A2,EVPL,NDRG1,EGFR,RTN4,LDHA,PUF60,PRDX1,COBLL1,MICALL1,PAK6,CDH24,RPS2,PAK2,YKT6,S100A11,SPTBN2,JUP,IDH1,PPP1CA,ANLN,RSL1D1,KRT18,EIF2S3,RAN,HSPA1A	0.001462940880881692	0	0
5	DNA replication origin binding (GO:0003688)	8.533473457407527e-06	8.233067459780992	96.09236273307383	CDC45,MCM7,DDX11,GRWD1,MCM3,MCM4,MCM10,MCM5,HSPD1,MCM2	0.0014745842134400208	0	0
6	magnesium ion binding (GO:0000287)	1.5776619071949133e-05	2.6674666828695264	29.494129816364538	TOP2A,FEN1,MVK,MAST1,THG1L,THTPA,OPA1,DHX36,STK38L,MORC2,PSPH,MARK1,GEN1,EYA2,IDH1,GSS,PLK1,IDH2,MAPK12,SRPK1,MSH6,GCLC,MTHFD2,RHEB,TDP2,UBA2,TKT,DCTPP1,RAN	0.0022718331463606753	0	0
7	microtubule binding (GO:0008017)	3.710349087411466e-05	2.1784816614894367	22.224433123058827	MTCL1,MAST1,KATNB1,NDRG1,SKA2,KIF15,C10ORF90,SPAST,RACGAP1,OPA1,HAUS8,KIF21A,KIF1A,FSD1,FAM83D,DNM1L,RAE1,CEP290,DLGAP5,SPAG5,PLK1,MTUS1,KIF23,KIF22,KIF7,KNSTRN,CLIP2,MAP7D3,HOOK2,KIFC1,REEP4,PRC1,GJB6,TRPV4,BIRC5,KIF2C,KIF20A,GAPDH,CCDC61	0.004579630873605009	0	0
8	tubulin binding (GO:0015631)	7.22770872280785e-05	1.9509005066789498	18.601842947666043	MTCL1,PDCD5,MAST1,KATNB1,BRCA1,NDRG1,SKA2,KIF15,C10ORF90,PAK1,SPAST,RACGAP1,OPA1,HAUS8,STMN1,KIF21A,DIP2B,KIF1A,FSD1,FAM83D,DNM1L,RAE1,DLGAP5,CCT5,SPAG5,PLK1,MTUS1,KIF23,KIF22,KIF7,CLIP2,RAD51D,MAP7D3,HOOK2,KIFC1,REEP4,PRC1,GJB6,TRPV4,BIRC5,KIF2C,KIF20A,TTLL12,B9D2,ALDOA,GAPDH,CCDC61	0.007445858542434838	0	0
9	protein homodimerization activity (GO:0042803)	7.756102648369623e-05	1.6285820527179002	15.413626068782168	TOP2A,TENM2,TENM4,MTCL1,CPOX,HSPB1,ATP2A1,ENO1,IDE,ELAVL1,NADK2,ATIC,IMPA2,CHMP1A,TRIM68,DNM1L,ABCD1,APPL2,PSPH,TPD52,GEN1,STARD3,G6PD,TPI1,TYW5,HMGCS1,UGT1A1,SLC51A,CIP2A,KNSTRN,FOXP2,MSH6,QTRT1,SUPV3L1,GREM1,ANO1,DDIT3,MVD,TKT,SNRPC,PAFAH1B3,BLM,FECH,SHMT2,KARS1,ODC1,CLN6,FXR1,IRAK1,PDCD10,STC2,HSD17B1,DROSHA,UGT1A3,UGT1A9,MORC2,S100A11,UGT1A7,RAB11FIP4,UGT1A6,GSTM4,TBX1,GSTM3,NTRK2,GSTM2,GSTM1,CDSN,JUP,GSS,IDH1,NR0B1,LILRB2,COQ9,TPD52L1,GRHL1,TBX18,GGCT,NUDT21,CENPF,KYAT1,MAP3K13,BCL2L2,FGFR2	0.007445858542434838	0	0
10	single-stranded DNA helicase activity (GO:0017116)	9.25367338201722e-05	7.7757327517421135	72.22026609193	RFC4,RAD51,MCM7,RFC2,MCM5,DNA2,CHTF18,MCM2	0.00799517380206288	0	0
11	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	0.00011984156181343042	2.997341162613455	27.064012470591923	CBR1,G6PD,DHRS11,HIBADH,MDH2,AKR1C1,AKR1C3,PGD,PTGR1,ADH7,UGDH,LDHB,ADH4,LDHA,BDH1,EHHADH,RDH10,PHGDH,CBR3	0.009413009946073081	0	0
12	monocarboxylic acid binding (GO:0033293)	0.00017472137516463996	5.094429101458979	44.07862058759256	CYP26A1,CYP26B1,UGT1A1,AKR1C1,AKR1C3,AKR1C2,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.012579939011854077	0	0
13	RNA-DNA hybrid ribonuclease activity (GO:0004523)	0.00025217114496925707	42.69001751313485	353.70398014495396	FEN1,RNASEH2A,RNASEH1,EXO1	0.01675968225026447	0	0
14	insulin-like growth factor I binding (GO:0031994)	0.00040093086410530974	9.155548133923354	71.6121481799602	IGFBP5,ITGB4,IGFBP3,IGFBP2,ITGA6,IGF1R	0.02344659919087006	0	0
15	retinoid binding (GO:0005501)	0.000407059013730383	4.4568931849248195	34.792970127600164	ADH4,CYP26A1,CYP26B1,UGT1A1,ABCA4,UGT1A3,ADH7,UGT1A9,UGT1A7,UGT1A6	0.02344659919087006	0	0
16	DNA polymerase binding (GO:0070182)	0.0004623325577461459	6.799787347155768	52.217104497035024	FANCI,CDT1,ACD,RAD51,FANCD2,NABP2,NAT10	0.02496595811829188	0	0
17	RNA polymerase II core promoter sequence-specific DNA binding (GO:0000979)	0.0006507715414163794	8.010666277030976	58.77707752570535	H2AZ1,GTF2A1,POU2F1,HDAC1,RUVBL2,TBPL1	0.033074506575514806	0	0
18	insulin-like growth factor binding (GO:0005520)	0.001006142013652261	7.120202610559128	49.14101854390972	IGFBP5,ITGB4,IGFBP3,IGFBP2,ITGA6,IGF1R	0.04829481665530853	0	0
