Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	1.718757018256382e-11	2.423379838684563	60.06791537297158	ARHGAP8,HJURP,MCM10,IDE,SLC7A11,ELAVL1,TSKU,PANX2,UCHL1,TRIM29,PHGDH,NRCAM,XYLB,CBR1,SREBF1,GPX2,G6PD,ABCC2,UGT1A1,GPT2,IGFBP3,NDUFC2,TALDO1,ESCO2,PTGR1,PGD,UGDH,ALDH3A1,IMPACT,NEIL3,DBF4,MTHFD2,MCM3,PPIF,TKT,BCAT1,PFN2,CSTA,DDC,ABCB6,FECH,DBF4B,CPLX2,LRP8,CAMKK1,PARL,TM9SF3,RNF212,NT5DC1,BRIP1,CDC45,PTPRZ1,STC2,GPC1,SPP1,UGT1A5,GCNT3,UGT1A3,B4GALNT1,KRTAP4-1,UGT1A9,UGT1A7,UGT1A6,CBR3,NQO1,RRM2,CCDC138,TXNRD1,AKR1C1,IDH1,CYP4F3,GSR,STYK1,OSGIN1,AKR1C3,NR0B1,CYP4F11,TPD52L1,EIF2S2,STXBP5L,FERMT1,GCLC,TMEM237,PNPLA4,RPL22L1,SFTPA1,NFE2L2	3.214075624139434e-09	0	0
2	CSR LATE UP.V1 UP	1.4379554700831565e-08	3.1717404357138377	57.27357113746509	FEN1,DTYMK,UHRF1,GMNN,MAZ,YEATS4,MT1X,RPF2,FOXM1,PSMD2,POLD1,NUF2,PBK,PGM2,FAM83D,PRMT5,GINS2,RRM2,WSB2,UBE2C,IGFBP3,FANCA,IMP4,NETO2,KIF22,TUBA4A,ZWINT,ANLN,KRT18,FABP5,HAT1,CDK1,MCM3,BIRC5,ITGA6,TRIP13,UMPS,DCTPP1,EZH2	1.0757806193160268e-06	0	0
3	RPS14 DN.V1 DN	1.7258512609348024e-08	3.038942197665675	54.32097123023796	ARHGAP11A,GCDH,ERCC6L,CDCA3,GPATCH4,MCM10,IPO4,NCAPH,KIF15,TBRG4,ALAD,FOXRED2,TRIM29,EXO1,COBLL1,PES1,POLD1,PBK,TK1,DLGAP5,GINS2,NUP155,SRD5A3,PLK1,KRT13,PYCR1,MRPS2,KIF23,MYO19,NLE1,SLC6A8,PC,TLX2,PRC1,NMU,KIF2C,MCM5,KIF20A,TRIP13,BCAT1,SLC29A2	1.0757806193160268e-06	0	0
4	VEGF A UP.V1 DN	1.303704114391057e-07	2.8263979016372995	44.8065640626055	RIF1,MRPL19,TWF1,MT1X,TTK,HMMR,SMC4,CENPA,LRP8,CCNB1,ATIC,CDC45,EXO1,MEST,BUB1,DLGAP5,TMPO,PLK4,SLC30A9,SERPINB2,RFC4,RRM2,NUP155,SPAG5,CACNA2D1,PHKA1,KIF23,VRK1,KIF22,UCHL3,NDC80,NUDT21,EIF2S3,DBF4,CCNE1,CCDC86,BIRC5,MCM4,ATP13A3,CDKN3	6.094816734778192e-06	0	0
5	E2F1 UP.V1 UP	2.1016832882915225e-07	2.809642431466031	43.199255598813764	TOP2A,DLX1,SLBP,FEN1,ARHGAP8,HMGB3,MCM10,TYMS,ELAVL1,NCAPH,AURKB,CLN6,SLC9A3R1,DNAJC21,TK1,BUB1,DLGAP5,KPNA1,TPD52,PLK4,STIL,RRM1,KLHL21,POLA2,CNOT7,DBF4,TLX2,KIFC1,PRC1,GRWD1,UBE2T,TYRO3,MCM4,DNA2,GRSF1,THOP1,SSX2IP,DCTPP1,EZH2	7.860295498210293e-06	0	0
6	RB P107 DN.V1 UP	2.2732564447282576e-06	2.9379210001616642	38.17621861833663	SLBP,FKBP10,FEN1,MCM7,GMNN,NCAPH,IPO9,ORC6,CDC45,HAUS8,POLD1,STMN1,TCFL5,GSTM2,RRM1,RRM2,PAQR4,RFC2,GINS4,FANCA,COL1A1,CENPH,CCNE1,PRC1,RPA3,CENPK,MCM5,DNA2,ASF1B,MCM2	7.084982586069736e-05	0	0
7	GCNP SHH UP LATE.V1 UP	1.3825345129857646e-05	2.4586807674055997	27.51019643204393	TOP2A,SRSF1,CDCA7,MCM10,SMC4,NPAS1,ELAVL2,AURKB,TM9SF3,UNG,PSMC3IP,SIX4,MYB,TK1,DNM1L,DLGAP5,NAA30,RRM1,RRM2,IDH2,CDC25A,POLA2,FRMD6,PIK3CA,KIFC1,PRC1,PSME4,CDK1,MCM4,KIF2C,MCM5,TRIP13,THOP1,SSX2IP	0.0003693342198976257	0	0
8	HOXA9 DN.V1 DN	2.247074198546366e-05	2.356959720570749	25.227238612693792	ARHGAP11A,RNASEH2A,DLX5,ADM,MCM10,SLC1A5,COCH,EXOSC5,CDC45,ZIC1,SPP1,PLK4,FANCI,CDT1,HELLS,SREBF1,TIPIN,HMGCS1,FZD6,GINS4,IGFBP2,NME4,STAM,TEX15,MEX3D,FANCG,PER2,TBL1XR1,TMEM106C,MVD,DHCR7,BCAT1,APOBEC3B,SLC29A2,TMEM45A	0.000525253593910213	0	0
9	RB DN.V1 UP	9.461480310771518e-05	2.517152279423125	23.323169350093327	GRB7,SLBP,MCM7,CLN6,TGM1,DSN1,STMN1,GRM8,RAD54L,SPOCK1,IL36RN,TIPIN,RRM2,TNFRSF18,AKR1C3,C20ORF27,NME4,SULF2,MSH6,CCNE1,ARTN,UBE2T,HAT1,MANSC1,DNA2,ACOX3	0.0019431397176448365	0	0
10	P53 DN.V1 UP	0.00011270305861687825	2.205728744043316	20.051737398038448	YAP1,COL17A1,ITGB4,ADM,EGFR,PRDX2,UGT8,UCHL1,CALB1,PLAU,PRSS2,PITX1,MEST,AUTS2,CDKN2A,THOC1,LSR,SULF1,KLK10,TUBA4A,NDC80,MTAP,KRT19,KRT18,KLF5,LPCAT4,KRT15,NMU,SCNN1A,CDH13,CD9,CD24,DSC2	0.0019431397176448365	0	0
