Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	transmembrane receptor protein tyrosine kinase activity (GO:0004714)	1.7236847841441303e-06	5.011388907608329	66.50637393083701	NTRK1,NRP1,PDGFRA,CSF1R,NRP2,MUSK,FLT3,FLT4,NTRK3,CRIM1,EFEMP1,ERBB4,AXL,TEK,FGFR4,ROS1	0.0013479215012007098	0	0
2	protein tyrosine kinase activity (GO:0004713)	1.120499107093045e-05	3.3311781609195403	37.97260368900487	NTRK1,PDGFRA,CSF1R,MUSK,FLT3,FLT4,NTRK3,AATK,HIPK3,TTN,HIPK2,HCK,FES,PEAK1,ERBB4,AXL,BTK,PTK2B,TEK,FGFR4,ROS1	0.0043089097880019845	0	0
3	MHC class II receptor activity (GO:0032395)	1.653034445525058e-05	20.56401766004415	226.4162670296182	HLA-DOA,HLA-DQA1,HLA-DQB2,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0043089097880019845	0	0
4	vascular endothelial growth factor-activated receptor activity (GO:0005021)	2.74854078669988e-05	34.251838235294116	359.7078494931491	NRP1,PDGFRA,NRP2,FLT3,FLT4	0.0053733972379982654	0	0
5	3',5'-cyclic-AMP phosphodiesterase activity (GO:0004115)	6.455197309536274e-05	13.707873436350258	132.25410950450802	PDE4D,PDE2A,PDE4C,PDE4B,PDE4A,PDE7B	0.009319307182504583	0	0
6	guanyl-nucleotide exchange factor activity (GO:0005085)	7.150363567139066e-05	2.6502013422818793	25.298191957222173	DOCK5,ARHGEF10,DOCK4,ARHGEF15,DENND4A,DOCK8,RASGRF2,DENND3,RASGRP2,KALRN,DOCK10,DOCK11,ABR,AKAP13,FGD4,FGD5,RASGEF1B,SPATA13,ELMO1,SH3BP5,RAPGEF2,RIN3,ARHGEF2,RAPGEF3	0.009319307182504583	0	0
7	alpha-actinin binding (GO:0051393)	0.00012626670616445638	6.860353721444363	61.58617862119637	MAGI1,RARA,PKD2L1,CACNA1D,LDB3,PPARG,CACNA1C,TTN	0.01410579488865784	0	0
8	transmembrane receptor protein kinase activity (GO:0019199)	0.00016595350790159395	3.80278232405892	33.09866775068813	ACVRL1,NTRK1,PDGFRA,CSF1R,MUSK,FLT3,FLT4,NTRK3,ERBB4,AXL,TEK,FGFR4,ROS1	0.01622195539738081	0	0
9	GTPase activator activity (GO:0005096)	0.0002175448943927234	1.9251881816785295	16.235314692552485	NRP1,DOCK5,DOCK4,DOCK8,RASGRF2,LRRK2,ARHGEF10L,ARRB1,DENND3,IQGAP2,RASGRP2,ARHGAP15,KALRN,ARHGAP44,DOCK10,ABR,AKAP13,FGD4,DOCK11,FGD5,ARHGAP20,RGS3,RASGEF1B,SH3BP5,ARHGEF10,STARD13,ARHGEF15,DENND4A,ARAP3,TBC1D2B,ARHGAP26,ARHGAP25,ARHGAP31,SPATA13,ELMO1,RAPGEF2,RIN3,ARHGEF2,RGS11,SMAP2,RAPGEF3	0.01890223415723441	0	0
10	3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)	0.0003372363046705436	6.8560382916053015	54.81215219782185	PDE4D,PDE2A,PDE4C,PDE4B,PDE4A,PDE5A,PDE7B	0.023974435477487736	0	0
