Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Cocaine addiction	0.009764672150221917	138.52777777777777	641.2429069487843	GNAI2	0.04392244683188265	0	0
2	Regulation of lipolysis in adipocytes	0.010955418103578725	123.09876543209876	555.6581197291017	GNAI2	0.04392244683188265	0	0
3	Long-term depression	0.011946886102556297	112.63841807909604	498.6823350537484	GNAI2	0.04392244683188265	0	0
4	Renin secretion	0.013729650427898048	97.68627450980392	418.8980400895514	GNAI2	0.04392244683188265	0	0
5	Pertussis	0.01511457659975212	88.53777777777778	371.1588342399145	GNAI2	0.04392244683188265	0	0
6	Gastric acid secretion	0.01511457659975212	88.53777777777778	371.1588342399145	GNAI2	0.04392244683188265	0	0
7	Gap junction	0.01748534258913372	76.27969348659003	308.6575655408228	GNAI2	0.04392244683188265	0	0
8	GABAergic synapse	0.017682713077126194	75.4090909090909	304.2883338768032	GNAI2	0.04392244683188265	0	0
9	Morphine addiction	0.018077364860211664	73.72592592592592	295.8691213711147	GNAI2	0.04392244683188265	0	0
10	Circadian entrainment	0.019260606863600038	69.09722222222223	272.9128400885125	GNAI2	0.04392244683188265	0	0
11	Progesterone-mediated oocyte maturation	0.01985182675975813	66.993265993266	262.5773759432504	GNAI2	0.04392244683188265	0	0
12	Melanogenesis	0.020048840655282372	66.32	259.28360753618125	GNAI2	0.04392244683188265	0	0
13	Chagas disease	0.020245824851614903	65.66006600660066	256.06156447186925	GNAI2	0.04392244683188265	0	0
14	Parathyroid hormone synthesis, secretion and action	0.02103346472728197	63.146031746031746	243.84727683680757	GNAI2	0.04392244683188265	0	0
15	Toxoplasmosis	0.022214034124409053	59.71471471471472	227.33577139307434	GNAI2	0.04392244683188265	0	0
16	Serotonergic synapse	0.022410691845982666	59.17857142857143	224.7730631043994	GNAI2	0.04392244683188265	0	0
17	Cholinergic synapse	0.022410691845982666	59.17857142857143	224.7730631043994	GNAI2	0.04392244683188265	0	0
18	Leukocyte transendothelial migration	0.022607319907896505	58.65191740412979	222.26035801963073	GNAI2	0.04392244683188265	0	0
19	Glutamatergic synapse	0.022607319907896505	58.65191740412979	222.26035801963073	GNAI2	0.04392244683188265	0	0
20	Sphingolipid signaling pathway	0.023590015375655984	56.152542372881356	210.39974294913594	GNAI2	0.04392244683188265	0	0
21	Growth hormone synthesis, secretion and action	0.023590015375655984	56.152542372881356	210.39974294913594	GNAI2	0.04392244683188265	0	0
22	Platelet activation	0.024571969733761977	53.856368563685635	199.5997225869358	GNAI2	0.04392244683188265	0	0
23	Relaxin signaling pathway	0.02555318334636167	51.739583333333336	189.7287094266052	GNAI2	0.04392244683188265	0	0
24	Dopaminergic synapse	0.02614155610795585	50.5470737913486	184.20511433882353	GNAI2	0.04392244683188265	0	0
25	Estrogen signaling pathway	0.027121585294174314	48.6764705882353	175.59673457248485	GNAI2	0.04392244683188265	0	0
26	Apelin signaling pathway	0.027121585294174314	48.6764705882353	175.59673457248485	GNAI2	0.04392244683188265	0	0
27	Retrograde endocannabinoid signaling	0.029275045963164405	45.00907029478458	158.92791836577854	GNAI2	0.04392244683188265	0	0
28	Adrenergic signaling in cardiomyocytes	0.029666199887420187	44.40044742729307	156.189537724504	GNAI2	0.04392244683188265	0	0
29	Oxytocin signaling pathway	0.030448153109277298	43.230936819172115	150.9507564210575	GNAI2	0.04392244683188265	0	0
30	Cushing syndrome	0.03064356755712743	42.94805194805195	149.68824153490112	GNAI2	0.04392244683188265	0	0
31	Wnt signaling pathway	0.03279117756136696	40.06262626262626	136.9178623130683	LGR6	0.044325256967743656	0	0
32	cGMP-PKG signaling pathway	0.03298623774343714	39.81927710843374	135.8500277677097	GNAI2	0.044325256967743656	0	0
33	Axon guidance	0.035908601710870236	36.49171270718232	121.39984198597769	GNAI2	0.0463979851107095	0	0
34	Alcoholism	0.036686778924747046	35.69549549549549	117.98570753539191	GNAI2	0.0463979851107095	0	0
35	Chemokine signaling pathway	0.03785316139800214	34.56369982547993	113.16296267411514	GNAI2	0.046505312574688346	0	0
36	Rap1 signaling pathway	0.04134595467730846	31.558213716108455	100.53754798003185	GNAI2	0.048101274650095234	0	0
37	Human immunodeficiency virus 1 infection	0.0417334549875237	31.255924170616115	99.2829489057505	GNAI2	0.048101274650095234	0	0
38	cAMP signaling pathway	0.042508103179153926	30.668217054263565	96.85208666897961	GNAI2	0.048101274650095234	0	0
39	Human cytomegalovirus infection	0.044249344462234025	29.422619047619047	91.73721708986146	GNAI2	0.048787738766052906	0	0
