Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Hypertrophic cardiomyopathy	2.9194944718481975e-07	5.870121951219512	88.32587694323325	EDN1,LAMA2,TNNC1,ITGA1,CACNA2D2,CACNA1D,CACNA2D4,TNF,SLC8A1,TTN,CACNG8,CACNB4,DES,DMD,ITGA9	8.086999687019508e-05	0	0
2	Dilated cardiomyopathy	6.923367972794998e-07	5.43360433604336	77.06586060544488	LAMA2,TNNC1,ITGA1,CACNA2D2,CACNA1D,CACNA2D4,TNF,SLC8A1,TTN,CACNG8,CACNB4,PLN,DES,DMD,ITGA9	8.987385183070017e-05	0	0
3	AGE-RAGE signaling pathway in diabetic complications	1.1844317484802478e-06	5.176829268292683	70.64429312666411	STAT5A,EGR1,EDN1,STAT3,TNF,PRKCZ,AGER,PLCB4,COL4A2,COL4A1,CASP3,COL4A3,AGTR1,CCL2,PLCB2	8.987385183070017e-05	0	0
4	ECM-receptor interaction	1.2978173549559592e-06	5.544654243284381	75.15682716984028	TNXB,VWF,LAMA2,LAMA4,ITGA1,NPNT,HSPG2,FRAS1,COL4A2,COL4A1,COL4A3,COL6A3,COL6A5,ITGA9	8.987385183070017e-05	0	0
5	Cell adhesion molecules	1.0027036290145657e-05	3.809393748395079	43.846981002077484	CADM1,ITGB2,ICAM2,NRXN3,PTPRM,SELP,CDH5,CLDN5,PTPRC,PECAM1,HLA-DRA,CD226,ESAM,NCAM2,HLA-DOA,CD34,ITGA9	0.0005554978104740693	0	0
6	Arrhythmogenic right ventricular cardiomyopathy	4.984030202632369e-05	4.864393939393939	48.19002637124297	CACNG8,CACNB4,DES,LAMA2,ITGA1,CACNA2D2,CACNA1D,DMD,CACNA2D4,SLC8A1,ITGA9	0.0021952118750768056	0	0
7	Pathways in cancer	5.547466832324058e-05	2.157079455977094	21.1384814702345	SPI1,LAMA2,EPAS1,LAMA4,CUL2,IL2RG,RASGRP2,ETS1,CASP9,CCND3,CASP3,STAT4,RUNX1T1,STAT5A,NCOA1,EDN1,DAPK2,HGF,STAT3,MITF,FOS,GNG11,ESR1,EPOR,KITLG,PLCB4,COL4A2,COL4A1,COL4A3,AGTR1,PPARG,IL6ST,FGFR4,PLCB2,GSTM5,FGFR1	0.0021952118750768056	0	0
8	Hematopoietic cell lineage	0.00011836936011633758	4.027418764062582	36.41471486411882	CSF3,KITLG,MME,IL1R1,IL11RA,ITGA1,HLA-DRA,HLA-DOA,TNF,CD34,CD55,EPOR	0.0034533109090713367	0	0
9	Complement and coagulation cascades	0.0001249059558779939	4.336711711711712	38.97814567356688	VWF,F10,PROS1,ITGB2,FGG,ITGAX,C4BPA,VSIG4,TFPI,A2M,CD55	0.0034533109090713367	0	0
10	Vascular smooth muscle contraction	0.00015453185871383074	3.4398782343987824	30.185310848421523	PPP1R14A,EDN1,PTGIR,PRKCH,CACNA1D,ADRA1A,ACTG2,MYLK,PLCB4,ADORA2A,AGTR1,PPP1R12B,PLCB2,PRKG1	0.0034533109090713367	0	0
11	Amoebiasis	0.00015791477854818005	3.892564491654021	34.07338829419229	PLCB4,COL4A2,LAMA2,IL1R1,COL4A1,CASP3,LAMA4,COL4A3,ITGB2,TNF,PLCB2,SERPINB6	0.0034533109090713367	0	0
12	MAPK signaling pathway	0.00015937425749125393	2.496093572046832	21.826479449014872	MAP3K3,MEF2C,DUSP3,IL1R1,HGF,CACNA2D2,CACNA1D,ARRB1,CACNA2D4,FOS,RASGRP2,TNF,DUSP6,KITLG,CACNG8,CACNB4,RPS6KA2,CASP3,RAPGEF2,MAP3K8,FGFR4,PTPN5,FGFR1	0.0034533109090713367	0	0
13	Adrenergic signaling in cardiomyocytes	0.0001620687430250086	3.2510162601626016	28.373211812882502	TNNC1,CACNA2D2,CACNA1D,ATP1A2,CACNA2D4,ADRB2,ADRA1A,SLC8A1,CACNG8,CACNB4,PLCB4,PLN,AGTR1,SCN7A,PLCB2	0.0034533109090713367	0	0
14	Malaria	0.00023776273333210438	5.5410471881060115	46.23581262982466	SELP,CSF3,HGF,ITGB2,PECAM1,CCL2,ACKR1,TNF	0.004704305509499494	0	0
15	Human T-cell leukemia virus 1 infection	0.0004448983731630063	2.623208612374574	20.245044447585443	STAT5A,EGR1,NRP1,MAP3K3,SPI1,CRTC3,IL1R1,ITGB2,FOS,IL2RG,TNF,ETS1,CCND3,ZFP36,ANAPC4,HLA-DRA,HLA-DOA,B2M	0.008215789957743516	0	0
16	Rap1 signaling pathway	0.0007527556950664046	2.577300312148437	18.535350614743365	MAGI1,DOCK4,HGF,ITGB2,ARAP3,RASGRP2,PRKCZ,KITLG,PLCB4,ADORA2A,CNR1,RAPGEF2,EVL,PRKD1,FGFR4,PLCB2,FGFR1	0.012314040607360383	0	0
17	PPAR signaling pathway	0.0008058132536506605	4.029188937950267	28.70256617713327	CPT2,PLIN4,OLR1,LPL,DBI,PPARG,PLIN2,SORBS1,PLIN5	0.012314040607360383	0	0
18	Fluid shear stress and atherosclerosis	0.000822602507240952	3.0110363294253872	21.387503823943398	MEF2C,EDN1,IL1R1,CYBA,FOS,TNF,PRKCZ,KLF2,CDH5,PECAM1,CCL2,ARHGEF2,GSTM5	0.012314040607360383	0	0
19	Viral myocarditis	0.0008446453846203872	4.473140735584175	31.654599467512153	CASP9,LAMA2,CASP3,ITGB2,HLA-DRA,DMD,HLA-DOA,CD55	0.012314040607360383	0	0
20	PI3K-Akt signaling pathway	0.0020470207121405623	2.0371955540636306	12.613031140262196	MAGI1,CSF3,TNXB,CHRM1,VWF,LAMA2,HGF,LAMA4,ITGA1,IL2RG,GNG11,EPOR,CASP9,KITLG,CCND3,COL4A2,COL4A1,COL4A3,COL6A3,COL6A5,FGFR4,FGFR1,ITGA9	0.028150767588110803	0	0
21	Transcriptional misregulation in cancer	0.002134173716066162	2.4741628772219926	15.215299386857719	MEF2C,DDX5,SPI1,HPGD,JMJD1C,MITF,ETV1,MLLT3,FLI1,DUSP6,MEIS1,ID2,PPARG,ERG,RUNX1T1	0.028150767588110803	0	0
22	Cardiac muscle contraction	0.0025467888771728026	3.355391587264699	20.0414921537007	CACNG8,CACNB4,TNNC1,CACNA2D2,ATP1A2,CACNA1D,CACNA2D4,COX7A1,SLC8A1	0.032066387226221196	0	0
23	Parathyroid hormone synthesis, secretion and action	0.0029844363928168355	3.0309190620272313	17.622807163285223	SLC34A2,EGR1,AKAP13,MEF2C,PLCB4,PDE4D,ARRB1,FOS,PLCB2,FGFR1	0.035348927435306765	0	0
24	Platelet activation	0.0030627229546836185	2.8342182890855456	16.40573341824767	PTGIR,PLCB4,VWF,TBXAS1,FGG,RASGRP2,PRKCZ,PLCB2,PRKG1,MYLK,FERMT3	0.035348927435306765	0	0
25	Focal adhesion	0.0033082430639326628	2.353338906372935	13.440713986175494	TNXB,VWF,LAMA2,HGF,LAMA4,ITGA1,MYLK,CCND3,COL4A2,COL4A1,COL4A3,COL6A3,COL6A5,PPP1R12B,ITGA9	0.0366553331483739	0	0
26	Type II diabetes mellitus	0.004168573659278448	4.350902255639098	23.84373339623401	SOCS2,SOCS3,ABCC8,CACNA1D,PRKCZ,TNF	0.04337580891610333	0	0
27	cGMP-PKG signaling pathway	0.004227966934060613	2.4599830260924485	13.446350938048816	MEF2C,CACNA1D,ATP1A2,ADRB2,ADRA1A,SLC8A1,MYLK,PLCB4,PLN,AGTR1,PDE5A,PLCB2,PRKG1	0.04337580891610333	0	0
