Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	KRAS.KIDNEY UP.V1 UP	3.2017914853518895e-09	5.293096320793716	103.53061043096787	MEF2C,RTN1,NRN1,PCDH9,LIMCH1,LMO3,PLCL1,EMP1,AQP4,ANK2,ETV1,ATP1A2,SORBS1,SOBP,DUSP6,DNM3,EPB41L3,PECAM1,SPARCL1,ST3GAL6,A2M,ASPA	5.827260503340438e-07	0	0
2	RPS14 DN.V1 UP	5.393747727526271e-07	3.8203389830508474	55.13839934363008	CPM,VWF,PDE4D,ITGB2,TNFAIP2,EMP1,FRY,DCN,PTPRE,TYROBP,CACNB4,ENPP2,ANXA6,ITGAX,ARHGEF3,SH3BP5,CTSH,CCL2,ST3GAL6,MNDA,CD69,PTGDS	4.908310432048907e-05	0	0
3	LTE2 UP.V1 UP	1.7559481691071727e-06	3.662812926718252	48.54143409726217	UNC13B,EDN1,PRKCH,PCDH9,IL1R1,EPAS1,GPX3,PROS1,ECI2,RFTN1,ACTG2,ASRGL1,PNRC1,SDCBP,RCAN1,DIAPH2,PLCB4,PLAGL1,ANXA6,FGFR4,SASH1	0.00010294579051960838	0	0
4	EGFR UP.V1 UP	2.2625448465847994e-06	3.5983631484794274	46.77519575733655	CADPS2,EDN1,PCDH9,IL1R1,EPAS1,FGG,TFPI,DUSP6,PAPSS2,ACTG2,SOCS2,SDCBP,PTPRE,RCAN1,CRISPLD2,PLAGL1,SLCO2A1,CCL2,A2M,CTNNAL1,MGLL	0.00010294579051960838	0	0
5	ATF2 S UP.V1 DN	5.107459578914888e-06	3.525115667282946	42.95285907951946	ITIH5,SERPINA3,LAMA2,IL1R1,ADH1B,CELF2,KLHL28,C4BPA,ABCA8,FOS,SORBS1,SMAD6,PLN,DES,NFIB,CCL2,ST3GAL6,SLIT3,CRELD1,A2M	0.00018591152867250194	0	0
6	ERB2 UP.V1 UP	2.456670724959665e-05	3.24567520331003	34.449980881230424	CADPS2,VIPR1,EDN1,PARM1,IL1R1,LIMCH1,EPAS1,LMO3,PDE4D,RFTN1,DUSP6,PAPSS2,PNRC1,SLC9A3R2,SDCBP,PTPRE,ANXA6,FGFR4,ABCG1	0.0006871311626470592	0	0
7	P53 DN.V1 DN	2.642812164027151e-05	3.2267456292776338	34.01338995224117	KANK1,GRAMD1B,IL1R1,FGG,PTPRM,MITF,FBLN5,SOCS3,ZFYVE16,PLCB4,NAV3,EPB41L3,STAT4,CAPN3,ST3GAL6,PLIN2,VIM,MGLL,SLC19A2	0.0006871311626470592	0	0
8	RAF UP.V1 DN	3.0533057576660874e-05	3.189535495179667	33.16064561663003	SERPINA3,TSC22D3,JMJD1C,FOS,TFPI,TTC39A,MYLK,SELENBP1,SH3BGRL,KITLG,MYO1B,PLCB4,EPB41L2,ID2,TRPS1,MGP,PMP22,CTNNAL1,SLC19A2	0.0006946270598690349	0	0
9	CRX DN.V1 DN	4.4668780713757124e-05	3.6912020905923346	36.9719502235831	CADPS2,EGR1,SERPINA3,PPP1R14A,MYOCD,STEAP4,RNASE4,GNG11,SOCS3,COL4A2,GLIPR2,MAP3K8,RGL3,CTNNAL1,TGM2	0.0009033020099893107	0	0
10	MEK UP.V1 UP	0.00011290419435564776	2.965724314744395	26.95538210217593	CADPS2,MEF2C,EDN1,PRKCH,PARM1,PCDH9,LIMCH1,EPAS1,GPX3,RFTN1,ARRB1,SDCBP,PTPRE,PEG10,ARHGDIB,TIMP2,PPARG,ABCG1	0.002054856337272789	0	0
11	GCNP SHH UP EARLY.V1 DN	0.00018811003123664517	3.0615776081424935	26.26369297645077	EGR1,IL1R1,CITED2,SLC43A3,ANKRD44,EMP1,C4BPA,CYBA,ETS1,SLC6A4,CNN1,NR5A2,ID2,MGP,TERF2IP,CCL2	0.0031123659713699478	0	0
12	ESC V6.5 UP LATE.V1 UP	0.00023690487039846713	2.878259178731152	24.02728131970333	PARM1,EPB41,GPX3,TNNC1,CYBA,HNF1B,COL4A2,COL4A1,PODXL,PLAGL1,CA4,CTSH,RGL3,SLIT3,ZNF521,PDZRN3,CD55	0.0035930572010434182	0	0
13	KRAS.600 UP.V1 UP	0.0002920119790488424	2.438631275983371	19.847326731362664	NRP1,CSF3,DOCK4,RTN1,PCDH9,LIMCH1,LMO3,NTRK3,ITGB2,LAPTM5,EMP1,ETV1,ATP1A2,TFPI,RNASE1,GNG11,DUSP6,DNM3,NAV3,ST3GAL6,A2M,TGM2	0.004088167706683793	0	0
14	PTEN DN.V2 UP	0.0003303525260207231	3.171569147994761	25.4212374459852	RTN1,BNC2,IL11RA,ULK4,KLHL28,HSPB7,EMP1,CHRDL1,NAV3,ARHGDIB,PTGDS,UTRN,VAMP5,APOL3	0.0042945828382694	0	0
15	KRAS.300 UP.V1 UP	0.0004086970281270761	3.0990037359900375	24.180089574495426	CSF3,DOCK4,RTN1,LMO3,ITGB2,ETV1,ATP1A2,TFPI,RNASE1,DUSP6,DNM3,NAV3,ST3GAL6,A2M	0.004958857274608523	0	0
16	MEL18 DN.V1 DN	0.0004693063007391571	3.052431904404916	23.394616209036528	EGR1,IL1R1,AK1,FOS,SOCS2,ATXN3,SH3BGRL,PLN,ID2,EPB41L3,PDE5A,DMD,A2M,PPARGC1A	0.005338359170907912	0	0
17	CSR LATE UP.V1 DN	0.000625660559200512	2.828579858379229	20.865592315358576	ACVRL1,ANKRD29,TNXB,MME,SGIP1,TSC22D3,TBC1D2B,BACH1,CLEC3B,CCL2,PDE5A,LONRF1,VAMP5,PRKG1,APOL3	0.006698248339676069	0	0
18	ESC J1 UP LATE.V1 UP	0.0007382107231878028	2.6736226826608505	19.28024509790863	PARM1,CITED2,GPX3,LMO7,HNF1B,ABHD5,TGFBR3,COL4A2,COL4A1,PODXL,ID2,SLCO2A1,CA4,CTSH,RGL3,CD55	0.007464130645565561	0	0
19	STK33 UP	0.0009502168362963473	2.263557692307692	15.751691334172351	EGR1,NRP1,DOCK4,RTN1,KLHL28,VWA5A,EMP1,FOS,TFPI,GNG11,TNF,ZEB2,KITLG,ZFP36,TYROBP,HECW2,KIAA1841,OLR1,COL6A3,VSIG4,IL6ST	0.008859379967610716	0	0
20	RAF UP.V1 UP	0.0009735582381989799	2.598676844783715	18.020662079832192	CCR1,ZNF331,PRKCH,HPGD,EPAS1,PDE4D,TBC1D2B,TSPAN12,SOCS2,SDCBP,RCAN1,CRISPLD2,PEG10,ARHGEF3,GRB10,PPARG	0.008859379967610716	0	0
21	BMI1 DN MEL18 DN.V1 DN	0.0013793943663708882	2.830093453704124	18.63930889373223	IL1R1,GPX3,LMO3,AK1,FOS,SOCS2,FCGRT,ID2,CTSH,PDE5A,A2M,PPARGC1A,EVI5	0.011954751175214363	0	0
22	ATF2 UP.V1 DN	0.001648096246550338	2.5467509217243336	16.319922309856565	ITIH5,SERPINA3,IL1R1,LIMCH1,CELF2,RNASE4,ABCA8,FOS,FRY,SMAD6,PLN,NFIB,ARHGEF3,CCL2,SLIT3	0.013634250766916434	0	0
23	NRL DN.V1 DN	0.001868750477245124	2.8667877310380856	18.010551679400415	SOCS3,MYOCD,PLEKHH2,ALDH2,ARHGDIB,PECAM1,CCL2,RNASE4,RGL3,QSOX1,ABCC9,ADRB2	0.013752659944470442	0	0
24	IL15 UP.V1 DN	0.0019271239394671636	2.5027003484320556	15.646198275809	CDKN1C,VWF,TSC22D3,PLCL1,TNFAIP2,LYVE1,LRP2BP,PNRC1,MYLK,FSTL3,SELP,TCEAL4,MMP19,PTGDS,PRKG1	0.013752659944470442	0	0
25	LEF1 UP.V1 DN	0.0019271239394671636	2.5027003484320556	15.646198275809	MEF2C,KDM5D,LIMCH1,PROS1,TNNC1,HNF1B,MLLT3,PAPSS2,PLAC8,SELENBP1,SH3BGRL,STAT4,CTSH,OLR1,CLEC2D	0.013752659944470442	0	0
26	STK33 SKM UP	0.00196466570635292	2.1686294589520396	13.515838178024662	CDKN1C,EGR1,MYEF2,RTN1,KLHL28,TNFAIP2,PTPRM,ETV1,FOS,TFPI,GNG11,TNF,KITLG,ZFP36,TYROBP,HECW2,KIAA1841,OLR1,VSIG4,EVI5	0.013752659944470442	0	0
27	PRC2 EZH2 UP.V1 DN	0.002359380606009518	2.4462631148657854	14.798316817141565	MTMR10,EDN1,DUSP3,MCTP1,PCDH9,GFPT2,VWA5A,AATK,ETV1,PTPRB,ABLIM3,TBXAS1,FXYD6,DMD,SLC19A2	0.015335973939061867	0	0
28	HOXA9 DN.V1 UP	0.002359380606009518	2.4462631148657854	14.798316817141565	FOS,FRY,SAMHD1,MS4A4A,PTPRE,ZFYVE16,TYROBP,CRISPLD2,FCGRT,ARHGEF3,PECAM1,HLA-DRA,COL6A3,ST3GAL6,MNDA	0.015335973939061867	0	0
29	AKT UP.V1 DN	0.004331679268003593	2.3595076587395853	12.839968754775258	STAT5A,ITIH5,SMARCD3,RORC,ZDHHC6,LPL,LIMD1,UPB1,KLF2,ZC3H12C,TSPAN4,SLIT3,PDZRN3,SASH1	0.027185021612988067	0	0
30	STK33 NOMO UP	0.005094159270354211	2.0191076408254323	10.660203132422438	NRP1,DOCK4,CADM1,IL1R1,EPAS1,KLHL28,VWA5A,EMP1,FOS,GNG11,ZEB2,KITLG,ZFP36,HECW2,OLR1,COL6A3,MAP3K8,A2M,IL6ST	0.030306972220617727	0	0
31	KRAS.50 UP.V1 UP	0.005162176587028294	4.14328678839957	21.820192985110683	DOCK4,LMO3,ITGB2,ST3GAL6,ETV1,A2M	0.030306972220617727	0	0
32	TGFB UP.V1 UP	0.0054584383786279835	2.292630786858892	11.945964878132804	CDK17,KANK1,EDN1,PLEKHA1,JMJD1C,TBC1D2B,RNASE4,SMAD6,SLC7A6,SLCO2A1,PMP22,RAPGEF2,LMCD1,ABCG1	0.031044868278446654	0	0
33	PRC2 EDD UP.V1 DN	0.005970403115824355	2.2669203450025366	11.608764953690008	CDKN1C,MCTP1,KLHL28,USP12,AATK,BACH1,MS4A4A,TRPS1,ENPP2,KIF1B,DMD,GPC5,PTGDS,EVI5	0.032927677790304026	0	0
34	VEGF A UP.V1 UP	0.0065201758001759685	2.241774967802365	11.282525979723225	SEMA5A,SERPINA3,CALCOCO1,FAM189A2,ZNF76,DENND3,RGS3,PTPRC,ADORA2A,ID2,INPP5J,ENPP2,CCL2,KANK3	0.03490211751858901	0	0
35	ESC J1 UP EARLY.V1 DN	0.0075009802572177315	2.280724722598601	11.158951036408903	EGR1,EDN1,WSB1,STAT3,VWA5A,RNASE4,ARHGEF10L,DUSP6,CNN1,SOCS3,ZFP36,TRPS1,LIMS2	0.039005097337532206	0	0
36	BMI1 DN.V1 DN	0.009328610050276591	2.405513784461153	11.244981322548101	SOCS2,EGR1,SH3BGRL,IL1R1,GPX3,LMO3,TRPS1,ETV1,PDE5A,FOS,PPARGC1A	0.04716130636528721	0	0
