Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	FAD binding (GO:0071949)	0.0005965405735475059	64.24476650563606	476.9764866217298	STEAP4,MICAL2	0.03221319097156532	0	0
2	flavin adenine dinucleotide binding (GO:0050660)	0.0028744209090306376	27.837875611460518	162.90457697750804	STEAP4,MICAL2	0.03599782245934224	0	0
3	transmembrane receptor protein kinase activity (GO:0019199)	0.003410753711630601	25.431673052362708	144.47280732269402	ERBB3,ROS1	0.03599782245934224	0	0
4	transmembrane receptor protein tyrosine kinase activity (GO:0004714)	0.003410753711630601	25.431673052362708	144.47280732269402	ERBB3,ROS1	0.03599782245934224	0	0
5	protein kinase activator activity (GO:0030295)	0.0037532853984301976	24.177292046144505	135.03316720304664	ERBB3,GPRC5C	0.03599782245934224	0	0
6	protein tyrosine phosphatase activity (GO:0004725)	0.005139896952313379	20.47222222222222	107.90339713070315	PTP4A1,PTPN13	0.03599782245934224	0	0
7	ErbB-3 class receptor binding (GO:0043125)	0.007229641611706164	178.27678571428572	878.8271482248972	ERBB3	0.03599782245934224	0	0
8	oxidoreductase activity, acting on metal ions, NAD or NADP as acceptor (GO:0016723)	0.007229641611706164	178.27678571428572	878.8271482248972	STEAP4	0.03599782245934224	0	0
9	neuregulin binding (GO:0038132)	0.007229641611706164	178.27678571428572	878.8271482248972	ERBB3	0.03599782245934224	0	0
10	phosphatidylserine flippase activity (GO:0140346)	0.007229641611706164	178.27678571428572	878.8271482248972	ATP11A	0.03599782245934224	0	0
11	sodium ion binding (GO:0031402)	0.008669508668721345	142.61428571428573	677.1245223853919	SLC34A2	0.03599782245934224	0	0
12	phosphatidylethanolamine flippase activity (GO:0090555)	0.008669508668721345	142.61428571428573	677.1245223853919	ATP11A	0.03599782245934224	0	0
13	ABC-type glutathione S-conjugate transporter activity (GO:0015431)	0.01010736011907222	118.83928571428571	546.0060757050519	ABCC3	0.03599782245934224	0	0
14	phosphatidylinositol 3-kinase regulatory subunit binding (GO:0036312)	0.01010736011907222	118.83928571428571	546.0060757050519	PTPN13	0.03599782245934224	0	0
15	aminophospholipid flippase activity (GO:0015247)	0.01010736011907222	118.83928571428571	546.0060757050519	ATP11A	0.03599782245934224	0	0
16	protein tyrosine kinase activity (GO:0004713)	0.010666021469434737	13.881900768693221	63.03343790190745	ERBB3,ROS1	0.03599782245934224	0	0
17	phosphate ion binding (GO:0042301)	0.014408846721137443	79.21428571428571	335.8616722924233	SLC34A2	0.044399505438271016	0	0
18	ABC-type xenobiotic transporter activity (GO:0008559)	0.01583866177167553	71.28928571428571	295.5155744703354	ABCC3	0.044399505438271016	0	0
19	sodium:phosphate symporter activity (GO:0005436)	0.01583866177167553	71.28928571428571	295.5155744703354	SLC34A2	0.044399505438271016	0	0
20	aspartic-type peptidase activity (GO:0070001)	0.017266474337105393	64.8051948051948	263.043544162992	NAPSA	0.044399505438271016	0	0
21	glycerophospholipid flippase activity (GO:0140333)	0.017266474337105393	64.8051948051948	263.043544162992	ATP11A	0.044399505438271016	0	0
22	alkali metal ion binding (GO:0031420)	0.018692287080739334	59.401785714285715	236.3979776770167	SLC34A2	0.04588106828908746	0	0
23	aspartic-type endopeptidase activity (GO:0004190)	0.02153792376580922	50.910714285714285	195.39226686727991	NAPSA	0.04846032847307074	0	0
24	calcium-dependent cysteine-type endopeptidase activity (GO:0004198)	0.02153792376580922	50.910714285714285	195.39226686727991	CAPN8	0.04846032847307074	0	0
