Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	ECM-receptor interaction	1.718386494222155e-05	12.379612257661039	135.82340734533759	TNXB,COL4A2,COL4A1,LAMA4,LAMA3,NPNT	0.0030243602298309926	0	0
2	Focal adhesion	3.47318457114162e-05	7.094931290831268	72.84971542763358	TNXB,COL4A2,CAV2,COL4A1,CAV1,LAMA4,LAMA3,MYLK	0.0030564024226046255	0	0
3	Relaxin signaling pathway	0.00014697422282428414	8.235980821346676	72.68461726411023	EDN1,COL4A2,COL4A1,ADCY4,FOS,GNG11	0.007488857345429546	0	0
4	Vascular smooth muscle contraction	0.00017366646680980172	7.974964667878054	69.05022637787908	EDN1,RAMP2,ADCY4,MYH10,PRKG1,MYLK	0.007488857345429546	0	0
5	Hypertrophic cardiomyopathy	0.0002347359520588098	9.866400797607179	82.45399771934173	EDN1,DES,TNNC1,DMD,TTN	0.007488857345429546	0	0
6	Small cell lung cancer	0.00026010463124260283	9.63861289694136	79.56122249127685	COL4A2,GADD45B,COL4A1,LAMA4,LAMA3	0.007488857345429546	0	0
7	Dilated cardiomyopathy	0.000317039919747133	9.213075060532688	74.224981333471	DES,TNNC1,ADCY4,DMD,TTN	0.007488857345429546	0	0
8	Regulation of lipolysis in adipocytes	0.0003645679633982749	13.067062118965232	103.44928559629753	FABP4,ADCY4,ADRB2,PRKG1	0.007488857345429546	0	0
9	AGE-RAGE signaling pathway in diabetic complications	0.0003829529324367381	8.823371989295271	69.41874794685764	EGR1,EDN1,COL4A2,COL4A1,AGER	0.007488857345429546	0	0
10	Pathogenic Escherichia coli infection	0.0013852253656778208	5.285541683447443	34.78886681417857	TJP1,CLDN5,TUBB6,TNFSF10,FOS,MYH10	0.022899883772808164	0	0
11	African trypanosomiasis	0.0015139874683003551	14.590441176470588	94.73585713623613	LAMA4,HBB,HBA2	0.022899883772808164	0	0
12	Apelin signaling pathway	0.0015868870243561368	6.338276836158192	40.856412237058926	EGR1,GABARAPL1,ADCY4,GNG11,MYLK	0.022899883772808164	0	0
13	Fluid shear stress and atherosclerosis	0.0016914686877642394	6.243043258284847	39.84408898360882	CDH5,EDN1,CAV2,CAV1,FOS	0.022899883772808164	0	0
14	Gap junction	0.002133213213005525	7.920368147258904	48.71126116335306	TJP1,TUBB6,ADCY4,PRKG1	0.0268175375349266	0	0
15	Circadian entrainment	0.0030383249057034448	7.150627993132737	41.44825000315392	ADCY4,FOS,GNG11,PRKG1	0.03564967889358708	0	0
16	Amoebiasis	0.0036399981965290268	6.784085062596467	38.09787556966085	COL4A2,COL4A1,LAMA4,LAMA3	0.0400399801618193	0	0
