Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Focal adhesion	6.460793639854573e-07	16.577799088947494	236.2724868616084	TNXB,COL4A2,CAV1,LAMA4,PIK3R1,VEGFA,MYLK	8.722071413803675e-05	0	0
2	Small cell lung cancer	8.212184135698631e-05	19.626482213438734	184.6323345485555	GADD45B,COL4A2,LAMA4,PIK3R1	0.005543224291596576	0	0
3	Fluid shear stress and atherosclerosis	0.0004015254683124459	12.76328502415459	99.81194689133622	CDH5,CAV1,PIK3R1,VEGFA	0.018068646074060064	0	0
4	Renal cell carcinoma	0.0006858216610371124	19.230174081237912	140.08975927188362	EPAS1,PIK3R1,VEGFA	0.020840167876057723	0	0
5	Pancreatic cancer	0.0009089746531003115	17.38006412124745	121.71594945135638	GADD45B,PIK3R1,VEGFA	0.020840167876057723	0	0
6	Bacterial invasion of epithelial cells	0.0009441676964961806	17.14433582518689	119.41384383677425	CAV1,ELMO1,PIK3R1	0.020840167876057723	0	0
7	Transcriptional misregulation in cancer	0.0013426972995517978	9.140610545790935	60.44754105675969	MEIS1,MAF,GADD45B,ERG	0.020840167876057723	0	0
8	Human papillomavirus infection	0.001386524782808201	6.688479890933879	44.01658396803522	TNXB,COL4A2,LAMA4,PIK3R1,VEGFA	0.020840167876057723	0	0
9	ECM-receptor interaction	0.0013893445250705149	14.917396745932416	98.14040765115749	TNXB,COL4A2,LAMA4	0.020840167876057723	0	0
10	PI3K-Akt signaling pathway	0.001862148814727307	6.240369309137217	39.22711237773203	TNXB,COL4A2,LAMA4,PIK3R1,VEGFA	0.022027980973659184	0	0
11	AGE-RAGE signaling pathway in diabetic complications	0.0020046761378758565	13.064049133581927	81.15743654844592	COL4A2,PIK3R1,VEGFA	0.022027980973659184	0	0
12	Pathways in cancer	0.0020089194260962	5.045454545454546	31.33307142487865	GADD45B,COL4A2,EPAS1,LAMA4,PIK3R1,VEGFA	0.022027980973659184	0	0
13	Amoebiasis	0.002121212982648662	12.798839458413926	78.78667603753651	COL4A2,LAMA4,PIK3R1	0.022027980973659184	0	0
14	Leukocyte transendothelial migration	0.002909029312170023	11.408280621046579	66.623626679358	CDH5,CLDN5,PIK3R1	0.028051354081639505	0	0
15	Relaxin signaling pathway	0.0041187773755245296	10.042553191489361	55.15569972379198	COL4A2,PIK3R1,VEGFA	0.034145828145576096	0	0
16	FoxO signaling pathway	0.004299845025739212	9.884640957446809	53.86315121420032	GADD45B,TNFSF10,PIK3R1	0.034145828145576096	0	0
17	Natural killer cell mediated cytotoxicity	0.004299845025739212	9.884640957446809	53.86315121420032	ICAM2,TNFSF10,PIK3R1	0.034145828145576096	0	0
18	Apoptosis	0.00538205391237852	9.097351905709475	47.53079994795231	GADD45B,TNFSF10,PIK3R1	0.040365404342838904	0	0
19	Cell adhesion molecules	0.006035329465923697	8.718268525311812	44.55144049537493	CDH5,CLDN5,ICAM2	0.042882604099984165	0	0
20	Cellular senescence	0.0069773717976026935	8.259073842302879	41.00698685273265	GADD45B,PIK3R1,ZFP36L1	0.04709725963381818	0	0
