Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RELA DN.V1 UP	2.7500400968768863e-06	8.558252895752895	109.57897202302529	PPP1R15A,EGR1,ZFP36,GADD45B,FOSB,LMO7,FOS,JUNB,PRKG1	0.0001227613023007546	0	0
2	ESC J1 UP LATE.V1 UP	2.7700591091874706e-06	7.3897846431390235	94.56442778850555	SGCE,RAMP2,GADD45B,COL4A2,GPX3,COL4A1,SLCO2A1,CRIM1,LMO7,CRYAB	0.0001227613023007546	0	0
3	TGFB UP.V1 UP	2.902783853179713e-06	7.348807654930104	93.69612423135175	EDN1,PLEKHA1,GADD45B,SLCO2A1,TBC1D2B,SMAD6,KLF4,CRYAB,JUNB,LMCD1	0.0001227613023007546	0	0
4	STK33 UP	3.5922550022556544e-06	5.761295864523254	72.22781311373775	PPP1R15A,EGR1,ZFP36,DOCK4,ZEB2,FABP4,CFL2,EMP1,CD36,FOS,GNG11,JUNB	0.0001227613023007546	0	0
5	STK33 NOMO UP	3.72003946365923e-06	5.74057226705796	71.76735020896291	PPP1R15A,ZFP36,DOCK4,ZEB2,FABP4,EPAS1,CFL2,EMP1,FOS,A2M,GNG11,JUNB	0.0001227613023007546	0	0
6	CORDENONSI YAP CONSERVED SIGNATURE	5.543582596699855e-06	15.420335021425789	186.6303037692293	GADD45B,CRIM1,ASAP1,AMOTL2,SLIT2,TNS1	0.000152448521409246	0	0
7	ESC V6.5 UP EARLY.V1 DN	8.881529842252578e-06	7.342065992372741	85.39951031037035	SOCS3,TUBB6,AHNAK,COL4A2,COL4A1,CAV1,EMP1,KLF4,JUNB	0.00020935034628166794	0	0
8	ATF2 S UP.V1 DN	1.7358380728857497e-05	6.718228059520194	73.64142105672855	ITIH5,DES,ADH1B,SLIT3,SVEP1,ABCA8,FOS,SMAD6,A2M	0.00035801660253268586	0	0
9	CRX DN.V1 DN	9.161782615138248e-05	7.244724409448819	67.36061221754251	SOCS3,EGR1,PPP1R14A,TUBB6,COL4A2,JUNB,GNG11	0.0016796601461086787	0	0
10	CAMP UP.V1 DN	0.000186268814593844	5.4952460850111855	47.19493014149896	TJP1,NDRG4,ZFP36,DST,MYO15B,FOSB,SVEP1,MYH10	0.0030734354407984258	0	0
11	CSR LATE UP.V1 DN	0.0003965751340451066	5.634355828220859	44.13190924087836	ACVRL1,CLEC3B,TNXB,TBC1D2B,SVEP1,APOL3,PRKG1	0.005948627010676599	0	0
12	ESC J1 UP EARLY.V1 DN	0.000540122813619452	5.337093023255814	40.15476156047568	EGR1,CNN1,SOCS3,ZFP36,EDN1,KLF4,JUNB	0.007426688687267464	0	0
13	ESC V6.5 UP LATE.V1 UP	0.0007687166494691726	5.013479052823315	35.95059604483386	SGCE,RAMP2,COL4A2,GPX3,COL4A1,TNNC1,SLIT3	0.007608810390065051	0	0
14	IL15 UP.V1 UP	0.0008174646065921299	4.958774774774775	35.253432138751315	ACVRL1,SOCS2,EGR1,GADD45B,HEG1,FOS,JUNB	0.007608810390065051	0	0
15	IL2 UP.V1 UP	0.0008174646065921299	4.958774774774775	35.253432138751315	SOCS2,EGR1,CLDN5,GADD45B,HEG1,FOS,JUNB	0.007608810390065051	0	0
16	E2F1 UP.V1 DN	0.0008427378909101593	4.931863799283154	34.911946606486026	NDRG4,TNXB,LAMA4,ALDH1A1,TCF4,SASH1,RUNX1T1	0.007608810390065051	0	0
17	EGFR UP.V1 UP	0.0008427378909101593	4.931863799283154	34.911946606486026	SOCS2,EDN1,EPAS1,SLCO2A1,A2M,KLF4,JUNB	0.007608810390065051	0	0
18	CYCLIN D1 KE .V1 DN	0.0008686245498781463	4.90524064171123	34.57507710013477	ADH1B,CAV1,ALDH1A1,PIP4K2A,A2M,RAPGEF5,EML1	0.007608810390065051	0	0
19	LEF1 UP.V1 UP	0.0008951350745687556	4.878900709219858	34.24273992544489	RAMP2,FHL1,EMP1,GZMB,HBA2,GNG11,ARHGAP4	0.007608810390065051	0	0
20	RAF UP.V1 UP	0.0009222800472806123	4.852839506172839	33.914853309684304	SOCS2,SGCE,EPAS1,GJA5,HEG1,CRIM1,TBC1D2B	0.007608810390065051	0	0
21	BMI1 DN.V1 DN	0.0009728360196503163	5.673769075727037	39.34926241925958	SOCS2,EGR1,GPX3,FOS,NDRG2,CES1	0.007643711582966771	0	0
22	MEL18 DN.V1 DN	0.001120921765915715	5.5128252961477475	37.45195158009283	SOCS2,EGR1,DMD,FOS,NDRG2,A2M	0.008406913244367861	0	0
23	KRAS.600.LUNG.BREAST UP.V1 UP	0.0020190092764019816	3.751294343240652	23.277337885977428	PPP1R15A,CLDN5,DOCK4,SEMA3B,SLIT2,A2M,GNG11,HIC1	0.01448419698288378	0	0
24	STK33 SKM UP	0.002107632915916408	3.724308629634918	22.949896657135504	EGR1,ZFP36,FABP4,CFL2,CD36,FOS,GNG11,JUNB	0.014489976296925305	0	0
25	GCNP SHH UP EARLY.V1 DN	0.0022012431923872037	4.797464754398082	29.35440586479629	EGR1,CNN1,EMP1,AMOTL2,PHLDB2,SLC6A4	0.014528205069755544	0	0
26	GCNP SHH UP LATE.V1 DN	0.003012562399640545	4.491664763644668	26.07395345143009	CNN1,EDN1,TNNC1,AMOTL2,ADRB2,AGER	0.019118184459257302	0	0
27	ESC J1 UP LATE.V1 DN	0.0035397926159472784	4.340618101545254	24.497090544663276	SOCS2,EGR1,SOCS3,EDN1,KLF4,ACACB	0.021414240445471622	0	0
28	ATF2 UP.V1 DN	0.0036339317119588204	4.316417255131536	24.247215379942862	ITIH5,SLIT3,SVEP1,ABCA8,FOS,SMAD6	0.021414240445471622	0	0
29	CYCLIN D1 UP.V1 DN	0.004029198877341478	4.222230177197065	23.282169762558276	TPM2,CAV1,ERG,EML1,AGER,SLC6A4	0.02172956328978093	0	0
30	JNK DN.V1 DN	0.004029198877341478	4.222230177197065	23.282169762558276	ACVRL1,TTLL3,SEMA3B,SVEP1,NDRG2,ARHGAP4	0.02172956328978093	0	0
31	IL21 UP.V1 UP	0.004238367382469404	4.176647660870489	22.81943666169328	CDH5,NDRG4,HEG1,FAM107A,NKG7,FOSB	0.02172956328978093	0	0
32	P53 DN.V1 UP	0.004345912657956186	4.154220092997041	22.5928069600448	VIPR1,INPP1,CRIM1,DMD,SLIT2,SMAD6	0.02172956328978093	0	0
33	KRAS.DF.V1 DN	0.004345912657956186	4.154220092997041	22.5928069600448	TNXB,SEMA6A,HSPB6,ADRB2,SMAD6,KLF4	0.02172956328978093	0	0
34	MEK UP.V1 UP	0.004567035892424488	4.110073196235622	22.148735986872445	SGCE,EDN1,EPAS1,GPX3,FHL1,KLF4	0.022163556536765897	0	0
35	KRAS.KIDNEY UP.V1 UP	0.005777330289221924	4.629464285714286	23.8593959532759	ALDH1A1,PECAM1,EMP1,A2M,CRYAB	0.02723598564918907	0	0
36	CAHOY ASTROGLIAL	0.007999916441986783	5.377723311546841	25.965391509830216	CNN1,SEMA3B,TBC1D2B,FBLN5	0.03666628369243942	0	0
