Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Metabolism of xenobiotics by cytochrome P450	9.71590465993033e-10	13.20228494623656	273.97496225875267	GSTM4,CBR1,GSTM2,GSTM1,UGT1A1,CYP2S1,MGST1,UGT1A5,UGT1A3,ADH7,UGT1A9,UGT1A7	2.0694876925651603e-07	0	0
2	Drug metabolism	6.007806958284415e-09	9.654751987883378	182.76644452876485	GSTM4,GSTM2,RRM1,GSTM1,RRM2,UGT1A1,MGST1,ADH7,UGT1A5,UGT1A3,UMPS,UGT1A9,UGT1A7	6.398314410572903e-07	0	0
3	Glutathione metabolism	1.260424936417627e-07	13.07247340425532	207.67776693558045	GSTM4,GGCT,G6PD,GSTM2,RRM1,GSTM1,RRM2,MGST1,PGD	8.94901704856515e-06	0	0
4	Chemical carcinogenesis	4.729892265423398e-07	5.083995108030982	74.04428711126651	GSTM4,CBR1,GSTM2,GSTM1,MAP2K2,UGT1A1,MGST1,CACNA1B,KLF5,UGT1A5,BIRC5,UGT1A3,KPNA2,UGT1A9,UGT1A7,KPNA1	2.5186676313379593e-05	0	0
5	Ascorbate and aldarate metabolism	3.988001085751341e-06	17.267543859649123	214.67391161018878	UGDH,UGT1A1,UGT1A5,UGT1A3,UGT1A9,UGT1A7	0.00016988884625300713	0	0
6	Retinol metabolism	6.328820088011218e-06	9.257479387514723	110.81570107334207	UGT1A1,RDH10,CYP2S1,UGT1A5,UGT1A3,ADH7,UGT1A9,UGT1A7	0.00022467311312439824	0	0
7	Pentose and glucuronate interconversions	8.601904383218875e-06	14.797744360902255	172.5938899944037	UGDH,UGT1A1,UGT1A5,UGT1A3,UGT1A9,UGT1A7	0.0002617436619465172	0	0
8	Steroid hormone biosynthesis	2.8616413098304314e-05	8.971374543557642	93.85430500694432	UGT1A1,SRD5A1,UGT1A5,AKR1C3,UGT1A3,UGT1A9,UGT1A7	0.0007619119987423524	0	0
9	Porphyrin and chlorophyll metabolism	0.00038567362691142306	9.049963194700037	71.13740829550288	UGT1A1,UGT1A5,UGT1A3,UGT1A9,UGT1A7	0.009127609170237012	0	0
10	Diabetic cardiomyopathy	0.0008111898951338378	3.5985470101229877	25.610889233684883	NDUFA9,G6PD,PDHA1,NDUFB5,VDAC3,NDUFC2,SDHC,COX5A,GAPDH,ATP5MC1	0.017278344766350748	0	0
11	Pentose phosphate pathway	0.0008927884521617056	10.55105869740016	74.08068078852267	G6PD,TALDO1,PGD,TKT	0.017287630937313028	0	0
12	Fluid shear stress and atherosclerosis	0.0009922199183491306	4.224745771855528	29.216507303260943	GSTM4,GSTM2,GSTM1,GPC1,SUMO2,MGST1,SDC1,RAC3	0.01761190355069707	0	0
13	Pyrimidine metabolism	0.0013124584814612037	6.7386535033593855	44.71671539489663	DTYMK,RRM1,RRM2,UMPS,TYMS	0.021504127427018183	0	0
14	DNA replication	0.0017921601986672162	8.570121951219512	54.20030997092345	RFC4,RPA3,POLD2,MCM4	0.027266437308294075	0	0
15	Hepatocellular carcinoma	0.003269201866038718	3.453886925795053	19.76731812552757	GSTM4,GSTM2,MAP2K2,GSTM1,CDKN2A,WNT7B,WNT5A,MGST1	0.046422666497749794	0	0
