Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Hematopoietic cell lineage	3.423464958070469e-11	15.197259136212624	366.2202504141474	IL4R,MME,ITGA1,TNF,EPOR,IL6,HLA-DMA,IL7,CD36,CD34,HLA-DQA1,HLA-DRB1,HLA-DQB1	6.983868514463757e-09	0	0
2	Malaria	2.162163521975606e-09	21.676829268292682	432.49948968135055	SELP,IL6,HGF,HBB,CCL2,HBA2,CD36,TNF,THBS1	2.2054067924151182e-07	0	0
3	Inflammatory bowel disease	3.76604385076502e-07	13.779523435454307	203.82768317375982	HLA-DMA,IL6,IL4R,NFATC1,TNF,HLA-DQA1,HLA-DRB1,HLA-DQB1	2.5609098185202137e-05	0	0
4	Rheumatoid arthritis	5.633436964944595e-07	10.557321428571429	151.91326676217173	HLA-DMA,IL6,ANGPT1,TNFSF13,CCL2,TNF,HLA-DQA1,HLA-DRB1,HLA-DQB1	2.8730528521217433e-05	0	0
5	Graft-versus-host disease	4.645595464605597e-06	16.2192118226601	199.16528751111142	HLA-DMA,IL6,TNF,HLA-DQA1,HLA-DRB1,HLA-DQB1	0.00018954029495590834	0	0
6	Intestinal immune network for IgA production	1.0315369638492048e-05	13.89795918367347	159.57463812168916	HLA-DMA,IL6,TNFSF13,HLA-DQA1,HLA-DRB1,HLA-DQB1	0.0003507225677087296	0	0
7	Asthma	1.617705152395111e-05	18.63216440422323	205.54848923681925	HLA-DMA,TNF,HLA-DQA1,HLA-DRB1,HLA-DQB1	0.0004714455015551466	0	0
8	Allograft rejection	4.503355511674306e-05	14.674688057040997	146.8657848249679	HLA-DMA,TNF,HLA-DQA1,HLA-DRB1,HLA-DQB1	0.001148355655476948	0	0
9	JAK-STAT signaling pathway	5.321925394973946e-05	5.775882352941177	56.84097985952733	SOCS2,PDGFRA,IL6,IL4R,IL7,FHL1,LIFR,EPOR,PIAS1	0.0012063030895274277	0	0
10	Staphylococcus aureus infection	6.247354560039253e-05	7.758832133213321	75.11144887639519	C1QB,SELP,HLA-DMA,HLA-DQA1,HLA-DRB1,HLA-DQB1,C2	0.0012744603302480074	0	0
11	Type I diabetes mellitus	8.27801250554573e-05	12.740583075335397	119.75284993963629	HLA-DMA,TNF,HLA-DQA1,HLA-DRB1,HLA-DQB1	0.0015351950464830265	0	0
12	Th17 cell differentiation	0.00013266940036931946	6.823613861386138	60.918837898348386	IL6,HLA-DMA,IL4R,NFATC1,HLA-DQA1,HLA-DRB1,HLA-DQB1	0.002255379806278431	0	0
13	Antigen processing and presentation	0.00016648019239861464	8.094827586206897	70.43013390311813	HLA-DMA,IFI30,TNF,HLA-DQA1,HLA-DRB1,HLA-DQB1	0.002498523067210607	0	0
