Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	MEK UP.V1 UP	1.954465897784741e-08	6.091958247574243	108.13569345463358	CSGALNACT1,EDN1,PRKCH,IL4R,PARM1,PCDH9,FHL1,KRT7,MICAL2,ARRB1,PTPRE,NPC2,ARHGDIB,COTL1,PPARG,PCDH1,CCNJL	3.4984939570346865e-06	0	0
2	EGFR UP.V1 UP	5.6036379115949e-07	5.370400969376514	77.30520147674764	CSGALNACT1,EDN1,IL4R,PCDH9,KRT7,SOD2,DUSP6,ACTG2,RND1,PTPRE,RNF19A,SLCO2A1,COTL1,CCL2,JUNB	4.809449417015767e-05	0	0
3	P53 DN.V2 UP	8.060529749188437e-07	6.110437710437711	85.73626259224976	CD83,RORC,CXCL5,POU6F1,HS3ST2,NFKBIA,CA3,CCL4,PTK2B,ME3,PCDH1,CD68,KCNK3	4.809449417015767e-05	0	0
4	ERB2 UP.V1 UP	6.359134807964545e-05	4.230623203341108	40.88065218862797	CSGALNACT1,CAST,SLC9A3R2,PTPRE,VIPR1,EDN1,MUC1,PARM1,NPC2,KRT7,PCDH1,DUSP6	0.002845712826564134	0	0
5	HINATA NFKB IMMU INF	0.00013140103076523195	19.088570735258433	170.59945493066118	NFKBIA,IL6,CD83,CCL2	0.004017318373333855	0	0
6	BMI1 DN.V1 UP	0.0001346587164245985	4.586570281878565	40.87903228299457	NRP2,EDN1,TAGLN,GPRC5A,CSF1,FES,SLCO4A1,SLCO2A1,LTBP4,LSAMP	0.004017318373333855	0	0
7	BMI1 DN MEL18 DN.V1 UP	0.0005681535733634621	4.145149886877828	30.977197549058594	NRP2,EDN1,TAGLN,CSF1,ABLIM3,TNIP3,LSAMP,APBB2,GAB2	0.013360481380517254	0	0
8	ATM DN.V1 UP	0.0005971164862801007	4.114682762492982	30.54492920603091	GPR162,CSF3R,F13A1,PTK2B,ME3,ICAM5,CD36,GAB2,DNAI1	0.013360481380517254	0	0
9	ESC J1 UP LATE.V1 UP	0.0010722649037205772	3.4637863956938055	23.68530949383704	PDGFRA,PARM1,SLCO2A1,CA4,APOA2,KRT7,HNF1B,PTH1R,PCDH1,HLA-DRB1	0.01730483810144564	0	0
10	BCAT BILD ET AL UP	0.0011038726622203151	7.0609177215189876	48.077299302804384	TAGLN,ICAM5,AXIN2,CTSD,CAPS	0.01730483810144564	0	0
11	TGFB UP.V1 UP	0.001115476220374244	3.4445779301084767	23.417873022700274	IL1RL1,PHLDB1,HRH1,CD163,EDN1,TAGLN,SLCO2A1,TRIB1,JUNB,HS3ST2	0.01730483810144564	0	0
12	E2F1 UP.V1 DN	0.001160100878309205	3.42557939310878	23.15434173592328	SERPINA3,PDGFRA,IL1RL1,CSF1,CCL2,PLIN2,CRIP2,APBB2,CXCL5,KLF2	0.01730483810144564	0	0
13	MEL18 DN.V1 UP	0.0020199295840779273	3.7562276297773187	23.306237881856358	NRP2,EDN1,CD83,CSF1,ABLIM3,SLCO4A1,SLCO2A1,LTBP4	0.027812876580765308	0	0
14	KRAS.KIDNEY UP.V1 UP	0.002405411752944122	3.645810498822322	21.984361932760265	RTN1,PCDH9,PLCL1,AQP4,ST3GAL6,ETV1,ASPA,DUSP6	0.02794340685309848	0	0
15	KRAS.600 UP.V1 UP	0.0024377264416555002	2.7401941747572818	16.486897410345556	IL1RL1,ZEB1,RTN1,PCDH9,SLCO4A1,ST3GAL6,ETV1,TLR4,DUSP6,CXCL5,KCNK3,CCNJL	0.02794340685309848	0	0
16	GCNP SHH UP LATE.V1 DN	0.00257371843606354	3.2908232118758436	19.621216045304713	LGALS4,NRP2,EDN1,IL4R,SLC11A1,S1PR1,AMOTL2,PTH1R,RBKS	0.02794340685309848	0	0
17	STK33 SKM UP	0.002653843108953487	2.7102046518125307	16.07624684860831	NFKBIA,FGD4,FABP4,RTN1,RNF19A,CCL4,PTPRM,ETV1,CD36,TRIB1,JUNB,TNF	0.02794340685309848	0	0
18	PDGF ERK DN.V1 DN	0.0028463136458739854	3.5416581696236378	20.76024599511787	NFKBIA,PDGFRA,TNFSF8,TRIB1,SLC25A44,JUNB,LTBP1,DUSP6	0.028305007922857967	0	0
19	SRC UP.V1 UP	0.003438273515452789	3.142458100558659	17.826491748475803	TMEM88,FES,CRTAC1,LAMP3,TTC21A,ICAM5,LYVE1,CAPS,NAALADL1	0.03239215575084469	0	0
20	LTE2 UP.V1 UP	0.0036865043278615237	3.107416064598385	17.411090258398488	CSGALNACT1,EDN1,PRKCH,PCDH9,NPC2,PROS1,DPYSL2,C4ORF19,ACTG2	0.032994213734360636	0	0
21	P53 DN.V1 UP	0.0042250259512401555	3.0396049896049897	16.61669940756728	VIPR1,LAMP3,NR2F1,PPARG,APBB2,DMD,ME3,SLIT2,LTBP1	0.034376347512363084	0	0
22	PRC2 EZH2 UP.V1 DN	0.0042250259512401555	3.0396049896049897	16.61669940756728	IL1RL1,EDN1,ABLIM3,PCDH9,DMD,ETV1,TRIB1,SLC19A2,CCNJL	0.034376347512363084	0	0
23	RAF UP.V1 UP	0.004516360408502484	3.006787330316742	16.23679840170529	CSGALNACT1,CAST,PRKCH,SLC31A2,NPC2,C4ORF19,COTL1,MICAL2,PPARG	0.03514906578791064	0	0
