Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RNA binding (GO:0003723)	9.648619092204467e-07	2.196986169530192	30.431072446964322	TOP2A,RBM28,WDR3,MSI2,BRCA1,SPOUT1,DUSP14,MRPL3,FBL,PSMD4,SNRPD2,SUMO2,RPL37,BUD23,KPNA2,RBM34,EIF5B,TSFM,MRPS24,NCBP2,DDX54,ZCRB1,SMC1A,RANGAP1,DARS1,TCP1,FSCN1,CCDC86,STRAP,FKBP4,PPIA,LUC7L2,RPF2,RTN4,MRPL11,RAD51AP1,RRP7A,FXR1,PES1,DHX36,DNAJC21,DROSHA,RALY,TRMT10C,CDKN2A,CCDC59,DEK,HSPE1,MAGOHB,MRPL21,U2SURP,CHERP,LSM14A,RAN	0.0004467310639690668	0	0
2	retinoid binding (GO:0005501)	4.23154056567043e-05	11.044736842105262	111.22446879690166	UGT1A1,ABCA4,UGT1A3,ADH7,UGT1A9,UGT1A7	0.009796016409527045	0	0
3	hexosyltransferase activity (GO:0016758)	0.00010495833661532981	4.759174311926605	43.60330319365124	UGT1A1,TMTC3,UGT1A3,B4GALNT3,UGT1A9,LARGE2,B4GALT4,UGT1A7,FUT3,B4GALNT4	0.016198569950965903	0	0
4	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	0.00027715892518767187	5.233407005558904	42.86641538421296	CBR1,LDHB,DHRS11,BDH1,RDH10,AKR1C3,PGD,ADH7	0.022624973777447144	0	0
5	glucuronosyltransferase activity (GO:0015020)	0.0002931962044593582	9.886937209771855	80.4269570106768	UGT1A1,UGT1A3,UGT1A9,LARGE2,UGT1A7	0.022624973777447144	0	0
6	monocarboxylic acid binding (GO:0033293)	0.0002931962044593582	9.886937209771855	80.4269570106768	UGT1A1,AKR1C3,UGT1A3,UGT1A9,UGT1A7	0.022624973777447144	0	0
7	fibroblast growth factor binding (GO:0017134)	0.000630230692261548	12.07083461656914	88.95510589676958	GPC1,CXCL13,FGFR3,FGFR2	0.03823309310560172	0	0
8	protein homodimerization activity (GO:0042803)	0.0006606149996648245	2.1538416201585884	15.771159225569455	TOP2A,TENM4,ODC1,ATP2A1,FXR1,NADK2,PDCD10,STC2,HSD17B1,DROSHA,UGT1A3,UGT1A9,MORC2,UGT1A7,TBX1,STARD3,GSTM2,HMGCS1,UGT1A1,CIP2A,GRHL1,GREM1,CENPF,BCL2L2,FGFR2	0.03823309310560172	0	0
9	retinoic acid binding (GO:0001972)	0.000758635429488055	11.399650959860384	81.89496967601805	UGT1A1,UGT1A3,UGT1A9,UGT1A7	0.03902757820588549	0	0
10	ABC-type xenobiotic transporter activity (GO:0008559)	0.001048876849924655	19.196475195822455	131.6884985165414	ABCC1,ABCC2,ABCC5	0.04856299815151152	0	0
