Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Steroid hormone biosynthesis	2.1582074020852972e-05	7.8111210941399625	83.91993157056781	DHRS11,UGT1A1,SRD5A1,HSD17B1,AKR1C3,UGT1A3,UGT1A9,UGT1A7	0.005481846801296655	0	0
2	Metabolism of xenobiotics by cytochrome P450	0.00010748065169534951	6.083411142234672	55.591425940798274	CBR1,GSTM2,UGT1A1,CYP2S1,UGT1A3,ADH7,UGT1A9,UGT1A7	0.012517840730425901	0	0
3	Cell cycle	0.00014784851256408543	4.549272116461366	40.1214973537307	CDK7,DBF4,CDK4,CDKN2A,PLK1,MCM4,PKMYT1,SMC1A,TP53,BUB1	0.012517840730425901	0	0
4	Drug metabolism	0.0002463835532872741	4.705811429949361	39.098804029171085	GSTM2,RRM1,RRM2,UGT1A1,NME2,UGT1A3,ADH7,UGT1A9,UGT1A7	0.014039412589601714	0	0
5	RNA transport	0.0002763663895590889	3.584731698321962	29.372513915228648	FXR1,EIF2B5,EIF5B,PRMT5,NCBP2,SUMO2,TACC3,STRAP,THOC3,MAGOHB,RANGAP1,RAN	0.014039412589601714	0	0
6	Retinol metabolism	0.00033282735073516216	5.920282019118474	47.40894745581183	UGT1A1,RDH10,CYP2S1,UGT1A3,ADH7,UGT1A9,UGT1A7	0.014089691181121865	0	0
7	Central carbon metabolism in cancer	0.00039822796494190234	5.731750219876869	44.87092601029155	LDHB,PDHA1,PIK3CA,IDH2,TP53,FGFR3,FGFR2	0.014449986156463313	0	0
8	Signaling pathways regulating pluripotency of stem cells	0.0004686641176531472	3.8955767077267636	29.862027134890514	PIK3CA,DLX5,WNT7B,WNT5A,COMMD3-BMI1,HOXA1,PAX6,FZD10,FGFR3,FGFR2	0.014880085735487424	0	0
9	Breast cancer	0.0005822715457414212	3.7810607237148623	28.163509259096625	NOTCH3,JAG1,HEY1,PIK3CA,CDK4,WNT7B,WNT5A,FZD10,BRCA1,TP53	0.01643299695759122	0	0
10	Glutathione metabolism	0.0007863450107911985	6.056656346749226	43.29367557822816	GSTM2,RRM1,RRM2,ODC1,IDH2,PGD	0.01997316327409644	0	0
11	Bladder cancer	0.001104292426550733	7.136920384951881	48.59208276321156	CXCL8,CDKN2A,CDK4,FGFR3,TP53	0.02549911603126238	0	0
12	ABC transporters	0.0016905316105563983	6.421916010498688	40.98924190553107	ABCC1,ABCC2,ABCC5,ABCA4,ABCA13	0.03578291909011043	0	0
13	Alzheimer disease	0.0023101010647626095	2.359513054130618	14.323339063073165	NDUFA9,NDUFB5,TUBB,WNT7B,WNT5A,NDUFC2,ATP2A1,FZD10,COX5A,TUBA4A,RTN4,APH1A,PPP3R1,PSMD4,PIK3CA,VDAC2	0.042620128338530724	0	0
14	Chemical carcinogenesis	0.0024531764425207926	2.7402765671747273	16.470080419906733	CBR1,GSTM2,JAG1,KLF5,UGT1A1,PIK3CA,CACNA1B,UGT1A3,KPNA2,UGT1A9,UGT1A7,KPNA1	0.042620128338530724	0	0
15	Ascorbate and aldarate metabolism	0.0025169367129053576	7.888844140153041	47.21246576915333	UGT1A1,UGT1A3,UGT1A9,UGT1A7	0.042620128338530724	0	0
