Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	2.370831426251682e-05	2.7791626872347885	29.59720651185627	CBR1,CSTA,ABCC2,RRM2,UGT1A1,TXNRD1,CYP4F3,HJURP,AKR1C3,NDUFC2,MCM10,PGD,LRP8,TM9SF3,PANX2,DBF4,STC2,GPC1,UGT1A3,NRCAM,BCAT1,UGT1A9,PPIA,UGT1A7	0.0024456720441185537	0	0
2	HOXA9 DN.V1 DN	2.732594462702295e-05	4.040604764450781	42.45735744358269	FANCI,HELLS,HMGCS1,DLX5,IGFBP2,ADM,MCM10,FANCG,COCH,EXOSC5,TBL1XR1,ZIC1,NCAPD2,BCAT1	0.0024456720441185537	0	0
3	VEGF A UP.V1 DN	0.00010099061605587249	3.7629133154602323	34.62061982295948	RFC4,RRM2,KIF23,KIF22,SMC4,LRP8,NDC80,DBF4,EXO1,CCDC86,MCM4,BUB1,CDKN3	0.004760973509210394	0	0
4	P53 DN.V1 UP	0.00010639046947956189	3.741931183623895	34.23266287528745	CDKN2A,ADM,TUBA4A,NDC80,PRDX2,KRT19,CALB1,KLF5,LPCAT4,KRT15,CD9,CD24,PITX1	0.004760973509210394	0	0
5	GCNP SHH UP LATE.V1 UP	0.00023794555947081843	3.6481846327047567	30.438514120327557	TOP2A,PSMC3IP,NAA30,RRM1,FRMD6,RRM2,PIK3CA,IDH2,MCM4,MCM10,SMC4,TM9SF3	0.008181147289469622	0	0
6	RPS14 DN.V1 DN	0.0002902909424224519	3.5640641711229946	29.02797287929107	CDCA3,EXO1,PES1,PLK1,PBK,KRT13,MCM10,KIF23,BCAT1,MYO19,NCAPH,NLE1	0.008181147289469622	0	0
7	E2F1 UP.V1 UP	0.000319933134225069	3.523429710867398	28.354443109446354	TOP2A,SLC9A3R1,RRM1,DBF4,DNAJC21,MCM4,MCM10,DCTPP1,BUB1,NCAPH,KPNA1,EZH2	0.008181147289469622	0	0
8	CSR LATE UP.V1 UP	0.0005297687017027132	3.544231884057971	26.734389405214227	ANLN,PRMT5,RRM2,UHRF1,PBK,ITGA6,KIF22,RPF2,DCTPP1,TUBA4A,EZH2	0.011853574700598208	0	0
9	PRC2 EZH2 UP.V1 UP	0.0014813295178169137	3.097536231884058	20.179876347835307	HELLS,CENPF,RFC4,TACC3,HJURP,MCM10,THBS2,PITX1,BUB1,NCAPH,EZH2	0.029461998187691952	0	0
10	MTOR UP.V1 UP	0.0017632076134113702	3.2337101063829787	20.503728983074673	HELLS,DBF4,RRM2,KCNE3,HMGCS1,BDH1,UHRF1,CCDC86,TMEM97,HSPE1	0.03156141628006352	0	0
