Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	syndecan binding (GO:0045545)	0.003246050875089783	416.3125	2385.6022367218384	GPNMB	0.04831437115464619	0	0
2	intracellular ligand-gated ion channel activity (GO:0005217)	0.00712850018242009	166.475	822.994869532877	RYR1	0.04831437115464619	0	0
3	nuclear export signal receptor activity (GO:0005049)	0.00712850018242009	166.475	822.994869532877	EIF4ENIF1	0.04831437115464619	0	0
4	RNA polymerase II core promoter sequence-specific DNA binding (GO:0000979)	0.009064489027893918	128.03846153846155	602.2149225510485	H2AZ1	0.04831437115464619	0	0
5	calcium-release channel activity (GO:0015278)	0.010996994142530848	104.015625	469.12433437564215	RYR1	0.04831437115464619	0	0
6	mRNA binding (GO:0003729)	0.012211931382011274	13.741553465691396	60.53624019572811	EIF4ENIF1,HNRNPR	0.04831437115464619	0	0
7	ligand-gated calcium channel activity (GO:0099604)	0.012283398155032895	92.44907407407408	406.73031819258705	RYR1	0.04831437115464619	0	0
8	GABA-A receptor activity (GO:0004890)	0.012283398155032895	92.44907407407408	406.73031819258705	GABRP	0.04831437115464619	0	0
9	ATP binding (GO:0005524)	0.013572781717193649	12.984848484848484	55.830808066542275	RYR1,MAP4K5	0.04831437115464619	0	0
10	GABA receptor activity (GO:0016917)	0.014210109163131231	79.23015873015873	337.0293803138913	GABRP	0.04831437115464619	0	0
11	adenyl ribonucleotide binding (GO:0032559)	0.01628239440549643	11.772129186602871	48.4737532261024	RYR1,MAP4K5	0.04933849909999862	0	0
12	glutathione transferase activity (GO:0004364)	0.01741358791764657	63.9775641025641	259.14140891073174	GSTM1	0.04933849909999862	0	0
