Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Cellular senescence	0.0001804215708467929	257.7012987012987	2221.4404421399886	GADD45A,HLA-B	0.0060498056402907285	0	0
2	Epstein-Barr virus infection	0.00030249028201453644	197.97	1604.242254660879	GADD45A,HLA-B	0.0060498056402907285	0	0
3	Thyroid cancer	0.005539943461610349	277.2361111111111	1440.4553417617176	GADD45A	0.027423288802486668	0	0
4	Allograft rejection	0.005689387732894645	269.72972972972974	1394.274144706199	HLA-B	0.027423288802486668	0	0
5	Graft-versus-host disease	0.00628701524151983	243.3658536585366	1233.6869399593022	HLA-B	0.027423288802486668	0	0
6	Type I diabetes mellitus	0.006436384727315792	237.5595238095238	1198.6750596729298	HLA-B	0.027423288802486668	0	0
7	Autoimmune thyroid disease	0.007929257057990018	191.77884615384616	927.6718550806611	HLA-B	0.027423288802486668	0	0
8	Endometrial cancer	0.008675132502749212	174.91228070175438	830.360139497581	GADD45A	0.027423288802486668	0	0
9	Viral myocarditis	0.00897337803301339	168.96610169491527	796.4205513462199	HLA-B	0.027423288802486668	0	0
10	Basal cell carcinoma	0.009420634221166173	160.76612903225808	749.9503377031319	GADD45A	0.027423288802486668	0	0
11	Melanoma	0.010761595752488154	140.32394366197184	635.9160389879967	GADD45A	0.027423288802486668	0	0
12	Non-small cell lung cancer	0.010761595752488154	140.32394366197184	635.9160389879967	GADD45A	0.027423288802486668	0	0
13	p53 signaling pathway	0.010910516765723988	138.36805555555554	625.1507650815512	GADD45A	0.027423288802486668	0	0
14	Glioma	0.011208313971683172	134.61486486486487	604.5687465206931	GADD45A	0.027423288802486668	0	0
15	Pancreatic cancer	0.011357190165993224	132.81333333333333	594.7253885716618	GADD45A	0.027423288802486668	0	0
16	Chronic myeloid leukemia	0.011357190165993224	132.81333333333333	594.7253885716618	GADD45A	0.027423288802486668	0	0
17	Antigen processing and presentation	0.011654897741056833	129.35064935064935	575.8728136672166	HLA-B	0.027423288802486668	0	0
18	Colorectal cancer	0.012845130618796025	117.12941176470588	510.0740472374152	GADD45A	0.02854473470843561	0	0
19	Small cell lung cancer	0.013737178126808362	109.37362637362638	468.95576237961774	GADD45A	0.028920375003807074	0	0
20	NF-kappa B signaling pathway	0.01551966110087719	96.57281553398059	402.288317326718	GADD45A	0.03103932220175438	0	0
21	Cell cycle	0.018485692459380126	80.78861788617886	322.40784145177446	GADD45A	0.032325887595541204	0	0
22	FoxO signaling pathway	0.019522394593755113	76.41153846153846	300.7705652307742	GADD45A	0.032325887595541204	0	0
23	Natural killer cell mediated cytotoxicity	0.019522394593755113	76.41153846153846	300.7705652307742	HLA-B	0.032325887595541204	0	0
24	Apoptosis	0.021150022923212962	70.41134751773049	271.5142033166735	GADD45A	0.032325887595541204	0	0
25	Breast cancer	0.021889258227452083	67.98287671232876	259.8141882152165	GADD45A	0.032325887595541204	0	0
26	Cell adhesion molecules	0.0220370606188443	67.51700680272108	257.57938413758654	HLA-B	0.032325887595541204	0	0
27	Gastric cancer	0.02218484812264927	67.05743243243244	255.37788714760265	GADD45A	0.032325887595541204	0	0
28	Phagosome	0.02262812131687884	65.71523178807946	248.9662194692262	HLA-B	0.032325887595541204	0	0
29	Hepatocellular carcinoma	0.024989982960633653	59.37125748502994	219.03720563754771	GADD45A	0.03446894201466711	0	0
30	Transcriptional misregulation in cancer	0.028525637136025263	51.84816753926702	184.42144568410632	GADD45A	0.03699712295817361	0	0
31	Kaposi sarcoma-associated herpesvirus infection	0.02867277029258455	51.575520833333336	183.18631536211723	HLA-B	0.03699712295817361	0	0
32	Viral carcinogenesis	0.030143284957031374	48.99752475247525	171.5791941822581	HLA-B	0.03767910619628922	0	0
33	Human immunodeficiency virus 1 infection	0.031465478658261506	46.88625592417062	162.17319441914464	HLA-B	0.03813997413122607	0	0
34	Human T-cell leukemia virus 1 infection	0.03249302041441402	45.36467889908257	155.45250472614427	HLA-B	0.03814079072399287	0	0
35	Human cytomegalovirus infection	0.03337319188349377	44.136160714285715	150.06304968532913	HLA-B	0.03814079072399287	0	0
36	Endocytosis	0.03732735843592945	39.33466135458168	129.3334974469934	HLA-B	0.04147484270658828	0	0
37	MAPK signaling pathway	0.04345682797621647	33.62457337883959	105.44623488285703	GADD45A	0.04698035456888267	0	0
