Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	1-acylglycerophosphocholine O-acyltransferase activity (GO:0047184)	0.0038940964853966904	333.03333333333336	1847.7667100463034	LPCAT4	0.037187993719749006	0	0
2	GPI anchor binding (GO:0034235)	0.0045417536091676225	277.5138888888889	1497.032601111507	THY1	0.037187993719749006	0	0
3	retinol binding (GO:0019841)	0.0045417536091676225	277.5138888888889	1497.032601111507	RBP4	0.037187993719749006	0	0
4	lysophospholipid acyltransferase activity (GO:0071617)	0.005189022379499861	237.85714285714286	1251.416370420653	LPCAT4	0.037187993719749006	0	0
5	O-acetyltransferase activity (GO:0016413)	0.005189022379499861	237.85714285714286	1251.416370420653	LPCAT4	0.037187993719749006	0	0
6	CD4 receptor binding (GO:0042609)	0.005189022379499861	237.85714285714286	1251.416370420653	HLA-DRB1	0.037187993719749006	0	0
7	MHC class II receptor activity (GO:0032395)	0.006482395492037067	184.9814814814815	932.059746399125	HLA-DRB1	0.03831568848050798	0	0
8	intracellular ligand-gated ion channel activity (GO:0005217)	0.00712850018242009	166.475	822.994869532877	RYR1	0.03831568848050798	0	0
9	metalloendopeptidase inhibitor activity (GO:0008191)	0.009064489027893918	128.03846153846155	602.2149225510485	TIMP1	0.04062970158972419	0	0
10	calcium-release channel activity (GO:0015278)	0.010996994142530848	104.015625	469.12433437564215	RYR1	0.04062970158972419	0	0
11	MHC class II protein complex binding (GO:0023026)	0.010996994142530848	104.015625	469.12433437564215	HLA-DRB1	0.04062970158972419	0	0
12	ligand-gated calcium channel activity (GO:0099604)	0.012283398155032895	92.44907407407408	406.73031819258705	RYR1	0.04062970158972419	0	0
13	GABA-A receptor activity (GO:0004890)	0.012283398155032895	92.44907407407408	406.73031819258705	GABRP	0.04062970158972419	0	0
14	histone acetyltransferase binding (GO:0035035)	0.013568257886165577	83.19583333333334	357.74392971285124	EID1	0.04073564626764286	0	0
15	GABA receptor activity (GO:0016917)	0.014210109163131231	79.23015873015873	337.0293803138913	GABRP	0.04073564626764286	0	0
16	O-acyltransferase activity (GO:0008374)	0.01933106056430268	57.35057471264368	226.30778348154325	LPCAT4	0.04912891251821546	0	0
17	zinc ion binding (GO:0008270)	0.01942305843743402	10.698421339139902	42.165627465161336	CALB1,TIMP1	0.04912891251821546	0	0
18	calcium ion binding (GO:0005509)	0.02074613996445753	10.321071991592223	39.998231569268206	RYR1,CALB1	0.049523142387217944	0	0
19	retinoid binding (GO:0005501)	0.021882318729235836	50.388888888888886	192.59017962885017	RBP4	0.049523142387217944	0	0
