Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	ESC J1 UP LATE.V1 UP	0.0006294302036130718	21.057446808510637	155.20803025528122	TNNT1,KRT7,HLA-DRB1	0.041542393438462735	0	0
2	SIRNA EIF4GI UP	0.0032507083387279933	26.732526881720432	153.14750158426136	CA2,TNNT1	0.042348073915094306	0	0
3	CAHOY NEURONAL	0.0035942371173740815	25.362244897959183	142.74945562505079	CALB1,CKMT1A	0.042348073915094306	0	0
4	RB DN.V1 DN	0.005639604845823604	20.018145161290324	103.65278015413259	LRRC4,KRT7	0.042348073915094306	0	0
5	CRX NRL DN.V1 UP	0.006916402453867422	17.97463768115942	89.40332276954871	TNNT1,CKMT1A	0.042348073915094306	0	0
6	RELA DN.V1 DN	0.007012192934531154	17.844424460431654	88.51021537292564	GSTM1,MUC4	0.042348073915094306	0	0
7	KRAS.PROSTATE UP.V1 DN	0.007303199171774846	17.464788732394368	85.91702890574375	KRT16,MUC4	0.042348073915094306	0	0
8	BMI1 DN.V1 DN	0.007303199171774846	17.464788732394368	85.91702890574375	CA2,TNNT1	0.042348073915094306	0	0
9	KRAS.KIDNEY UP.V1 UP	0.007401409374967147	17.341783216783217	85.08025975281727	CALB1,CA2	0.042348073915094306	0	0
10	KRAS.LUNG UP.V1 DN	0.007401409374967147	17.341783216783217	85.08025975281727	RYR1,KRT16	0.042348073915094306	0	0
11	KRAS.LUNG.BREAST UP.V1 DN	0.007401409374967147	17.341783216783217	85.08025975281727	RYR1,KRT16	0.042348073915094306	0	0
12	MEL18 DN.V1 DN	0.007699649802744419	16.982876712328768	82.64853547573618	JUP,CA2	0.042348073915094306	0	0
13	HINATA NFKB MATRIX	0.008965550093347357	130.54248366013073	615.425022203049	KRT7	0.04551740816622504	0	0
14	PKCA DN.V1 UP	0.010049738815238978	14.742559523809524	67.81884959907823	GSTM1,CA2	0.04737734012898375	0	0
