Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	5'-deoxyribose-5-phosphate lyase activity (GO:0051575)	0.0024977078641967437	555.1666666666666	3326.7706415121643	XRCC5	0.03806627411241852	0	0
2	double-stranded telomeric DNA binding (GO:0003691)	0.004491844107510829	277.52777777777777	1500.1741678966396	XRCC5	0.03806627411241852	0	0
3	U3 snoRNA binding (GO:0034511)	0.004491844107510829	277.52777777777777	1500.1741678966396	XRCC5	0.03806627411241852	0	0
4	transcription regulatory region nucleic acid binding (GO:0001067)	0.004758284264052315	23.547619047619047	125.92956131132573	XRCC5,SIX1	0.03806627411241852	0	0
5	DNA binding (GO:0003677)	0.006436381080696161	10.174328147100425	51.337511427346406	SERPINA3,XRCC5,SIX1	0.041192838916455435	0	0
6	calcium-dependent phospholipase A2 activity (GO:0047498)	0.00797295899684864	147.96296296296296	714.9125872208035	PLA2G4B	0.04252244798319275	0	0
7	lysophospholipase activity (GO:0004622)	0.010452761511867668	110.94444444444444	506.0053047065427	PLA2G4B	0.042707136917098695	0	0
8	cadherin binding (GO:0045296)	0.010676784229274674	15.3671875	69.76216896304881	CGN,PAICS	0.042707136917098695	0	0
9	phospholipase A2 activity (GO:0004623)	0.014408846721137443	79.21428571428571	335.8616722924233	PLA2G4B	0.047655411463875794	0	0
10	snoRNA binding (GO:0030515)	0.014902355425265381	76.47892720306514	321.6884165593148	XRCC5	0.047655411463875794	0	0
11	telomeric DNA binding (GO:0042162)	0.016381547690707304	69.29861111111111	284.9281499305533	XRCC5	0.047655411463875794	0	0
