Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	3.398393526167004e-19	5.7797517425516345	245.78864721868098	ABCB6,HJURP,MGST1,TSKU,PANX2,NT5DC1,UCHL1,PTPRZ1,TRIM29,STC2,GPC1,SPP1,UGT1A5,UGT1A3,PHGDH,NRCAM,UGT1A9,UGT1A7,UGT1A6,CBR3,NQO1,CBR1,GPX2,G6PD,RRM2,UGT1A1,IGFBP3,TXNRD1,AKR1C1,CYP4F3,GSR,AKR1C3,NDUFC2,TALDO1,PTGR1,CYP4F11,PGD,UGDH,ALDH3A1,GCLC,DBF4,MTHFD2,TMEM237,RPL22L1,TKT,TMEM18,PFN2	5.947188670792256e-17	0	0
2	CSR LATE UP.V1 UP	2.4310750424052707e-06	4.749458354374704	61.397088773401926	CXCL6,FEN1,DTYMK,RRM2,UBE2C,IGFBP3,FANCA,RPF2,FOXM1,ANLN,PBK,BIRC5,FAM83D,UMPS,EZH2	0.00021271906621046118	0	0
3	MEL18 DN.V1 UP	6.197584940333702e-06	5.030574109414759	60.32337921120886	CA12,JAG1,DDX11,ABCC5,FZD6,ADM,PTHLH,SLC7A5,STC2,COL7A1,ADAM12,SPP1,CHST2	0.00036152578818613265	0	0
4	P53 DN.V1 UP	1.0617836951395787e-05	4.161011016016802	47.65595613892758	COL17A1,CDKN2A,ITGB4,ADM,LSR,SULF1,KLK10,UCHL1,KRT19,CALB1,KLF5,KRT15,CD24,PITX1,DSC2	0.0004645303666235657	0	0
5	E2F1 UP.V1 UP	3.3578295460261674e-05	3.963061224489796	40.8259930500284	TPD52,TOP2A,FEN1,RRM1,HMGB3,TYMS,NCAPH,DBF4,PRC1,DNAJC21,MCM4,GRSF1,KPNA1,EZH2	0.0011752403411091586	0	0
6	KRAS.LUNG UP.V1 DN	4.1478373947513e-05	4.45654746002061	44.96807186142966	TGM1,RYR1,SERPINB13,KRT16,KRT15,IGFBP2,KRT13,RHCG,CXCL14,KLK8,KLK11,SPTBN2	0.0011833471148184436	0	0
7	LEF1 UP.V1 UP	4.7333884592737746e-05	3.8305051302288873	38.14525849717085	RYR1,KCNG1,CDKN2A,WNT5A,KRT13,PAX6,KRT5,MPP6,BMP7,ANO1,SLC6A8,STC2,CHST2,STRA6	0.0011833471148184436	0	0
8	GCNP SHH UP LATE.V1 DN	0.00032333441761854493	3.5217548948513415	28.303722224361536	MRPL3,DLX5,WNK2,GJB6,ESRP1,UBE2V2,SLC2A1,LSR,KLK8,S100A11,MDFI,KPNA1	0.007072940385405671	0	0
9	ESC V6.5 UP EARLY.V1 DN	0.0008028570850239827	3.361317713656734	23.957233474649907	TGM1,COL1A1,GPX2,KRT19,KRT17,KRT16,IGFBP3,KRT8,C16ORF74,KLK10,KLK11	0.01561110998657744	0	0
10	ESC V6.5 UP LATE.V1 DN	0.0015149403470247646	3.0901844484629293	20.06264928587132	TGM1,GGCT,GPX2,BDH1,KRT17,SEMA4B,SPP1,FAM169A,C16ORF74,KLK10,CBR3	0.02515341498361341	0	0
11	RPS14 DN.V1 DN	0.0015810717989699857	3.07246835443038	19.81635261384735	SLC6A8,CDCA3,TRIM29,PRC1,PLK1,PBK,KRT13,PYCR1,KIF23,NCAPH,NLE1	0.02515341498361341	0	0
12	RB P107 DN.V1 UP	0.0022690531321107625	3.368142750014421	20.506575586668863	COL1A1,GSTM2,FEN1,RRM1,RRM2,PRC1,RPA3,FANCA,NCAPH	0.030817486559742063	0	0
13	MEK UP.V1 UP	0.002289299001580839	2.9216421484775914	17.762151551153497	ALDH3A1,CLDN4,GPX2,TRIM29,ITGB4,TMPRSS4,AKR1C3,AKR1C2,ADM,BMP7,SPTBN2	0.030817486559742063	0	0
14	BMI1 DN.V1 UP	0.0031520545075381682	3.196145000547585	18.40883896174852	SLC7A5,JAG1,KRT17,STC2,COL7A1,ADAM12,SLC2A1,GABRE,PTHLH	0.039400681344227105	0	0
