Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	6.492744393457012e-10	6.020024809498493	127.35462190352618	CPM,VWF,LST1,ITGB2,TNFAIP2,AIF1,DCN,HCK,HLA-DMA,TYROBP,SPTLC3,ENPP2,ITGAX,SH3BP5,CTSH,CCL2,ST3GAL6,MNDA,CD69,PTGDS,HLA-DQB1	1.1622012464288051e-07	0	0
2	ATF2 S UP.V1 DN	1.4511067223009637e-08	5.516944843263938	99.571774753873	ITIH5,IL4R,IL1R1,ADH1B,CELF2,C4BPA,CRIP2,ABCA8,FOS,SMAD6,EFEMP1,DES,SERPING1,CCL2,SVEP1,ST3GAL6,SLIT3,CD302,A2M	1.224182134091014e-06	0	0
3	ESC J1 UP LATE.V1 UP	2.0517019007111967e-08	5.387533598223676	95.37017955605754	PDGFRA,RAMP2,CITED2,GPX3,APOA2,ARAP2,KRT7,LMO7,PTH1R,DAB2,COL4A2,COL4A1,PODXL,SLCO2A1,CA4,CTSH,RGL3,HLA-DRB1,CD55	1.224182134091014e-06	0	0
4	CORDENONSI YAP CONSERVED SIGNATURE	2.51057894100229e-07	10.212765957446809	155.20935084893975	DAB2,PDLIM2,ITGB2,COL4A3,PMP22,AMOTL2,SLIT2,THBS1,TNS1,TGM2	1.1234840760985248e-05	0	0
5	ATF2 UP.V1 DN	2.0481024862193843e-06	4.529494976010267	59.330028443406285	ITIH5,IL1R1,LIMCH1,CELF2,RNASE4,ABCA8,FOS,SMAD6,AFF1,EFEMP1,SLCO4A1,CCL2,SVEP1,SLIT3,CD302,CD68	6.154527540501818e-05	0	0
6	ESC V6.5 UP LATE.V1 UP	2.522939385964494e-06	4.450712299710494	57.37006391812384	RAMP2,GPX3,TNNC1,KRT7,PTH1R,SH3RF1,DAB2,COL4A2,COL4A1,PODXL,CA4,CTSH,RGL3,SLIT3,LPIN2,CD55	6.154527540501818e-05	0	0
7	KRAS.600 UP.V1 UP	2.807603360145092e-06	3.644562684553628	46.58909839534591	NRP1,CSF3,DOCK4,PCDH9,LIMCH1,NTM,ITGB2,LAPTM5,ETV1,TFPI,RNASE1,GNG11,HSD11B1,SLCO4A1,MGAT4A,ST3GAL6,A2M,KCNK3,CCNJL,TGM2	6.154527540501818e-05	0	0
8	CSR LATE UP.V1 DN	2.9135818465932445e-06	4.676937891189215	59.61284600921326	ACVRL1,ANKRD29,SFTPB,TNXB,MME,SGIP1,NTN4,TBC1D2B,CLEC3B,CCL2,SVEP1,PDE5A,VAMP5,PRKG1,APOL3	6.154527540501818e-05	0	0
9	EGFR UP.V1 UP	3.0944551879618075e-06	4.374600222607324	55.495735264134694	IL4R,PCDH9,IL1R1,EPAS1,ARAP2,KRT7,TFPI,PAPSS2,RND1,SOCS2,CRISPLD2,RNF19A,MGAT4A,SLCO2A1,CCL2,A2M	6.154527540501818e-05	0	0
10	LTE2 UP.V1 UP	1.1342652990648315e-05	4.1381663113006395	47.12105289233222	UNC13B,PRKCH,SERPINA1,PCDH9,IL1R1,EPAS1,GPX3,C4ORF19,RFTN1,DIAPH2,DAB2,NPC2,MGAT4A,CD302,FGFR4	0.0002030334885326048	0	0
11	HINATA NFKB IMMU INF	1.935474746989837e-05	19.79267799352751	214.80147925329206	IL6,CD83,TNFAIP2,CCL2,OLR1	0.0003149545270101644	0	0
12	KRAS.600.LUNG.BREAST UP.V1 UP	3.789057537810587e-05	3.2269005847953216	32.8524557650567	PPP1R15A,CSF3,DOCK4,NTM,SEMA3B,LPL,TFPI,RNASE1,GNG11,ETS1,HSD11B1,CLDN5,SLCO4A1,TRIM46,ST3GAL6,SLIT2,A2M,FBP1	0.0005613018988971382	0	0
13	MEL18 DN.V1 UP	4.0764942378004446e-05	4.4683318977892625	45.1645051562422	NRP1,NRP2,CD83,ABLIM3,CRISPLD2,SLCO4A1,NTM,GFPT2,SLCO2A1,LTBP4,LPL,HLA-DQA1	0.0005613018988971382	0	0
14	STK33 NOMO UP	4.956667790745182e-05	3.1557698594311865	31.280596017260258	PPP1R15A,NRP1,DOCK4,CADM1,IL1R1,EPAS1,FOS,GNG11,HSD11B1,ZEB2,DAB2,FABP4,RNF19A,CCL4,OLR1,A2M,TPSAB1,IL6ST	0.0006337453818167054	0	0
15	KRAS.50 UP.V1 UP	5.734753737808481e-05	8.137656157049376	79.47544767361087	HSD11B1,DOCK4,NTM,ITGB2,ST3GAL6,ETV1,A2M	0.0006843472793784788	0	0
